difficulty,sample_count,success_rate,x_mae_mm,y_mae_mm,theta_mae_deg
clean,100,1.0,0.001349695026874539,0.001161597768465676,0.001759191762723415
noise,100,1.0,0.02576858321825662,0.02590459018945694,0.043296809934491025
blur,100,1.0,0.0010312926769256636,0.0007715882857640662,0.0007440012288169654
illumination,100,1.0,0.28790735810995105,0.005815732379754376,0.002067430031153737
perspective,100,1.0,9.043418248809187,0.531543229305694,0.8417787748790164
occlusion,100,1.0,1.7740372212727866,2.3515834548075993,2.444295289558645
missing_edges,100,1.0,0.11423807680606841,0.0021145028869311,0.01920050465487622
low_contrast,100,1.0,0.0010094703237215701,0.00092295159896215,0.0015329409294135288
distortion,100,1.0,0.0010373981793721518,0.0011090587576230281,0.002053722042924927
large_offset,100,1.0,0.0012198444207509455,0.0011781947811444452,0.0020311390812382916
