parameter,level,input_value,p_sim_mm,axis_tilt_deg,peak_temperature_c,pass_in_model
efficiency,low,0.49500000000000005,0.007908,0.007792,510.565593,True
efficiency,nominal,0.55,0.008787,0.008657,550.628437,True
efficiency,high,0.6050000000000001,0.009666,0.009523,590.69128,True
current,low,67.5,0.007908,0.007792,510.565593,True
current,nominal,75.0,0.008787,0.008657,550.628437,True
current,high,82.5,0.009666,0.009523,590.69128,True
thermal_conductivity_q235b,low,40.5,0.009045,0.008912,562.394904,True
thermal_conductivity_q235b,nominal,45.0,0.008787,0.008657,550.628437,True
thermal_conductivity_q235b,high,49.50000000000001,0.00855,0.008424,539.814879,True
alpha_qt450_10,low,9.974999999999999e-06,0.008582,0.008455,550.628437,True
alpha_qt450_10,nominal,1.05e-05,0.008787,0.008657,550.628437,True
alpha_qt450_10,high,1.1025e-05,0.008992,0.008859,550.628437,True
initial_eccentricity,low,-0.02,0.045718,0.008657,550.628437,True
initial_eccentricity,nominal,0.0,0.008787,0.008657,550.628437,True
initial_eccentricity,high,0.02,0.038822,0.008657,550.628437,True
fixture_stiffness,low,960.0,0.008555,0.008429,550.628437,True
fixture_stiffness,nominal,1200.0,0.008787,0.008657,550.628437,True
fixture_stiffness,high,1440.0,0.008981,0.008849,550.628437,True
