case_id,structure,fixture,layout_points,sequence,line_heat_input_j_mm,total_heat_input_j,effective_peak_temperature_c,haz_width_proxy_mm,material_stiffness_factor,hole_center_shift_mm,axis_tilt_deg,shell_ellipticity_proxy_mm,position_metric_p_sim_mm,limit_mm,pass_in_model,sequence_indices,datum_reference,reduction_vs_baseline_s1_pct
BASELINE-RIGID-4P-S1,baseline,rigid,4,S1,330.0,23760.0,550.628437,3.996498,1.0,0.015743,0.039088,0.013239,0.039673,0.05,True,1-2-3-4,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,0.0
BASELINE-RIGID-4P-S2,baseline,rigid,4,S2,330.0,23760.0,550.628437,3.996498,1.0,0.007872,0.019544,0.009303,0.019836,0.05,True,1-3-2-4,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,50.001
BASELINE-RIGID-4P-S3,baseline,rigid,4,S3,330.0,23760.0,550.628437,3.996498,1.0,0.007872,0.019544,0.009303,0.019836,0.05,True,1-3-2-4,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,50.001
BASELINE-RIGID-6P-S1,baseline,rigid,6,S1,330.0,35640.0,550.628437,3.996498,1.0,0.020038,0.04975,0.010257,0.050495,0.05,False,1-2-3-4-5-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,0.0
BASELINE-RIGID-6P-S2,baseline,rigid,6,S2,330.0,35640.0,550.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-2-5-3-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,66.666
BASELINE-RIGID-6P-S3,baseline,rigid,6,S3,330.0,35640.0,550.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-3-6-2-5,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,66.666
BASELINE-RIGID-8P-S1,baseline,rigid,8,S1,330.0,47520.0,550.628437,3.996498,1.0,0.024934,0.061907,0.008917,0.062834,0.05,False,1-2-3-4-5-6-7-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,0.0
BASELINE-RIGID-8P-S2,baseline,rigid,8,S2,330.0,47520.0,550.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-2-6-3-7-4-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,75.001
BASELINE-RIGID-8P-S3,baseline,rigid,8,S3,330.0,47520.0,550.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-4-8-3-7-2-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,75.001
FLEX-COMPLIANT-4P-S2,flex,compliant,4,S2,330.0,23760.0,550.628437,3.996498,1.0,0.004175,0.010366,0.007455,0.010521,0.05,True,1-3-2-4,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,73.481
FLEX-COMPLIANT-4P-S3,flex,compliant,4,S3,330.0,23760.0,550.628437,3.996498,1.0,0.004175,0.010366,0.007455,0.010521,0.05,True,1-3-2-4,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,73.481
FLEX-COMPLIANT-6P-S2,flex,compliant,6,S2,330.0,35640.0,550.628437,3.996498,1.0,0.003543,0.008796,0.004759,0.008928,0.05,True,1-4-2-5-3-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,82.319
FLEX-COMPLIANT-6P-S3,flex,compliant,6,S3,330.0,35640.0,550.628437,3.996498,1.0,0.003543,0.008796,0.004759,0.008928,0.05,True,1-4-3-6-2-5,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,82.319
FLEX-COMPLIANT-8P-S2,flex,compliant,8,S2,330.0,47520.0,550.628437,3.996498,1.0,0.003306,0.008209,0.00351,0.008332,0.05,True,1-5-2-6-3-7-4-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,86.74
FLEX-COMPLIANT-8P-S3,flex,compliant,8,S3,330.0,47520.0,550.628437,3.996498,1.0,0.003306,0.008209,0.00351,0.008332,0.05,True,1-5-4-8-3-7-2-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,86.74
