model_id,resolution,mesh_path,node_count,tetrahedron_count,boundary_triangle_count
Continuous,coarse,meshes/continuous/coarse.msh,3598,12915,5656
Continuous,medium,meshes/continuous/medium.msh,6909,27589,9334
Continuous,fine,meshes/continuous/fine.msh,13039,55901,15422
4P-FAIR_A,coarse,meshes/4p-fair-a/coarse.msh,2604,8087,4634
4P-FAIR_A,medium,meshes/4p-fair-a/medium.msh,4680,16363,7418
4P-FAIR_A,fine,meshes/4p-fair-a/fine.msh,7798,29838,11050
4P-FAIR_B,coarse,meshes/4p-fair-b/coarse.msh,2466,7434,4466
4P-FAIR_B,medium,meshes/4p-fair-b/medium.msh,4233,14461,6878
4P-FAIR_B,fine,meshes/4p-fair-b/fine.msh,6967,26113,10130
6P-FAIR_A,coarse,meshes/6p-fair-a/coarse.msh,3074,9177,5608
6P-FAIR_A,medium,meshes/6p-fair-a/medium.msh,5343,18042,8776
6P-FAIR_A,fine,meshes/6p-fair-a/fine.msh,8346,31134,12208
6P-FAIR_B,coarse,meshes/6p-fair-b/coarse.msh,3074,9177,5608
6P-FAIR_B,medium,meshes/6p-fair-b/medium.msh,5343,18042,8776
6P-FAIR_B,fine,meshes/6p-fair-b/fine.msh,8346,31134,12208
8P-FAIR_A,coarse,meshes/8p-fair-a/coarse.msh,3269,9620,5988
8P-FAIR_A,medium,meshes/8p-fair-a/medium.msh,5712,18862,9558
8P-FAIR_A,fine,meshes/8p-fair-a/fine.msh,9101,32936,13788
8P-FAIR_B,coarse,meshes/8p-fair-b/coarse.msh,3537,10542,6450
8P-FAIR_B,medium,meshes/8p-fair-b/medium.msh,6042,20489,9892
8P-FAIR_B,fine,meshes/8p-fair-b/fine.msh,9745,36190,14336
