candidate,resolution,thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,position_sensitivity_diameter_mm,bore_fit_rms_mm,relative_linear_residual,maximum_displacement_mm,formal_welding_residual_prediction
Continuous,coarse,fvm,nominal,uniform_half,10000.0,3.8264601119946095e-05,0.0004116261046465477,1.0024642216398913e-14,0.0065584535690057415,False
Continuous,coarse,fvm,nominal,uniform_full,10000.0,7.885247094647692e-05,0.0006458890379765101,9.539013124711862e-15,0.010294181721579018,False
Continuous,coarse,fvm,nominal,hemisphere_0,10000.0,0.004247535816842098,0.0005578733229120722,9.481985523232803e-15,0.009379333967396139,False
Continuous,coarse,fvm,nominal,hemisphere_30,10000.0,0.004257745354943264,0.0005565501259492123,9.569671610536487e-15,0.009369574067422988,False
Continuous,coarse,fvm,nominal,hemisphere_60,10000.0,0.0042782102933847195,0.0005575048927627578,9.93110614773756e-15,0.009401281070580263,False
Continuous,coarse,fvm,nominal,hemisphere_90,10000.0,0.004311083207895769,0.0005583403957252136,9.539017380342198e-15,0.009365626830031299,False
Continuous,coarse,fvm,low_expansion_high_yield,uniform_half,10000.0,3.756385139159315e-05,0.0003682222167883848,8.558673482179305e-15,0.00585150690154737,False
Continuous,coarse,fvm,low_expansion_high_yield,uniform_full,10000.0,6.71777643136045e-05,0.00080415545769029,1.1324267486034702e-14,0.012657196070369301,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_0,10000.0,0.0021086892131987165,0.0005912028592554023,1.0446678092356396e-14,0.010290115460122727,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_30,10000.0,0.0021195826374255052,0.0005887898235962109,1.0132095440013327e-14,0.010257070687595937,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_60,10000.0,0.0021314245750900826,0.000589626985766158,1.0470013899888943e-14,0.010267328172831798,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_90,10000.0,0.0021540592518501213,0.0005910048338827572,9.835150286824945e-15,0.010244637344139487,False
Continuous,coarse,fvm,high_expansion_low_yield,uniform_half,10000.0,3.7120898674962887e-05,0.0005038364983743853,1.1872819160710072e-14,0.007985287189284363,False
Continuous,coarse,fvm,high_expansion_low_yield,uniform_full,10000.0,5.50006633062774e-05,0.00033835489820001525,1.008678400232737e-14,0.008049786600506764,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_0,10000.0,0.009909941854471324,0.0006247029444711462,1.0840562530102133e-14,0.01006760049912665,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_30,10000.0,0.009915912789324886,0.0006235958908937147,1.066085854457208e-14,0.010115639252789306,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_60,10000.0,0.009945040743160882,0.0006179640365770656,1.0722660627827355e-14,0.010096307172547002,False
Continuous,coarse,fvm,high_expansion_low_yield,hemisphere_90,10000.0,0.009935450042065615,0.0006191857507054497,1.1004080094936095e-14,0.010090007256519531,False
Continuous,coarse,elmer,nominal,uniform_half,10000.0,3.461030106941638e-05,0.0003763950715966933,9.64010966727025e-15,0.005987997876393843,False
Continuous,coarse,elmer,nominal,uniform_full,10000.0,7.742025128850003e-05,0.0006482350710575618,9.534817715620207e-15,0.010323658967735754,False
Continuous,coarse,elmer,nominal,hemisphere_0,10000.0,0.004198597965149328,0.0005416283855116865,9.627934164617053e-15,0.009185917488420382,False
Continuous,coarse,elmer,nominal,hemisphere_30,10000.0,0.004213282377360783,0.0005400742120415326,9.464616850419297e-15,0.009172763818133433,False
Continuous,coarse,elmer,nominal,hemisphere_60,10000.0,0.004231369531562913,0.0005405451492533443,9.38465050499373e-15,0.009200757662281348,False
Continuous,coarse,elmer,nominal,hemisphere_90,10000.0,0.004261897343044239,0.0005416166526953025,9.44821548811059e-15,0.009164489111071797,False
Continuous,coarse,elmer,low_expansion_high_yield,uniform_half,10000.0,3.3790020582310216e-05,0.0003330406048007252,8.195700003482468e-15,0.005282537789109439,False
Continuous,coarse,elmer,low_expansion_high_yield,uniform_full,10000.0,5.5708893408339634e-05,0.0007741984928524053,1.1938102703682387e-14,0.012187984327728564,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_0,10000.0,0.0020103065884275236,0.0005590908021052897,1.0803019818206425e-14,0.009786716291970268,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_30,10000.0,0.0020216965061929395,0.0005572897234668199,1.002199062158531e-14,0.009760861368217758,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_60,10000.0,0.0020323223683750558,0.0005572878798601474,9.996212206225924e-15,0.009761374326085865,False
Continuous,coarse,elmer,low_expansion_high_yield,hemisphere_90,10000.0,0.002052329294234111,0.000558373212950759,1.0244211504950719e-14,0.009742526138647702,False
Continuous,coarse,elmer,high_expansion_low_yield,uniform_half,10000.0,3.831661563720729e-05,0.0004689123901095162,1.1510313726548301e-14,0.007429726939976609,False
Continuous,coarse,elmer,high_expansion_low_yield,uniform_full,10000.0,5.499823613191902e-05,0.0003486389904136213,1.0117404975175857e-14,0.008116776327755936,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_0,10000.0,0.009903652778860399,0.0006161827621769161,1.1306358653116597e-14,0.00994546510820739,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_30,10000.0,0.009908812582328626,0.0006149958757709029,1.082405910886571e-14,0.009996130165751176,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_60,10000.0,0.009936062399123046,0.0006096055755145604,1.1107050632966984e-14,0.009976695842502036,False
Continuous,coarse,elmer,high_expansion_low_yield,hemisphere_90,10000.0,0.009926094112203233,0.0006111022341944327,1.0843141372028998e-14,0.00997284288677133,False
Continuous,coarse,fvm,nominal,uniform_half,1000000.0,3.047551480914162e-05,0.00033481203143705904,7.87147838804345e-15,0.005250515568936338,False
Continuous,coarse,fvm,nominal,uniform_full,1000000.0,5.7229789156686745e-05,0.0004654576283242646,6.674116267391947e-15,0.007257845840453575,False
Continuous,coarse,fvm,nominal,hemisphere_0,1000000.0,0.0029653863920870924,0.0004262279381394328,7.258864783629077e-15,0.006923066321026633,False
Continuous,coarse,fvm,nominal,hemisphere_30,1000000.0,0.0029603426058515225,0.00042621999223305774,6.9843269699964905e-15,0.006929916848958011,False
Continuous,coarse,fvm,nominal,hemisphere_60,1000000.0,0.0029686603776490172,0.00042484870873540524,7.097811172441743e-15,0.006934299419552013,False
Continuous,coarse,fvm,nominal,hemisphere_90,1000000.0,0.002992233005069207,0.0004242997374607227,7.094837936007776e-15,0.006872501959775176,False
Continuous,coarse,fvm,low_expansion_high_yield,uniform_half,1000000.0,3.0995405243943156e-05,0.0003229385133331277,7.236059438789878e-15,0.00505753302348826,False
Continuous,coarse,fvm,low_expansion_high_yield,uniform_full,1000000.0,4.763835542997457e-05,0.0005861131981184591,8.514084760866477e-15,0.009026400592302253,False
Continuous,coarse,fvm,low_expansion_high_yield,hemisphere_0,1000000.0,0.0014278979879660605,0.0004589032649724919,7.918161528734043e-15,0.007864701762980318,False
