thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,6P-FAIR_B,8P-FAIR_B,Continuous
elmer,high_expansion_low_yield,hemisphere_0,10000.0,3.475922547540103e-05,7.738917687370034e-05,0.00010520355664499909
elmer,high_expansion_low_yield,hemisphere_0,1000000.0,5.661056083429948e-05,0.00011728224586880082,0.00010078743471069948
elmer,high_expansion_low_yield,hemisphere_30,10000.0,4.327751921300027e-05,5.267773875250112e-05,3.237511069949933e-05
elmer,high_expansion_low_yield,hemisphere_30,1000000.0,3.55387494387991e-05,9.342924295730089e-05,3.6321804809899896e-05
elmer,high_expansion_low_yield,hemisphere_60,10000.0,3.952146517200925e-06,1.0110419901499662e-05,2.901428734659872e-05
elmer,high_expansion_low_yield,hemisphere_60,1000000.0,1.6070797741799675e-05,2.652029454510048e-05,3.2048846011599984e-05
elmer,high_expansion_low_yield,hemisphere_90,10000.0,3.909022584300606e-06,1.9137372977800354e-05,9.393325018640028e-05
elmer,high_expansion_low_yield,hemisphere_90,1000000.0,5.128980530839933e-05,2.9974776436699976e-05,9.230369538590008e-05
elmer,high_expansion_low_yield,uniform_full,10000.0,2.100071611495427e-05,6.1681151090978915e-06,2.0555183778062893e-05
elmer,high_expansion_low_yield,uniform_full,1000000.0,1.3785165891071582e-05,1.1301254388042233e-05,1.8993475264867272e-05
elmer,high_expansion_low_yield,uniform_half,10000.0,1.9005647291408355e-05,1.990001990676598e-05,7.123401031222044e-06
elmer,high_expansion_low_yield,uniform_half,1000000.0,3.7734624763539665e-05,1.826880324164925e-05,3.4980216643614324e-06
elmer,low_expansion_high_yield,hemisphere_0,10000.0,5.483807436850027e-05,7.903008873420001e-05,3.5410165453999935e-05
elmer,low_expansion_high_yield,hemisphere_0,1000000.0,9.805920388600287e-06,7.615268799349975e-05,3.631035641500006e-05
elmer,low_expansion_high_yield,hemisphere_30,10000.0,1.9413157817599943e-05,6.834646084170025e-05,1.2633526193199865e-05
elmer,low_expansion_high_yield,hemisphere_30,1000000.0,7.200670967899905e-06,6.667280683039963e-05,1.9255717415900047e-05
elmer,low_expansion_high_yield,hemisphere_60,10000.0,5.12813909337999e-05,5.454629382630003e-05,1.9870969564800365e-05
elmer,low_expansion_high_yield,hemisphere_60,1000000.0,3.303723490109996e-05,4.2786840632500194e-05,2.2548598432400044e-05
elmer,low_expansion_high_yield,hemisphere_90,10000.0,7.376068193439998e-05,7.388024172200018e-05,1.228460235829995e-05
