thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
elmer,high_expansion_low_yield,hemisphere_0,10000.0,Continuous,6P-FAIR_B,0.0002214068110184004,0.0011399627821204001,0
elmer,high_expansion_low_yield,hemisphere_0,1000000.0,Continuous,6P-FAIR_B,-0.0017654876263968992,0.001157397995544999,-1
elmer,high_expansion_low_yield,hemisphere_30,10000.0,Continuous,6P-FAIR_B,0.0010336115183882007,0.0010756526299124996,0
elmer,high_expansion_low_yield,hemisphere_30,1000000.0,Continuous,6P-FAIR_B,-0.001540283173196,0.001071860554248699,-1
elmer,high_expansion_low_yield,hemisphere_60,10000.0,Continuous,6P-FAIR_B,0.00027770161366070037,0.0010329664338637997,0
elmer,high_expansion_low_yield,hemisphere_60,1000000.0,Continuous,6P-FAIR_B,-0.0017162765978499996,0.0010481196437533997,-1
elmer,high_expansion_low_yield,hemisphere_90,10000.0,Continuous,6P-FAIR_B,0.0009944951408490995,0.001097842272770701,0
elmer,high_expansion_low_yield,hemisphere_90,1000000.0,Continuous,6P-FAIR_B,-0.001560338770298801,0.0011435935006942994,-1
elmer,high_expansion_low_yield,uniform_full,10000.0,Continuous,6P-FAIR_B,-4.171948339452152e-05,0.001041555899893017,0
elmer,high_expansion_low_yield,uniform_full,1000000.0,Continuous,6P-FAIR_B,-4.686263406966323e-05,0.001032778641155939,0
elmer,high_expansion_low_yield,uniform_half,10000.0,Continuous,6P-FAIR_B,2.2019676041627454e-05,0.0010261290483226304,0
elmer,high_expansion_low_yield,uniform_half,1000000.0,Continuous,6P-FAIR_B,9.734823108057043e-06,0.0010412326464279012,0
elmer,low_expansion_high_yield,hemisphere_0,10000.0,Continuous,6P-FAIR_B,-7.151512087799974e-05,0.0010902482398225002,0
elmer,low_expansion_high_yield,hemisphere_0,1000000.0,Continuous,6P-FAIR_B,-0.0006421496843363999,0.0010461162768036004,0
elmer,low_expansion_high_yield,hemisphere_30,10000.0,Continuous,6P-FAIR_B,-3.971842371499994e-06,0.0010320466840107998,0
elmer,low_expansion_high_yield,hemisphere_30,1000000.0,Continuous,6P-FAIR_B,-0.0006947190244787997,0.0010264563883838,0
elmer,low_expansion_high_yield,hemisphere_60,10000.0,Continuous,6P-FAIR_B,-9.698001357129988e-05,0.0010711523604986003,0
elmer,low_expansion_high_yield,hemisphere_60,1000000.0,Continuous,6P-FAIR_B,-0.0006675582709407002,0.0010555858333335,0
elmer,low_expansion_high_yield,hemisphere_90,10000.0,Continuous,6P-FAIR_B,1.9109561526300077e-05,0.0010860452842927,0
elmer,low_expansion_high_yield,hemisphere_90,1000000.0,Continuous,6P-FAIR_B,-0.0006819680848004,0.0010839561343329,0
elmer,low_expansion_high_yield,uniform_full,10000.0,Continuous,6P-FAIR_B,3.8779663587815105e-05,0.00103961638678341,0
elmer,low_expansion_high_yield,uniform_full,1000000.0,Continuous,6P-FAIR_B,1.9070695404428376e-05,0.0010565647659442272,0
elmer,low_expansion_high_yield,uniform_half,10000.0,Continuous,6P-FAIR_B,2.760942489594809e-05,0.001044123632938462,0
elmer,low_expansion_high_yield,uniform_half,1000000.0,Continuous,6P-FAIR_B,1.6370500072356263e-05,0.001042255846182892,0
elmer,nominal,hemisphere_0,10000.0,Continuous,6P-FAIR_B,-0.00020633480986700058,0.0011471456442852003,0
elmer,nominal,hemisphere_0,1000000.0,Continuous,6P-FAIR_B,-0.0011998868704713997,0.0010743073876673002,-1
elmer,nominal,hemisphere_30,10000.0,Continuous,6P-FAIR_B,1.0672215550993486e-06,0.0011248368695128998,0
elmer,nominal,hemisphere_30,1000000.0,Continuous,6P-FAIR_B,-0.0012500769698823005,0.0010526819485838007,-1
elmer,nominal,hemisphere_60,10000.0,Continuous,6P-FAIR_B,-0.00019781438228410036,0.0011645660851651004,0
elmer,nominal,hemisphere_60,1000000.0,Continuous,6P-FAIR_B,-0.0012038067973301997,0.0010684827113574,-1
