time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.000000000000000E-01,  4.950000000000000E+01,  4.820735418270877E+00,  0.000000000000000E+00,  4.483794602633134E+01, -1.586814446022160E-01,  2.261946710584630E-01,  1.498597593676876E+02,  6.093792304028401E+02
  2.000000000000000E-01,  9.899999999999997E+01,  9.692052796307307E+00,  0.000000000000000E+00,  8.965875088642497E+01, -3.508036827323053E-01,  4.523893421169313E-01,  1.497824715386401E+02,  8.659221774779222E+02
  3.000000000000000E-01,  1.484999999999999E+02,  1.461128123662348E+01,  0.000000000000000E+00,  1.344028230099284E+02, -5.141042465519376E-01,  6.785840131753943E-01,  1.497253748981879E+02,  9.930864134369991E+02
  4.000000000000000E-01,  1.979999999999999E+02,  1.957474820344617E+01,  0.000000000000000E+00,  1.790670580207297E+02, -6.418062241760083E-01,  9.047786842338625E-01,  1.496783483093078E+02,  1.074349709365996E+03
  5.000000000000000E-01,  2.474999999999999E+02,  2.457953893350409E+01,  0.000000000000000E+00,  2.236675202241968E+02, -7.470591577010168E-01,  1.130973355292326E+00,  1.496374467291322E+02,  1.132811544302765E+03
  6.000000000000000E-01,  2.969999999999999E+02,  2.962291318389005E+01,  0.000000000000000E+00,  2.682178265785406E+02, -8.407397624307009E-01,  1.357168026350789E+00,  1.496007262286526E+02,  1.178276883056606E+03
  7.000000000000000E-01,  3.464999999999999E+02,  3.470262918660969E+01,  0.000000000000000E+00,  3.127246303268257E+02, -9.272595134355015E-01,  1.583362697409256E+00,  1.495670641196379E+02,  1.215505645648058E+03
  7.999999999999999E-01,  3.959999999999998E+02,  3.981691675405214E+01,  0.000000000000000E+00,  3.571909970612978E+02, -1.007913815350150E+00,  1.809557368467720E+00,  1.495357383551253E+02,  1.247093340570476E+03
  8.999999999999999E-01,  4.454999999999998E+02,  4.496438984114118E+01,  0.000000000000000E+00,  4.016194451569609E+02, -1.083834998102247E+00,  2.035752039526190E+00,  1.495062500176012E+02,  1.274399116787139E+03
  9.999999999999999E-01,  4.949999999999997E+02,  5.014392101489475E+01,  0.000000000000000E+00,  4.460125882200082E+02, -1.156509234903240E+00,  2.261946710584653E+00,  1.494782373638587E+02,  1.298251220091937E+03
  1.100000000000000E+00,  5.444999999999997E+02,  5.535466084682128E+01,  0.000000000000000E+00,  4.903722917838386E+02, -1.226952630660207E+00,  2.488141381643116E+00,  1.494514293594713E+02,  1.319384633911957E+03
  1.200000000000000E+00,  5.939999999999997E+02,  6.059601698378832E+01,  0.000000000000000E+00,  5.346995255749207E+02, -1.295542558709371E+00,  2.714336052701584E+00,  1.494256181225125E+02,  1.338219191045009E+03
  1.300000000000000E+00,  6.434999999999997E+02,  6.586754528529103E+01,  0.000000000000000E+00,  5.789954585397136E+02, -1.363003825004967E+00,  2.940530723760045E+00,  1.494006414063399E+02,  1.355111644039124E+03
  1.400000000000000E+00,  6.929999999999997E+02,  7.115502855195642E+01,  0.000000000000000E+00,  6.232733637164783E+02, -1.428392268435118E+00,  3.166725394818508E+00,  1.493763708478361E+02,  1.406419727914624E+03
  1.500000000000000E+00,  7.424999999999997E+02,  7.647516505219917E+01,  0.000000000000000E+00,  6.675110053713215E+02, -1.486170423521003E+00,  3.392920065876975E+00,  1.493527037534075E+02,  1.432494411859165E+03
  1.600000000000000E+00,  7.919999999999997E+02,  8.182465619123549E+01,  0.000000000000000E+00,  7.117117911141322E+02, -1.536447305368029E+00,  3.619114736935436E+00,  1.493295571788263E+02,  1.445275634090949E+03
  1.700000000000000E+00,  8.414999999999997E+02,  8.720019469097845E+01,  0.000000000000000E+00,  7.558793491325705E+02, -1.579543823549329E+00,  3.845309407993912E+00,  1.493068635618129E+02,  1.450391490459468E+03
  1.800000000000000E+00,  8.909999999999997E+02,  9.260004266370234E+01,  0.000000000000000E+00,  8.000181493851851E+02, -1.618192048887749E+00,  4.071504079052370E+00,  1.492845674408674E+02,  1.450450077302931E+03
  1.900000000000001E+00,  9.404999999999997E+02,  9.802317691144297E+01,  0.000000000000000E+00,  8.441304050626204E+02, -1.653581974063741E+00,  4.297698750110840E+00,  1.492626229517121E+02,  1.447101758775485E+03
  2.000000000000000E+00,  9.899999999999997E+02,  1.034689082228483E+02,  0.000000000000000E+00,  8.882186385340829E+02, -1.687546756931511E+00,  4.523893421169303E+00,  1.492409919118763E+02,  1.441100833324283E+03
  2.100000000000001E+00,  1.039500000000000E+03,  1.089368584441364E+02,  0.000000000000000E+00,  9.322865913097266E+02, -1.723449753863292E+00,  4.750088092227774E+00,  1.492196423120164E+02,  1.432555064666003E+03
  2.200000000000001E+00,  1.089000000000000E+03,  1.144268004163755E+02,  0.000000000000000E+00,  9.763323266660227E+02, -1.759127082398436E+00,  4.976282763286235E+00,  1.491985471429336E+02,  1.421945556120451E+03
  2.300000000000001E+00,  1.138500000000000E+03,  1.199386566284668E+02,  0.000000000000000E+00,  1.020356421427656E+03, -1.795078056122748E+00,  5.202477434344700E+00,  1.491776834587677E+02,  1.409541915925018E+03
  2.400000000000001E+00,  1.188000000000000E+03,  1.254724797732779E+02,  0.000000000000000E+00,  1.064359022865930E+03, -1.831502639208566E+00,  5.428672105403166E+00,  1.491570316542560E+02,  1.395538862512495E+03
  2.500000000000001E+00,  1.237500000000000E+03,  1.310284269669390E+02,  0.000000000000000E+00,  1.108339588120398E+03, -1.868015087336971E+00,  5.654866776461624E+00,  1.491365748676369E+02,  1.380802719748167E+03
  2.600000000000001E+00,  1.287000000000000E+03,  1.366066700287089E+02,  0.000000000000000E+00,  1.152301164053344E+03, -1.907834082053341E+00,  5.881061447520100E+00,  1.491162985028824E+02,  1.384952764387129E+03
  2.700000000000001E+00,  1.336500000000000E+03,  1.421921989744196E+02,  0.000000000000000E+00,  1.196254213190703E+03, -1.946412165122865E+00,  6.107256118578555E+00,  1.113697959849108E+02,  1.399086209121364E+03
  2.800000000000001E+00,  1.386000000000000E+03,  1.478000003583344E+02,  0.000000000000000E+00,  1.240178839718254E+03, -1.978840076588085E+00,  6.333450789637020E+00,  1.490762377720380E+02,  1.415651423811469E+03
  2.900000000000001E+00,  1.435500000000000E+03,  1.534314309983183E+02,  0.000000000000000E+00,  1.284073141742425E+03, -2.004572740743470E+00,  6.559645460695489E+00,  1.490564324312350E+02,  1.420420302975237E+03
  3.000000000000001E+00,  1.485000000000000E+03,  1.590827697577950E+02,  0.000000000000000E+00,  1.327942479483710E+03, -2.025249241505662E+00,  6.785840131753954E+00,  1.490367651368126E+02,  1.418786094369480E+03
  3.100000000000001E+00,  1.534500000000000E+03,  1.647523240831582E+02,  0.000000000000000E+00,  1.371791411430924E+03, -2.043735514082755E+00,  7.012034802812420E+00,  1.490172281414731E+02,  1.412993303527206E+03
  3.200000000000002E+00,  1.584000000000000E+03,  1.704392438812522E+02,  0.000000000000000E+00,  1.415621722533127E+03, -2.060966414379891E+00,  7.238229473870893E+00,  1.489978144830403E+02,  1.404209154161148E+03
  3.300000000000002E+00,  1.633500000000000E+03,  1.761431165575434E+02,  0.000000000000000E+00,  1.459434624591217E+03, -2.077741148760197E+00,  7.464424144929358E+00,  1.489785178921109E+02,  1.407382033005650E+03
  3.400000000000002E+00,  1.683000000000000E+03,  1.818637869948457E+02,  0.000000000000000E+00,  1.503231297547492E+03, -2.095084542338327E+00,  7.690618815987827E+00,  1.489593327181226E+02,  1.412274143446707E+03
  3.500000000000002E+00,  1.732500000000000E+03,  1.876013162084052E+02,  0.000000000000000E+00,  1.547016384042028E+03, -2.117700250433700E+00,  7.916813487046292E+00,  1.489402538094598E+02,  1.417646921296469E+03
  3.600000000000002E+00,  1.782000000000000E+03,  1.933556938118741E+02,  0.000000000000000E+00,  1.590785831644775E+03, -2.141525456648878E+00,  8.143008158104754E+00,  1.489212764616723E+02,  1.422158300142756E+03
  3.700000000000002E+00,  1.831500000000000E+03,  1.991274895143291E+02,  0.000000000000000E+00,  1.634538853718404E+03, -2.166343232733652E+00,  8.369202829163221E+00,  1.489023963612403E+02,  1.425982235980452E+03
  3.800000000000002E+00,  1.881000000000000E+03,  2.049171321135311E+02,  0.000000000000000E+00,  1.678274459834633E+03, -2.191591948163932E+00,  8.595397500221683E+00,  1.488836095381573E+02,  1.429315864588289E+03
  3.900000000000002E+00,  1.930500000000000E+03,  2.107251694850452E+02,  0.000000000000000E+00,  1.721991057448904E+03, -2.216226933949429E+00,  8.821592171280148E+00,  1.488649123257871E+02,  1.432220783541697E+03
  4.000000000000002E+00,  1.980000000000000E+03,  2.165521579134660E+02,  0.000000000000000E+00,  1.765687651488188E+03, -2.239809401653929E+00,  9.047786842338610E+00,  1.488463013267564E+02,  1.434688348095544E+03
  4.100000000000001E+00,  2.029500000000000E+03,  2.223788833824269E+02,  0.000000000000000E+00,  1.809382872939095E+03, -2.261756321522398E+00,  9.273981513397088E+00,  1.488277731917958E+02,  1.459919912207410E+03
  4.200000000000001E+00,  2.079000000000000E+03,  2.282296160593682E+02,  0.000000000000000E+00,  1.853045100496311E+03, -2.274716555679333E+00,  9.500176184455539E+00,  1.488093251075525E+02,  1.467998707758729E+03
  4.300000000000001E+00,  2.128500000000000E+03,  2.340988463189814E+02,  0.000000000000000E+00,  1.896687410030972E+03, -2.286256349954328E+00,  9.726370855514000E+00,  1.487909543201665E+02,  1.466438145570516E+03
  4.400000000000000E+00,  2.178000000000000E+03,  2.399845432931091E+02,  0.000000000000000E+00,  1.940311635489277E+03, -2.296178782386733E+00,  9.952565526572478E+00,  1.487726582416156E+02,  1.460369555947513E+03
  4.500000000000000E+00,  2.227500000000000E+03,  2.458856674163744E+02,  0.000000000000000E+00,  1.983919316114960E+03, -2.304983531334528E+00,  1.017876019763093E+01,  1.487544344405421E+02,  1.451251830445980E+03
  4.600000000000000E+00,  2.277000000000000E+03,  2.518017274055398E+02,  0.000000000000000E+00,  2.027510091348238E+03, -2.311818753778653E+00,  1.040495486868941E+01,  1.487362806280169E+02,  1.441602770366915E+03
  4.699999999999999E+00,  2.326500000000000E+03,  2.577328308321701E+02,  0.000000000000000E+00,  2.071088077189001E+03, -2.320908021171363E+00,  1.063114953974786E+01,  1.487181946450636E+02,  1.429184045543606E+03
  4.799999999999999E+00,  2.376000000000000E+03,  2.636788808483874E+02,  0.000000000000000E+00,  2.114653106478923E+03, -2.331987327311253E+00,  1.085734421080633E+01,  1.486993232848572E+02,  1.433533490131725E+03
  4.899999999999999E+00,  2.425500000000000E+03,  2.696402224711176E+02,  0.000000000000000E+00,  2.158206967899721E+03, -2.347190370839598E+00,  1.108353888186480E+01,  1.486733738391704E+02,  1.437732620387975E+03
  4.999999999999998E+00,  2.475000000000000E+03,  2.756172850317292E+02,  0.000000000000000E+00,  2.201745975039034E+03, -2.363260070763317E+00,  1.130973355292325E+01,  1.486474312084941E+02,  1.441605717999432E+03
  5.099999999999998E+00,  2.524500000000000E+03,  2.816107823166409E+02,  0.000000000000000E+00,  2.245273376743658E+03, -2.384159060299680E+00,  1.153592822398173E+01,  1.486214955183847E+02,  1.445857515581718E+03
  5.199999999999998E+00,  2.574000000000000E+03,  2.876210385869203E+02,  0.000000000000000E+00,  2.288782545803915E+03, -2.403584390835931E+00,  1.176212289504018E+01,  1.485955669126095E+02,  1.449159632982903E+03
  5.299999999999997E+00,  2.623500000000000E+03,  2.936488863560026E+02,  0.000000000000000E+00,  2.332273334521502E+03, -2.422220877504969E+00,  1.198831756609866E+01,  1.485696455550358E+02,  1.452230504844923E+03
  5.399999999999997E+00,  2.673000000000000E+03,  2.996760640906994E+02,  0.000000000000000E+00,  2.375761785145609E+03, -2.437849236308921E+00,  1.221451223715712E+01,  1.485437293645259E+02,  1.476554800059123E+03
  5.499999999999996E+00,  2.722500000000000E+03,  3.057245335493500E+02,  0.000000000000000E+00,  2.419221203920373E+03, -2.445737469723554E+00,  1.244070690821557E+01,  1.485178178511225E+02,  1.486665680911228E+03
  5.599999999999996E+00,  2.772000000000000E+03,  3.117919402625515E+02,  0.000000000000000E+00,  2.462661791433835E+03, -2.453731696386967E+00,  1.266690157927404E+01,  1.484919130065276E+02,  1.486727143739203E+03
  5.699999999999996E+00,  2.821500000000000E+03,  3.178756426715660E+02,  0.000000000000000E+00,  2.506084931613739E+03, -2.460574285305483E+00,  1.289309625033250E+01,  1.484660097971618E+02,  1.481824629627045E+03
  5.799999999999995E+00,  2.871000000000000E+03,  3.239742676120197E+02,  0.000000000000000E+00,  2.549491427198867E+03, -2.465694810887726E+00,  1.311929092139097E+01,  1.484401126441472E+02,  1.473598708129471E+03
  5.899999999999995E+00,  2.920500000000000E+03,  3.300871260672001E+02,  0.000000000000000E+00,  2.592884232997727E+03, -2.471359064927583E+00,  1.334548559244944E+01,  1.484142214196238E+02,  1.462869102159479E+03
