step,time_s,birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,FE_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j
1,0.1,2.05e-07,2.04999918e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-5.55111512312578e-17
2,0.2,2.05e-07,2.05e-07,0,0,0,0,-5.55111512312578e-17
3,0.3,2.05e-07,2.05e-07,0,-1.66533453693773e-16,0,1.66533453693773e-16,1.11022302462516e-16
4,0.4,2.05e-07,2.05e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,5.55111512312578e-17
5,0.5,2.05e-07,2.05e-07,0,1.11022302462516e-16,0,-1.11022302462516e-16,-5.55111512312578e-17
6,0.6,2.05e-07,2.05e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-1.11022302462516e-16
7,0.7,2.05e-07,2.05e-07,0,0,0,0,-1.11022302462516e-16
8,0.8,2.05e-07,2.05e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-5.55111512312578e-17
9,0.9,2.05e-07,2.05e-07,0,1.11022302462516e-16,0,-1.11022302462516e-16,-1.66533453693773e-16
10,1,2.05e-07,2.05e-07,0,0,0,0,-1.66533453693773e-16
11,1.1,2.05e-07,2.05e-07,0,-1.66533453693773e-16,0,1.66533453693773e-16,0
12,1.2,2.05e-07,2.05e-07,0,1.11022302462516e-16,0,-1.11022302462516e-16,-1.11022302462516e-16
13,1.3,2.05e-07,2.05e-07,0,-1.11022302462516e-16,0,1.11022302462516e-16,0
14,1.4,2.05e-07,2.05e-07,0,0,0,0,0
15,1.5,2.05e-07,2.05e-07,0,0,0,0,0
16,1.6,2.05e-07,2.05e-07,0,2.22044604925031e-16,0,-2.22044604925031e-16,-2.22044604925031e-16
17,1.7,2.05e-07,2.05e-07,0,0,0,0,-2.22044604925031e-16
18,1.8,2.05e-07,2.05e-07,0,-1.11022302462516e-16,0,1.11022302462516e-16,-1.11022302462516e-16
19,1.9,2.05000000000002e-07,2.05000000000002e-07,0,0,0,0,-1.11022302462516e-16
20,2,2.04999999999998e-07,2.04999999999998e-07,0,-1.11022302462516e-16,0,1.11022302462516e-16,0
21,2.1,2.05000000000002e-07,2.05000000000002e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-5.55111512312578e-17
22,2.2,2.05e-07,2.05e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-1.11022302462516e-16
23,2.3,2.05e-07,2.05e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-5.55111512312578e-17
24,2.4,2.04999999999999e-07,2.04999999999999e-07,0,0,0,0,-5.55111512312578e-17
25,2.5,2.05e-07,2.05e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-1.11022302462516e-16
26,2.6,2.05e-07,2.05e-07,0,-1.11022302462516e-16,0,1.11022302462516e-16,0
27,2.7,2.05e-07,2.05e-07,0,1.11022302462516e-16,0,-1.11022302462516e-16,-1.11022302462516e-16
28,2.8,2.05e-07,2.05e-07,0,-1.11022302462516e-16,0,1.11022302462516e-16,0
29,2.9,2.04999999999999e-07,2.04999999999999e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-5.55111512312578e-17
30,3,2.05e-07,2.05e-07,0,0,0,0,-5.55111512312578e-17
31,3.1,2.05e-07,2.05e-07,0,1.11022302462516e-16,0,-1.11022302462516e-16,-1.66533453693773e-16
32,3.2,2.05000000000002e-07,2.05000000000002e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-2.22044604925031e-16
33,3.3,2.05e-07,2.05e-07,0,0,0,0,-2.22044604925031e-16
34,3.4,2.05e-07,2.05e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-1.66533453693773e-16
35,3.5,2.05e-07,2.05e-07,0,0,0,0,-1.66533453693773e-16
36,3.6,2.04999999999999e-07,2.04999999999999e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-1.11022302462516e-16
37,3.7,2.05e-07,2.05e-07,0,1.66533453693773e-16,0,-1.66533453693773e-16,-2.77555756156289e-16
38,3.8,2.05e-07,2.05e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-2.22044604925031e-16
39,3.9,2.05e-07,2.05e-07,0,5.55111512312578e-17,0,-5.55111512312578e-17,-2.77555756156289e-16
40,4,2.04999999999996e-07,2.04999999999996e-07,0,-5.55111512312578e-17,0,5.55111512312578e-17,-2.22044604925031e-16
41,4.1,0,0,0,0,0,0,-2.22044604925031e-16
42,4.2,0,0,0,0,0,0,-2.22044604925031e-16
