time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  2.500000000000000E-02,  2.000000000000000E+01,  1.500000000000000E+02
  2.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  5.000000000000000E-02,  1.999999999999999E+01,  1.500000000000000E+02
  3.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  7.500000000000001E-02,  1.999999999999999E+01,  1.500000000000000E+02
  4.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.220446049250313E-16, -2.220446049250313E-16,  1.000000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  5.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.110223024625157E-16, -1.110223024625157E-16,  1.250000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  6.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.551115123125783E-17, -5.551115123125783E-17,  1.500000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  7.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.330669073875470E-16, -3.330669073875470E-16,  1.750000000000000E-01,  1.999999999999998E+01,  1.500000000000000E+02
  7.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.775557561562891E-16, -2.775557561562891E-16,  2.000000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  8.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.551115123125783E-17, -5.551115123125783E-17,  2.250000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  9.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.220446049250313E-16, -2.220446049250313E-16,  2.500000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.100000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  2.750000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.200000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.110223024625157E-16, -1.110223024625157E-16,  3.000000000000000E-01,  2.000000000000000E+01,  1.500000000000000E+02
  1.300000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.220446049250313E-16, -2.220446049250313E-16,  3.250000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.400000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  3.500000000000000E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.500000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.110223024625157E-16, -1.110223024625157E-16,  3.750000000000001E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.600000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.775557561562891E-16, -2.775557561562891E-16,  4.000000000000001E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.700000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16, -1.665334536937735E-16,  4.250000000000001E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.800000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.220446049250313E-16, -2.220446049250313E-16,  4.500000000000001E-01,  1.999999999999999E+01,  1.500000000000000E+02
  1.900000000000001E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.220446049250313E-16, -2.220446049250313E-16,  4.750000000000001E-01,  1.999999999999999E+01,  1.500000000000000E+02
