step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.000000000000000E-01,  1.250000000000000E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.049999180000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16,  0.000000000000000E+00, -1.665334536937735E-16, -1.665334536937735E-16,  2.110806110658387E-18,  0.000000000000000E+00,  2.110806110658387E-18,  0.000000000000000E+00, -1.686442598044319E-16
  2.000000000000000E+00,  2.000000000000000E-01,  3.750000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.665334536937735E-16, -3.519433538406706E-18,  0.000000000000000E+00, -3.622576336887531E-18,  1.031427984808255E-19,  3.519433538406706E-18
  3.000000000000000E+00,  3.000000000000000E-01,  6.250000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.665334536937735E-16, -2.839843961989124E-19,  0.000000000000000E+00, -3.424937441594922E-19,  5.850934796057985E-20,  2.839843961989124E-19
  4.000000000000000E+00,  4.000000000000000E-01,  8.750000000000001E-02,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.551115123125783E-17,  0.000000000000000E+00, -5.551115123125783E-17, -2.220446049250313E-16,  2.335891874138862E-18,  0.000000000000000E+00,  2.594434476482806E-18, -2.585426023439437E-19, -5.784704310539669E-17
  5.000000000000000E+00,  5.000000000000000E-01,  1.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.110223024625157E-16,  0.000000000000000E+00,  1.110223024625157E-16, -1.110223024625157E-16, -5.264254359308416E-19,  0.000000000000000E+00, -3.075264209900145E-19, -2.188990149408271E-19,  1.115487278984465E-16
  6.000000000000000E+00,  6.000000000000000E-01,  1.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -5.551115123125783E-17,  2.272262794206334E-18,  0.000000000000000E+00,  1.898115105200472E-18,  3.741476890058620E-19,  5.323888843705150E-17
  7.000000000000000E+00,  7.000000000000000E-01,  1.625000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.775557561562891E-16,  0.000000000000000E+00, -2.775557561562891E-16, -3.330669073875470E-16, -2.413944872204957E-18,  0.000000000000000E+00, -1.943573170799631E-18, -4.703717014053251E-19, -2.751418112840842E-16
  8.000000000000000E+00,  7.999999999999999E-01,  1.875000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -2.775557561562891E-16,  2.944268429295601E-19,  0.000000000000000E+00,  2.643233502609473E-19,  3.010349266861277E-20,  5.521672438832827E-17
  9.000000000000000E+00,  8.999999999999999E-01,  2.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.220446049250313E-16,  0.000000000000000E+00,  2.220446049250313E-16, -5.551115123125783E-17,  5.038616636764328E-19,  0.000000000000000E+00,  5.038616636764399E-19, -7.125875220170025E-33,  2.215407432613549E-16
  1.000000000000000E+01,  9.999999999999999E-01,  2.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16,  0.000000000000000E+00, -1.665334536937735E-16, -2.220446049250313E-16, -1.786230256960956E-18,  0.000000000000000E+00, -1.923118930858900E-18,  1.368886738979440E-19, -1.647472234368125E-16
  1.100000000000000E+01,  1.100000000000000E+00,  2.625000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.665334536937735E-16,  7.040213619165459E-19,  0.000000000000000E+00,  3.444362721947381E-19,  3.595850897218077E-19,  5.480712986934128E-17
  1.200000000000000E+01,  1.200000000000000E+00,  2.875000000000000E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.110223024625157E-16, -9.853017845221167E-19,  0.000000000000000E+00, -1.097829286375622E-18,  1.125275018535049E-19,  5.649645301577994E-17
  1.300000000000000E+01,  1.300000000000000E+00,  3.125000000000000E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.110223024625157E-16,  0.000000000000000E+00, -1.110223024625157E-16, -2.220446049250313E-16,  1.965088199559914E-18,  0.000000000000000E+00,  1.576156892331755E-18,  3.889313072281589E-19, -1.129873906620756E-16
  1.400000000000000E+01,  1.400000000000000E+00,  3.375000000000000E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.665334536937735E-16,  1.730363221381584E-18,  0.000000000000000E+00,  1.409345610175046E-18,  3.210176112065381E-19,  5.378078800987624E-17
  1.500000000000000E+01,  1.500000000000000E+00,  3.625000000000000E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.110223024625157E-16, -1.938640752762359E-18,  0.000000000000000E+00, -2.895894900391907E-19, -1.649051262723169E-18,  5.744979198402018E-17
  1.600000000000000E+01,  1.600000000000000E+00,  3.875000000000001E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  1.665334536937735E-16,  0.000000000000000E+00, -1.665334536937735E-16, -2.775557561562891E-16, -1.245521383393836E-18,  0.000000000000000E+00, -1.667557554626459E-18,  4.220361712326231E-19, -1.652879323103797E-16
  1.700000000000000E+01,  1.700000000000000E+00,  4.125000000000001E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.110223024625157E-16,  0.000000000000000E+00,  1.110223024625157E-16, -1.665334536937735E-16, -5.481202641497678E-19,  0.000000000000000E+00, -9.788303251558601E-19,  4.307100610060923E-19,  1.115704227266654E-16
  1.800000000000000E+01,  1.800000000000000E+00,  4.375000000000001E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.551115123125783E-17,  0.000000000000000E+00, -5.551115123125783E-17, -2.220446049250313E-16,  2.666692937050022E-18,  0.000000000000000E+00,  2.052947249052135E-18,  6.137456879978871E-19, -5.817784416830785E-17
  1.900000000000000E+01,  1.900000000000001E+00,  4.625000000000001E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.220446049250313E-16, -1.199271682516020E-18,  0.000000000000000E+00, -5.760344305613817E-19, -6.232372519546384E-19,  1.199271682516020E-18
  2.000000000000000E+01,  2.000000000000000E+00,  4.875000000000001E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.220446049250313E-16,  4.665380156438670E-19,  0.000000000000000E+00,  1.188351549281527E-18, -7.218135336376604E-19, -4.665380156438670E-19
  2.100000000000000E+01,  2.100000000000001E+00,  5.125000000000002E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.220446049250313E-16,  1.414708023551936E-18,  0.000000000000000E+00,  1.454028420503369E-33,  1.414708023551934E-18, -1.414708023551936E-18
  2.200000000000000E+01,  2.200000000000001E+00,  5.375000000000002E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.220446049250313E-16, -2.513948984204490E-18,  0.000000000000000E+00, -1.177311772756424E-18, -1.336637211448066E-18,  2.513948984204490E-18
  2.300000000000000E+01,  2.300000000000001E+00,  5.625000000000002E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.665334536937735E-16,  1.773974213836593E-18,  0.000000000000000E+00,  4.259076112915470E-19,  1.348066602545046E-18,  5.373717701742123E-17
  2.400000000000000E+01,  2.400000000000001E+00,  5.875000000000002E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  5.551115123125783E-17,  0.000000000000000E+00, -5.551115123125783E-17, -2.220446049250313E-16,  2.527333082962683E-18,  0.000000000000000E+00,  1.918626109072433E-18,  6.087069738902500E-19, -5.803848431422051E-17
  2.500000000000000E+01,  2.500000000000001E+00,  6.125000000000003E-01,  0.000000000000000E+00,  2.050000000000002E-07,  2.050000000000002E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.551115123125783E-17,  0.000000000000000E+00,  5.551115123125783E-17, -1.665334536937735E-16, -5.581919834435451E-18,  0.000000000000000E+00, -3.838790765960308E-18, -1.743129068475143E-18,  6.109307106569327E-17
