time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  2.530723987710000E-03,  2.267388960527583E-03,  2.633350271824169E-04,  2.500000000000000E-02,  1.999999999999989E+01,  1.500000000000000E+03
  2.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  5.061448987710000E-03, -1.055523477665687E-03,  6.116972465375688E-03,  5.000000000000000E-02,  1.999999999999996E+01,  1.500000000000000E+03
  3.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  7.592173987710000E-03, -6.834483222283083E-03,  1.442665720999308E-02,  7.500000000000001E-02,  1.999999999999997E+01,  1.500000000000001E+03
  4.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  1.012289898771000E-02, -1.024866551960102E-02,  2.037156450731102E-02,  1.000000000000000E-01,  1.999999999999995E+01,  1.500000000000000E+03
  5.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  1.265362398771000E-02, -8.512049169308256E-03,  2.116567315701826E-02,  1.250000000000000E-01,  1.999999999999995E+01,  1.500000000000000E+03
  6.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  1.518434898771000E-02, -6.881074818601007E-03,  2.206542380631100E-02,  1.500000000000000E-01,  1.999999999999994E+01,  1.500000000000000E+03
  7.000000000000000E-01,  0.000000000000000E+00,  0.000000000000000E+00,  1.771507398770999E-02, -5.343016440049198E-03,  2.305809042775919E-02,  1.750000000000000E-01,  1.999999999999995E+01,  1.500000000000000E+03
  7.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  2.024579898770999E-02, -3.886692708110928E-03,  2.413249169582092E-02,  2.000000000000000E-01,  1.999999999999994E+01,  1.500000000000001E+03
  8.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  2.277652398770999E-02, -2.502254071815813E-03,  2.527877805952580E-02,  2.250000000000000E-01,  1.999999999999996E+01,  1.500000000000001E+03
  9.999999999999999E-01,  0.000000000000000E+00,  0.000000000000000E+00,  2.530724898770999E-02, -1.181003293915239E-03,  2.648825228162523E-02,  2.500000000000000E-01,  1.999999999999995E+01,  1.500000000000001E+03
