step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.000000000000000E-01,  1.250000000000000E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.049999180000000E-07,  2.530723987710000E-03,  0.000000000000000E+00,  0.000000000000000E+00,  2.267388960527583E-03,  2.530723987710000E-03,  2.633350271824169E-04,  2.633350271824169E-04,  2.633350272062593E-04,  0.000000000000000E+00,  8.841852160798175E-18,  2.633350272062505E-04, -2.384247313469423E-14
  2.000000000000000E+00,  2.000000000000000E-01,  3.750000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  2.530725000000000E-03,  0.000000000000000E+00,  0.000000000000000E+00, -3.322912438193271E-03,  2.530725000000000E-03,  5.853637438193271E-03,  6.116972465375688E-03,  5.853637415499108E-03,  0.000000000000000E+00, -2.891012360422238E-17,  5.853637415499137E-03,  2.269416252143053E-11
  3.000000000000000E+00,  3.000000000000000E-01,  6.250000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  2.530725000000000E-03,  0.000000000000000E+00,  0.000000000000000E+00, -5.778959744617396E-03,  2.530725000000000E-03,  8.309684744617397E-03,  1.442665720999308E-02,  8.309684744677248E-03,  0.000000000000000E+00, -3.083832979889106E-17,  8.309684744677279E-03, -5.985142936815180E-14
  4.000000000000000E+00,  4.000000000000000E-01,  8.750000000000001E-02,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00, -3.414182297317936E-03,  2.530724999999999E-03,  5.944907297317935E-03,  2.037156450731102E-02,  5.944907355006463E-03,  0.000000000000000E+00,  1.258070589978987E-16,  5.944907355006337E-03, -5.768852756604659E-11
  5.000000000000000E+00,  5.000000000000000E-01,  1.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.736616350292763E-03,  2.530724999999999E-03,  7.941086497072359E-04,  2.116567315701826E-02,  7.941086497063436E-04,  0.000000000000000E+00, -2.530746255424812E-17,  7.941086497063689E-04,  8.922983879555701E-16
  6.000000000000000E+00,  6.000000000000000E-01,  1.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.630974350707248E-03,  2.530724999999999E-03,  8.997506492927510E-04,  2.206542380631100E-02,  8.997506492934806E-04,  0.000000000000000E+00,  1.880922797240851E-17,  8.997506492934618E-04, -7.295596418654959E-16
  7.000000000000000E+00,  7.000000000000000E-01,  1.625000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.538058378551810E-03,  2.530724999999999E-03,  9.926666214481895E-04,  2.305809042775919E-02,  9.926666214465515E-04,  0.000000000000000E+00, -5.141310660854823E-17,  9.926666214466028E-04,  1.638012642191100E-15
  8.000000000000000E+00,  7.999999999999999E-01,  1.875000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.456323731938269E-03,  2.530724999999999E-03,  1.074401268061730E-03,  2.413249169582092E-02,  1.074401268066023E-03,  0.000000000000000E+00, -1.034047613534272E-16,  1.074401268066126E-03, -4.292573241304609E-15
  9.000000000000000E+00,  8.999999999999999E-01,  2.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.384438636295116E-03,  2.530724999999999E-03,  1.146286363704884E-03,  2.527877805952580E-02,  1.146286363705058E-03,  0.000000000000000E+00,  6.137099597169889E-17,  1.146286363704996E-03, -1.739060284666749E-16
  1.000000000000000E+01,  9.999999999999999E-01,  2.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  2.530724999999999E-03,  0.000000000000000E+00,  0.000000000000000E+00,  1.321250777900573E-03,  2.530724999999999E-03,  1.209474222099426E-03,  2.648825228162523E-02,  1.209474222099303E-03,  0.000000000000000E+00,  3.397876638942572E-17,  1.209474222099269E-03,  1.225148454908620E-16
