step,time_s,birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,FE_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j
1,0.1,2.05e-07,2.04999918e-07,0,-0.000263335027179679,0,0.000263335027179679,0.000263335027179679
2,0.2,2.05e-07,2.05e-07,0,-0.00585363743819123,0,0.00585363743819123,0.00611697246537091
3,0.3,2.05e-07,2.05e-07,0,-0.00830968474461891,0,0.00830968474461891,0.0144266572099898
4,0.4,2.05e-07,2.05e-07,0,-0.00594490729731767,0,0.00594490729731767,0.0203715645073075
5,0.5,2.05e-07,2.05e-07,0,-0.000794108649705194,0,0.000794108649705194,0.0211656731570127
6,0.6,2.05e-07,2.05e-07,0,-0.000899750649292486,0,0.000899750649292486,0.0220654238063052
7,0.7,2.05e-07,2.05e-07,0,-0.000992666621444371,0,0.000992666621444371,0.0230580904277495
8,0.8,2.05e-07,2.05e-07,0,-0.00107440126806857,0,0.00107440126806857,0.0241324916958181
9,0.9,2.05e-07,2.05e-07,0,-0.00114628636370462,0,0.00114628636370462,0.0252787780595227
10,1,2.05e-07,2.05e-07,0,-0.00120947422209738,0,0.00120947422209738,0.0264882522816201
