step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.000000000000000E-01,  1.250000000000000E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.049999180000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -2.633350271832313E-04,  0.000000000000000E+00,  2.633350271832313E-04,  2.633350271832313E-04,  2.633350272062593E-04,  0.000000000000000E+00,  8.841852160798175E-18,  2.633350272062505E-04, -2.302802046272312E-14
  2.000000000000000E+00,  2.000000000000000E-01,  3.750000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.853637438193005E-03,  0.000000000000000E+00,  5.853637438193005E-03,  6.116972465376236E-03,  5.853637415499108E-03,  0.000000000000000E+00, -2.891012360422238E-17,  5.853637415499137E-03,  2.269389624137697E-11
  3.000000000000000E+00,  3.000000000000000E-01,  6.250000000000001E-02,  0.000000000000000E+00,  2.050000000000000E-07,  2.050000000000000E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -8.309684744618906E-03,  0.000000000000000E+00,  8.309684744618906E-03,  1.442665720999514E-02,  8.309684744677248E-03,  0.000000000000000E+00, -3.083832979889106E-17,  8.309684744677279E-03, -5.834221994405198E-14
  4.000000000000000E+00,  4.000000000000000E-01,  8.750000000000001E-02,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -5.944907297315893E-03,  0.000000000000000E+00,  5.944907297315893E-03,  2.037156450731104E-02,  5.944907355006463E-03,  0.000000000000000E+00,  1.258070589978987E-16,  5.944907355006337E-03, -5.769056933557781E-11
  5.000000000000000E+00,  5.000000000000000E-01,  1.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -7.941086497087468E-04,  0.000000000000000E+00,  7.941086497087468E-04,  2.116567315701978E-02,  7.941086497063436E-04,  0.000000000000000E+00, -2.530746255424812E-17,  7.941086497063689E-04,  2.403242535531369E-15
  6.000000000000000E+00,  6.000000000000000E-01,  1.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -8.997506492924856E-04,  0.000000000000000E+00,  8.997506492924856E-04,  2.206542380631227E-02,  8.997506492934806E-04,  0.000000000000000E+00,  1.880922797240851E-17,  8.997506492934618E-04, -9.949723336899474E-16
  7.000000000000000E+00,  7.000000000000000E-01,  1.625000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -9.926666214461477E-04,  0.000000000000000E+00,  9.926666214461477E-04,  2.305809042775842E-02,  9.926666214465508E-04,  0.000000000000000E+00, -5.141310660854823E-17,  9.926666214466022E-04, -4.031063677301105E-16
  8.000000000000000E+00,  7.999999999999999E-01,  1.875000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.074401268061465E-03,  0.000000000000000E+00,  1.074401268061465E-03,  2.413249169581988E-02,  1.074401268066024E-03,  0.000000000000000E+00, -1.034047613534272E-16,  1.074401268066127E-03, -4.559070135301546E-15
  9.000000000000000E+00,  8.999999999999999E-01,  2.125000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.146286363704618E-03,  0.000000000000000E+00,  1.146286363704618E-03,  2.527877805952450E-02,  1.146286363705057E-03,  0.000000000000000E+00,  6.137099597169889E-17,  1.146286363704996E-03, -4.391018798566293E-16
  1.000000000000000E+01,  9.999999999999999E-01,  2.375000000000000E-01,  0.000000000000000E+00,  2.049999999999999E-07,  2.049999999999999E-07,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00, -1.209474222099161E-03,  0.000000000000000E+00,  1.209474222099161E-03,  2.648825228162366E-02,  1.209474222099303E-03,  0.000000000000000E+00,  3.397876638942572E-17,  1.209474222099269E-03, -1.426810058990924E-16
