time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
0.1,49.5,4.82214277789449,0,44.6778572229814,-8.75886030371475e-10,90.4778684233861,149.875831511116,436.375242126051
0.2,99,9.68303059104689,0,89.316969410007,-1.05390540738881e-09,90.4778684233861,149.806087092376,574.443593953405
0.3,148.5,14.5808560900856,0,133.919143911,-1.08556719169428e-09,90.4778684233861,149.755336432325,672.832346699292
0.4,198,19.514175030464,0,178.485824970623,-1.08707354229409e-09,90.4778684233861,149.712537703004,754.68281453916
0.5,247.5,24.4821018390298,0,223.01789816207,-1.10000542008493e-09,90.4778684233861,149.67178162944,827.324034089163
0.6,297,29.4841238283218,0,267.515876172765,-1.08701669887523e-09,90.4778684233861,149.634825398046,894.220311873821
0.7,346.5,34.5200777488809,0,311.97992225222,-1.10065911940183e-09,90.4778684233861,149.600692671621,957.029369917878
0.8,396,39.5900342236377,0,356.409965777442,-1.07991127151763e-09,90.4778684233861,149.568746637882,1016.63294635697
0.9,445.5,44.6940958011151,0,400.805904199973,-1.08826725409017e-09,90.4778684233861,149.538546005402,1073.52911173305
1,495,49.8324668117844,0,445.167533189328,-1.1118572729174e-09,90.4778684233861,149.509770610044,1128.05317850237
1.1,544.5,55.0054876201105,0,489.494512380988,-1.09901066025486e-09,90.4778684233861,149.482179781526,1180.54660548349
1.2,594,60.2136141283796,0,533.786385872707,-1.08650510810548e-09,90.4778684233861,149.45558753001,1231.38275327296
1.3,643.5,65.4575167034102,0,578.042483297708,-1.11799636215437e-09,90.4778684233861,149.429846967028,1280.86355020446
1.4,693,70.7379439481237,0,622.262056052976,-1.09957909444347e-09,90.4778684233861,149.404840076697,1325.3885025062
1.5,742.5,76.0547090170758,0,666.445290984026,-1.10139808384702e-09,90.4778684233861,149.380470731014,1349.93352386463
1.6,792,81.4030277869262,0,710.596972214196,-1.12254383566324e-09,90.4778684233861,149.356659752973,1366.8743146669
1.7,841.5,86.7808525653896,0,754.719147435746,-1.1355041351635e-09,90.4778684233861,149.333341320881,1378.59174957674
1.8,891,92.1866443772012,0,798.813355623926,-1.12754605652299e-09,90.4778684233861,149.310460281679,1384.08582213864
1.9,940.5,97.6188662666815,0,842.881133734445,-1.12652287498349e-09,90.4778684233861,149.287970100076,1388.48621245348
2,990,103.077123038009,0,886.922876963123,-1.13209353003185e-09,90.4778684233861,149.265831265263,1391.75429740457
2.1,1039.5,108.561386810149,0,930.938613190978,-1.12720499600982e-09,90.4778684233861,149.244010035352,1393.58389928675
2.2,1089,114.071799945541,0,974.92820005559,-1.13163878268097e-09,90.4778684233861,149.222477436491,1393.93039591919
2.3,1138.5,119.608582583875,0,1018.89141741726,-1.13516307465034e-09,90.4778684233861,149.201208457559,1392.83609503289
