time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  3.510000000000000E+01,  4.949999999999994E+01,  9.738515476135039E+00,  0.000000000000000E+00,  3.975706788285606E+01,  4.416641008845090E-03,  7.939432954152097E+01,  1.414897514455251E+02,  1.569499243558549E+03
  3.520000000000000E+01,  9.899999999999990E+01,  1.948767732129843E+01,  0.000000000000000E+00,  7.949113045026752E+01,  2.119222843394653E-02,  7.962052421257934E+01,  1.414763899092069E+02,  1.562075137683972E+03
  3.530000000000000E+01,  1.484999999999999E+02,  2.924724800304880E+01,  0.000000000000000E+00,  1.192052649143225E+02,  4.748708262866330E-02,  7.984671888363792E+01,  1.414633041110041E+02,  1.552129061914199E+03
  3.540000000000000E+01,  1.979999999999999E+02,  3.901735285080665E+01,  0.000000000000000E+00,  1.589018115725848E+02,  8.083557660842189E-02,  8.007291355469629E+01,  1.414505000499456E+02,  1.540147500845831E+03
  3.550000000000000E+01,  2.474999999999999E+02,  4.879837536481566E+01,  0.000000000000000E+00,  1.985842150088793E+02,  1.174096263050330E-01,  8.029910822575478E+01,  1.414379838473210E+02,  1.525750206571167E+03
  3.560000000000000E+01,  2.970000000000000E+02,  5.859056308661348E+01,  0.000000000000000E+00,  2.382543055549322E+02,  1.551313584542982E-01,  8.052530289681336E+01,  1.414257617490966E+02,  1.529979872120048E+03
  3.570000000000000E+01,  3.464999999999999E+02,  6.839414915615784E+01,  0.000000000000000E+00,  2.779167777172552E+02,  1.890731265869476E-01,  8.075149756787172E+01,  1.414138401283788E+02,  1.534923682780177E+03
  3.580000000000000E+01,  3.959999999999999E+02,  7.820975801679634E+01,  0.000000000000000E+00,  3.175656438605292E+02,  2.245981226743652E-01,  8.097769223893030E+01,  1.414022254879285E+02,  1.539126940677150E+03
  3.590000000000000E+01,  4.454999999999999E+02,  8.803828603931713E+01,  0.000000000000000E+00,  3.572243388416973E+02,  2.373751189854261E-01,  8.120388690998867E+01,  1.413909244627241E+02,  1.542087256236400E+03
  3.600000000000000E+01,  4.949999999999999E+02,  9.788006689767992E+01,  0.000000000000000E+00,  3.968754560831876E+02,  2.444770191323755E-01,  8.143008158104716E+01,  1.413799438225774E+02,  1.543276037237880E+03
  3.610000000000000E+01,  5.444999999999999E+02,  1.077098343970135E+02,  0.000000000000000E+00,  4.365753500899300E+02,  2.148155130564646E-01,  8.165627625210566E+01,  1.413692904748004E+02,  1.565137130481031E+03
  3.620000000000000E+01,  5.939999999999999E+02,  1.175585461522663E+02,  0.000000000000000E+00,  4.762516089713754E+02,  1.898448763581655E-01,  8.188247092316411E+01,  1.413589714669269E+02,  1.572673468275470E+03
  3.630000000000000E+01,  6.434999999999999E+02,  1.274205507924267E+02,  0.000000000000000E+00,  5.159010414078948E+02,  1.784077996783253E-01,  8.210866559422260E+01,  1.413489939894862E+02,  1.574322442123369E+03
  3.640000000000000E+01,  6.929999999999999E+02,  1.372939644220858E+02,  0.000000000000000E+00,  5.555281875495930E+02,  1.778480283211366E-01,  8.233486026528105E+01,  1.413393653788349E+02,  1.571616821161400E+03
  3.650000000000000E+01,  7.424999999999999E+02,  1.471779871084588E+02,  0.000000000000000E+00,  5.951312290737114E+02,  1.907838178296970E-01,  8.256105493633954E+01,  1.413300931200435E+02,  1.565205057538735E+03
  3.660000000000000E+01,  7.919999999999999E+02,  1.570722948872333E+02,  0.000000000000000E+00,  6.347135469908389E+02,  2.141581219276532E-01,  8.278724960739783E+01,  1.413211848498409E+02,  1.556043716230416E+03
  3.670000000000000E+01,  8.414999999999999E+02,  1.669769148708253E+02,  0.000000000000000E+00,  6.742776583465384E+02,  2.454267826362866E-01,  8.301344427845649E+01,  1.413126483596182E+02,  1.544701718889903E+03
  3.680000000000000E+01,  8.909999999999998E+02,  1.768921602008206E+02,  0.000000000000000E+00,  7.138262997049460E+02,  2.815400942331507E-01,  8.323963894951477E+01,  1.413044915984917E+02,  1.531519993018036E+03
  3.690000000000000E+01,  9.404999999999998E+02,  1.868184670331228E+02,  0.000000000000000E+00,  7.533629991822454E+02,  3.185337846316543E-01,  8.346583362057335E+01,  1.412967226764279E+02,  1.528319520542445E+03
  3.700000000000000E+01,  9.899999999999998E+02,  1.967558964242397E+02,  0.000000000000000E+00,  7.928896235729480E+02,  3.544800028121244E-01,  8.369202829163193E+01,  1.412893498674302E+02,  1.533598306152119E+03
  3.710000000000000E+01,  1.039500000000000E+03,  2.067049807563827E+02,  0.000000000000000E+00,  8.324064790085322E+02,  3.885402350848608E-01,  8.391822296269021E+01,  1.412823816127894E+02,  1.538114411001308E+03
  3.720000000000000E+01,  1.089000000000000E+03,  2.166663760333638E+02,  0.000000000000000E+00,  8.719209493527378E+02,  4.126746138981616E-01,  8.414441763374887E+01,  1.412758265243993E+02,  1.541556553017921E+03
  3.730000000000000E+01,  1.138500000000000E+03,  2.266409929555456E+02,  0.000000000000000E+00,  9.114408760283113E+02,  4.181310161427518E-01,  8.437061230480715E+01,  1.412696933881376E+02,  1.543099592454554E+03
  3.740000000000000E+01,  1.188000000000000E+03,  2.366051998071233E+02,  0.000000000000000E+00,  9.509974652208548E+02,  3.973349720216675E-01,  8.459680697586573E+01,  1.412639911673149E+02,  1.561355413529358E+03
  3.750000000000000E+01,  1.237500000000000E+03,  2.465857674323929E+02,  0.000000000000000E+00,  9.905424426586396E+02,  3.717899089672301E-01,  8.482300164692423E+01,  1.412587290061910E+02,  1.571442320229404E+03
  3.760000000000000E+01,  1.287000000000000E+03,  2.565803904863673E+02,  0.000000000000000E+00,  1.030062206277697E+03,  3.574032359360899E-01,  8.504919631798259E+01,  1.412539162335622E+02,  1.574490912701429E+03
  3.770000000000000E+01,  1.336500000000000E+03,  2.665868566968356E+02,  0.000000000000000E+00,  1.069560940510775E+03,  3.522027923888800E-01,  8.527539098904117E+01,  1.412495623664186E+02,  1.573302365214237E+03
  3.780000000000000E+01,  1.386000000000000E+03,  2.766038942258663E+02,  0.000000000000000E+00,  1.109034979656266E+03,  3.611261178675704E-01,  8.550158566009945E+01,  1.412456771136747E+02,  1.567980759012331E+03
  3.790000000000000E+01,  1.435500000000000E+03,  2.866311649397686E+02,  0.000000000000000E+00,  1.148487456854709E+03,  3.813782055219690E-01,  8.572778033115812E+01,  1.412422703799724E+02,  1.559655845642215E+03
  3.800000000000000E+01,  1.485000000000000E+03,  2.966685669620942E+02,  0.000000000000000E+00,  1.187921096529724E+03,  4.103365081812171E-01,  8.595397500221640E+01,  1.412393522695617E+02,  1.548993951002688E+03
  3.810000000000000E+01,  1.534500000000000E+03,  3.067163280658074E+02,  0.000000000000000E+00,  1.227338078009678E+03,  4.455939245146965E-01,  8.618016967327497E+01,  1.412369330902559E+02,  1.536416928046805E+03
  3.820000000000000E+01,  1.584000000000000E+03,  3.167748929710997E+02,  0.000000000000000E+00,  1.266742644938553E+03,  4.824620903470986E-01,  8.640636434433351E+01,  1.412350233574667E+02,  1.526680064791356E+03
  3.830000000000000E+01,  1.633500000000000E+03,  3.268443955247208E+02,  0.000000000000000E+00,  1.306134965408943E+03,  5.206390663363436E-01,  8.663255901539183E+01,  1.412336337983186E+02,  1.532166516656855E+03
  3.840000000000000E+01,  1.683000000000000E+03,  3.369252274533451E+02,  0.000000000000000E+00,  1.345521448792882E+03,  5.533237537722471E-01,  8.685875368645050E+01,  1.412327753558450E+02,  1.536892063791257E+03
  3.850000000000000E+01,  1.732500000000000E+03,  3.470179210083335E+02,  0.000000000000000E+00,  1.384898152971131E+03,  5.839260205352730E-01,  8.708494835750878E+01,  1.412324591932677E+02,  1.540770136720956E+03
  3.860000000000000E+01,  1.782000000000000E+03,  3.571235818921751E+02,  0.000000000000000E+00,  1.424282881580693E+03,  5.935365271313913E-01,  8.731114302856727E+01,  1.412326966983597E+02,  1.542884693887365E+03
  3.870000000000000E+01,  1.831500000000000E+03,  3.672206057971220E+02,  0.000000000000000E+00,  1.463691225034047E+03,  5.881691688312003E-01,  8.753733769962585E+01,  1.412334994878946E+02,  1.554514650855581E+03
  3.880000000000000E+01,  1.881000000000000E+03,  3.773307068950546E+02,  0.000000000000000E+00,  1.503112861225556E+03,  5.564318793890379E-01,  8.776353237068422E+01,  1.412348794121839E+02,  1.568930338998083E+03
  3.890000000000001E+01,  1.930500000000000E+03,  3.874560308527636E+02,  0.000000000000000E+00,  1.542507708951438E+03,  5.362601957981497E-01,  8.798972704174280E+01,  1.412368485597025E+02,  1.574040682161297E+03
  3.900000000000000E+01,  1.980000000000000E+03,  3.975936348024463E+02,  0.000000000000000E+00,  1.581878978153363E+03,  5.273870441901636E-01,  8.821592171280116E+01,  1.412394192618056E+02,  1.574366243837251E+03
  3.910000000000000E+01,  2.029500000000000E+03,  4.077419482997539E+02,  0.000000000000000E+00,  1.621226387948642E+03,  5.316637516041283E-01,  8.844211638385966E+01,  1.412426040975380E+02,  1.570316823024670E+03
  3.920000000000000E+01,  2.079000000000000E+03,  4.179004684704075E+02,  0.000000000000000E+00,  1.660551151733955E+03,  5.483797956374019E-01,  8.866831105491802E+01,  1.412464158985391E+02,  1.562927045911994E+03
  3.930000000000000E+01,  2.128500000000000E+03,  4.280689731698924E+02,  0.000000000000000E+00,  1.699856363684550E+03,  5.746631455569968E-01,  8.889450572597660E+01,  1.412508677540429E+02,  1.553002714189404E+03
  3.940000000000000E+01,  2.178000000000000E+03,  4.382475923487228E+02,  0.000000000000000E+00,  1.739144358278492E+03,  6.080493727845351E-01,  8.912070039703497E+01,  1.412559730159790E+02,  1.541037270513687E+03
  3.950000000000000E+01,  2.227500000000000E+03,  4.484367132317117E+02,  0.000000000000000E+00,  1.778418090453612E+03,  6.451963146762409E-01,  8.934689506809346E+01,  1.412617453041719E+02,  1.526853335442860E+03
  3.960000000000000E+01,  2.277000000000000E+03,  4.586366557009421E+02,  0.000000000000000E+00,  1.817679937480592E+03,  6.834068184650732E-01,  8.957308973915204E+01,  1.412681985116450E+02,  1.530564070120593E+03
  3.970000000000000E+01,  2.326500000000000E+03,  4.688476058701279E+02,  0.000000000000000E+00,  1.856935391450781E+03,  7.170026790904558E-01,  8.979928441021040E+01,  1.412753468100267E+02,  1.535551793962895E+03
  3.980000000000000E+01,  2.376000000000000E+03,  4.790701032356329E+02,  0.000000000000000E+00,  1.896177720567088E+03,  7.521761972789136E-01,  9.002547908126898E+01,  1.412832046550645E+02,  1.539767602844118E+03
  3.990000000000000E+01,  2.425500000000000E+03,  4.893050784575168E+02,  0.000000000000000E+00,  1.935427132132929E+03,  7.677894095538704E-01,  9.025167375232735E+01,  1.412917867922439E+02,  1.542619210783813E+03
  4.000000000000000E+01,  2.475000000000000E+03,  4.995528964733637E+02,  0.000000000000000E+00,  1.974672183571070E+03,  7.749199555653377E-01,  9.047786842338584E+01,  1.413011082625189E+02,  1.543895811764667E+03
  4.009999999999999E+01,  2.475000000000000E+03,  5.098058782488528E+02,  0.000000000000000E+00,  1.964021407071843E+03,  1.172714679303681E+00,  9.047786842338584E+01,  1.413111844081513E+02,  1.044457360061111E+03
  4.020000000000000E+01,  2.475000000000000E+03,  5.196320229111635E+02,  0.000000000000000E+00,  1.953845128114743E+03,  1.522848974093449E+00,  9.047786842338584E+01,  1.413220308786628E+02,  8.689743207917857E+02
  4.030000000000000E+01,  2.475000000000000E+03,  5.293190075234216E+02,  0.000000000000000E+00,  1.943817240338372E+03,  1.863752138205655E+00,  9.047786842338584E+01,  1.413336636368963E+02,  7.774410758654055E+02
  4.040000000000000E+01,  2.475000000000000E+03,  5.389259809232794E+02,  0.000000000000000E+00,  1.933929079965994E+03,  2.144939110726227E+00,  9.047786842338584E+01,  1.413460989651774E+02,  7.111620350756848E+02
  4.050000000000000E+01,  2.475000000000000E+03,  5.484772422916247E+02,  0.000000000000000E+00,  1.924147725946837E+03,  2.375031761537230E+00,  9.047786842338584E+01,  1.413593534331271E+02,  6.592364295950341E+02
  4.059999999999999E+01,  2.475000000000000E+03,  5.579861498201869E+02,  0.000000000000000E+00,  1.914446896146153E+03,  2.566954033659158E+00,  9.047786842338584E+01,  1.413734439970704E+02,  6.173829134645397E+02
  4.070000000000000E+01,  2.475000000000000E+03,  5.674610554231958E+02,  0.000000000000000E+00,  1.904809378259160E+03,  2.729566317643275E+00,  9.047786842338584E+01,  1.413883879561372E+02,  5.842321898004477E+02
  4.080000000000000E+01,  2.475000000000000E+03,  5.769075422175113E+02,  0.000000000000000E+00,  1.895222975650082E+03,  2.869482132406347E+00,  9.047786842338584E+01,  1.414042029328144E+02,  5.571073264435711E+02
  4.089999999999999E+01,  2.475000000000000E+03,  5.863295276030661E+02,  0.000000000000000E+00,  1.885679034295397E+03,  2.991438101536005E+00,  9.047786842338584E+01,  1.414209068995698E+02,  5.344648820287498E+02
  4.099999999999999E+01,  2.475000000000000E+03,  5.957298690301086E+02,  0.000000000000000E+00,  1.876171268753824E+03,  3.098862216067118E+00,  9.047786842338584E+01,  1.414385181840090E+02,  5.203554858984119E+02
  4.109999999999999E+01,  2.475000000000000E+03,  6.051107192826622E+02,  0.000000000000000E+00,  1.866694960105626E+03,  3.194320611711646E+00,  9.047786842338584E+01,  1.414570554731960E+02,  5.088580934632386E+02
  4.120000000000000E+01,  2.475000000000000E+03,  6.144737459950020E+02,  0.000000000000000E+00,  1.857246528911761E+03,  3.279725093236721E+00,  9.047786842338584E+01,  1.414765378168150E+02,  4.991300645489648E+02
  4.130000000000000E+01,  2.475000000000000E+03,  6.238202718880229E+02,  0.000000000000000E+00,  1.847823197087564E+03,  3.356531024412561E+00,  9.047786842338584E+01,  1.414969846288027E+02,  4.907166670756214E+02
  4.139999999999999E+01,  2.475000000000000E+03,  6.331513663628889E+02,  0.000000000000000E+00,  1.838422726831937E+03,  3.425906805173327E+00,  9.047786842338584E+01,  1.415184156870624E+02,  4.831574595196687E+02
  4.149999999999999E+01,  2.475000000000000E+03,  6.424679102492048E+02,  0.000000000000000E+00,  1.829043301025027E+03,  3.488788725767563E+00,  9.047786842338584E+01,  1.415408511308504E+02,  4.783917697604149E+02
  4.159999999999999E+01,  2.475000000000000E+03,  6.517706402521978E+02,  0.000000000000000E+00,  1.819683412697952E+03,  3.545947049849701E+00,  9.047786842338584E+01,  1.415643114554332E+02,  4.742308187436586E+02
  4.169999999999999E+01,  2.475000000000000E+03,  6.610601802110954E+02,  0.000000000000000E+00,  1.810341793803062E+03,  3.598025985842469E+00,  9.047786842338584E+01,  1.415888175036349E+02,  4.702046185303615E+02
  4.179999999999999E+01,  2.475000000000000E+03,  6.703370644087742E+02,  0.000000000000000E+00,  1.801017353336509E+03,  3.645582254716828E+00,  9.047786842338584E+01,  1.416143904539306E+02,  4.665897717985092E+02
  4.189999999999999E+01,  2.475000000000000E+03,  6.796017550422748E+02,  0.000000000000000E+00,  1.791709135372694E+03,  3.689109585031019E+00,  9.047786842338584E+01,  1.416410518047931E+02,  4.630624821506878E+02
  4.199999999999999E+01,  2.475000000000000E+03,  6.888546554866911E+02,  0.000000000000000E+00,  1.782416309177766E+03,  3.729035335541994E+00,  9.047786842338584E+01,  1.416688233550665E+02,  4.596231757371429E+02
  4.209999999999999E+01,  2.475000000000000E+03,  6.980961205963002E+02,  0.000000000000000E+00,  1.773138146498248E+03,  3.765732905451387E+00,  9.047786842338584E+01,  1.416977271802105E+02,  4.563253102377042E+02
  4.219999999999999E+01,  2.475000000000000E+03,  7.073264649151796E+02,  0.000000000000000E+00,  1.763873982104597E+03,  3.799552980223325E+00,  9.047786842338584E+01,  1.417277856043403E+02,  4.538999249289189E+02
  4.229999999999999E+01,  2.475000000000000E+03,  7.165459692053536E+02,  0.000000000000000E+00,  1.754623230085701E+03,  3.830800708944935E+00,  9.047786842338584E+01,  1.417590211680656E+02,  4.515150217034928E+02
  4.239999999999999E+01,  2.475000000000000E+03,  7.257548858934229E+02,  0.000000000000000E+00,  1.745385382305016E+03,  3.859731801560883E+00,  9.047786842338584E+01,  1.417914565922194E+02,  4.491727621379630E+02
  4.249999999999999E+01,  2.475000000000000E+03,  7.349534432701829E+02,  0.000000000000000E+00,  1.736159984978563E+03,  3.886571751253086E+00,  9.047786842338584E+01,  1.418251147376363E+02,  4.468747435326737E+02
  4.259999999999999E+01,  2.475000000000000E+03,  7.441418489033883E+02,  0.000000000000000E+00,  1.726946628296289E+03,  3.911522800321791E+00,  9.047786842338584E+01,  1.418600185612235E+02,  4.446220722173680E+02
  4.269999999999999E+01,  2.475000000000000E+03,  7.533202925272356E+02,  0.000000000000000E+00,  1.717744940470198E+03,  3.934767002565650E+00,  9.047786842338584E+01,  1.418961910686225E+02,  4.425193729852242E+02
  4.279999999999999E+01,  2.475000000000000E+03,  7.624889485261874E+02,  0.000000000000000E+00,  1.708554582010263E+03,  3.956469463548729E+00,  9.047786842338584E+01,  1.419336552638238E+02,  4.405415069769215E+02
  4.289999999999999E+01,  2.475000000000000E+03,  7.716479778900554E+02,  0.000000000000000E+00,  1.699375237856089E+03,  3.976784253854930E+00,  9.047786842338584E+01,  1.419724340961400E+02,  4.385981846937452E+02
  4.299999999999999E+01,  2.475000000000000E+03,  7.807975300039444E+02,  0.000000000000000E+00,  1.690206624019986E+03,  3.995845976069631E+00,  9.047786842338584E+01,  1.420125504049785E+02,  4.367356802184302E+02
  4.309999999999999E+01,  2.475000000000000E+03,  7.899377440143174E+02,  0.000000000000000E+00,  1.681048483949889E+03,  4.013772035792499E+00,  9.047786842338584E+01,  1.420540268628828E+02,  4.351979532852214E+02
  4.319999999999999E+01,  2.475000000000000E+03,  7.990687500466371E+02,  0.000000000000000E+00,  1.671900577391731E+03,  4.030672561631945E+00,  9.047786842338584E+01,  1.420968859173274E+02,  4.337086641658533E+02
  4.329999999999998E+01,  2.475000000000000E+03,  8.081906702957508E+02,  0.000000000000000E+00,  1.662762681312226E+03,  4.046648392022689E+00,  9.047786842338584E+01,  1.421411497317573E+02,  4.326145838991912E+02
  4.339999999999998E+01,  2.475000000000000E+03,  8.173036199178506E+02,  0.000000000000000E+00,  1.653634598858531E+03,  4.061781223618254E+00,  9.047786842338584E+01,  1.421868401263575E+02,  4.315170056296056E+02
  4.349999999999999E+01,  2.475000000000000E+03,  8.264077076538589E+02,  0.000000000000000E+00,  1.644516148208430E+03,  4.076144137711253E+00,  9.047786842338584E+01,  1.422339785190346E+02,  4.304168615697615E+02
  4.359999999999999E+01,  2.475000000000000E+03,  8.355030365162561E+02,  0.000000000000000E+00,  1.635407160028386E+03,  4.089803455357469E+00,  9.047786842338584E+01,  1.422825858670687E+02,  4.293150131111292E+02
  4.369999999999999E+01,  2.475000000000000E+03,  8.445897043698087E+02,  0.000000000000000E+00,  1.626307473637964E+03,  4.102821992226836E+00,  9.047786842338584E+01,  1.423326826098713E+02,  4.284628324770925E+02
  4.379999999999998E+01,  2.475000000000000E+03,  8.536678044528988E+02,  0.000000000000000E+00,  1.617216941202336E+03,  4.115254344764708E+00,  9.047786842338584E+01,  1.423842886132591E+02,  4.277339350423024E+02
  4.389999999999998E+01,  2.475000000000000E+03,  8.627374258070842E+02,  0.000000000000000E+00,  1.608135426251865E+03,  4.127147941050225E+00,  9.047786842338584E+01,  1.424374231156181E+02,  4.270497471891524E+02
  4.399999999999999E+01,  2.475000000000000E+03,  8.717986536584539E+02,  0.000000000000000E+00,  1.599062800588050E+03,  4.138545753495691E+00,  9.047786842338584E+01,  1.424921046762989E+02,  4.263743004861482E+02
  4.409999999999998E+01,  2.475000000000000E+03,  8.808515697747416E+02,  0.000000000000000E+00,  1.589998942454491E+03,  4.149487770766882E+00,  9.047786842338584E+01,  1.425483511265487E+02,  4.256829197719733E+02
  4.419999999999998E+01,  2.475000000000000E+03,  8.898962527786720E+02,  0.000000000000000E+00,  1.580943735350134E+03,  4.160011871193092E+00,  9.047786842338584E+01,  1.426061795232444E+02,  4.249764682448404E+02
  4.429999999999998E+01,  2.475000000000000E+03,  8.989327784102743E+02,  0.000000000000000E+00,  1.571897070260806E+03,  4.170151328919474E+00,  9.047786842338584E+01,  1.426656061056553E+02,  4.242557950411229E+02
  4.439999999999998E+01,  2.475000000000000E+03,  9.079612197233985E+02,  0.000000000000000E+00,  1.562858845056493E+03,  4.179935220108064E+00,  9.047786842338584E+01,  1.427266462554246E+02,  4.235217332221976E+02
  4.449999999999999E+01,  2.475000000000000E+03,  9.169816473040472E+02,  0.000000000000000E+00,  1.553828964449131E+03,  4.189388246821636E+00,  9.047786842338584E+01,  1.427893144599214E+02,  4.227750979425348E+02
  4.459999999999998E+01,  2.475000000000000E+03,  9.259941294394300E+02,  0.000000000000000E+00,  1.544807337444465E+03,  4.198533116104727E+00,  9.047786842338584E+01,  1.428536242790765E+02,  4.220166848821856E+02
