step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  3.510000000000000E+01,  2.257500000000000E+01,  4.949999999999994E+01,  1.854796302679484E-06,  1.854796302679484E-06,  0.000000000000000E+00,  4.301340154373793E+00,  5.437175321761246E+00,  3.975706788285606E+01,  3.976148452386491E+01,  4.416641008845090E-03,  4.416641008845090E-03,  4.414027910980620E-03, -6.458652217557511E-03,  1.152459662741702E-02, -6.519164988788883E-04,  2.613097864470268E-06
  2.000000000000000E+00,  3.520000000000000E+01,  2.272500000000001E+01,  4.949999999999996E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.304918500123019E+00,  5.444243345040376E+00,  3.973406256741146E+01,  3.975083815483656E+01,  1.677558742510143E-02,  2.119222843394653E-02,  1.677290721773430E-02, -7.060925064972218E-03,  1.890995627693440E-02,  4.923876005772114E-03,  2.680207367135312E-06
  3.000000000000000E+00,  3.530000000000000E+01,  2.287500000000000E+01,  4.950000000000006E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.308484590124586E+00,  5.451086091625784E+00,  3.971413446405495E+01,  3.974042931824969E+01,  2.629485419473809E-02,  4.748708262866330E-02,  2.629210080137340E-02, -7.094340209423381E-03,  2.401457820636087E-02,  9.371862804435914E-03,  2.753393364689216E-06
  4.000000000000000E+00,  3.540000000000000E+01,  2.302500000000001E+01,  4.949999999999996E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.312043258488970E+00,  5.458061589268874E+00,  3.969654665826238E+01,  3.972989515224212E+01,  3.334849397974438E-02,  8.083557660842189E-02,  3.334558200258306E-02, -7.094658684587443E-03,  2.747902776116800E-02,  1.296121292600250E-02,  2.911977161318413E-06
  5.000000000000000E+00,  3.550000000000000E+01,  2.317500000000000E+01,  4.950000000000001E+01,  1.854796302679484E-06,  1.854796302679484E-06,  0.000000000000000E+00,  4.315596500617016E+00,  5.465426013391996E+00,  3.968240343629441E+01,  3.971897748599100E+01,  3.657404969658984E-02,  1.174096263050330E-01,  3.657221972651311E-02, -7.107180110978935E-03,  3.096792662551803E-02,  1.271147321197402E-02,  1.829970076729082E-06
  6.000000000000000E+00,  3.560000000000000E+01,  2.332500000000000E+01,  4.950000000000003E+01,  1.854796302679484E-06,  1.854796302679484E-06,  0.000000000000000E+00,  4.319139313855542E+00,  5.473048407942271E+00,  3.967009054605296E+01,  3.970781227820221E+01,  3.772173214925090E-02,  1.551313584542982E-01,  3.771960611029295E-02, -6.927573179867711E-03,  3.630087201316681E-02,  8.346307276993850E-03,  2.126038957946108E-06
  7.000000000000000E+00,  3.570000000000000E+01,  2.347500000000001E+01,  4.949999999999995E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.322669550276730E+00,  5.480916519267637E+00,  3.966247216232296E+01,  3.969641393045558E+01,  3.394176813262817E-02,  1.890731265869476E-01,  3.393731032642315E-02, -6.633806188951851E-03,  3.570639947400844E-02,  4.864717041366559E-03,  4.457806205018788E-06
  8.000000000000000E+00,  3.580000000000000E+01,  2.362500000000000E+01,  4.950000000000002E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.326189134596996E+00,  5.489419726041501E+00,  3.964886614327406E+01,  3.968439113936152E+01,  3.552499608746018E-02,  2.245981226743652E-01,  3.552223996953490E-02, -6.186771237588795E-03,  3.484974193365348E-02,  6.859269273470212E-03,  2.756117925280244E-06
  9.000000000000000E+00,  3.590000000000000E+01,  2.377500000000001E+01,  4.949999999999997E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  4.329701495746725E+00,  5.498826526774073E+00,  3.965869498116808E+01,  3.967147197747917E+01,  1.277699631108931E-02,  2.373751189854261E-01,  1.277294743785718E-02, -5.288368832262402E-03,  1.075867280202585E-02,  7.302643468093733E-03,  4.048873232125050E-06
  1.000000000000000E+01,  3.600000000000000E+01,  2.392500000000000E+01,  4.950000000000001E+01,  1.854796302679484E-06,  1.854796302679484E-06,  0.000000000000000E+00,  4.333194543798037E+00,  5.508586314564756E+00,  3.965111724149028E+01,  3.965821914163722E+01,  7.101900146935236E-03,  2.444770191323755E-01,  7.091017190793550E-03, -4.021642090721444E-03,  6.992829419721154E-04,  1.041337633954288E-02,  1.088295614168604E-05
