time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
18.0,weld_center,0.0,-0.5,0.5,3,1.0,512.7780979594384,522.803469125928,-10.025371166489663,488.4702335057556,522.803469125928,-34.333235620172445
18.0,qt_near_interface,0.0,-0.2,-0.2,2,1.0,442.1915234950837,458.0530780688035,-15.861554573719786,420.0582956129062,458.053078068804,-37.99478245589779
18.0,qt_far,0.0,-1.0,-1.0,2,1.0,406.27650198047775,412.2691585796966,-5.992656599218833,388.9630302838538,412.269158579697,-23.306128295843166
18.0,q235_near_interface,0.0,0.2,0.0,1,1.0,411.84200742851465,404.61583854315774,7.226168885356913,402.4902319327221,404.615838543158,-2.1256066104359093
18.0,q235_far,0.0,1.0,0.0,1,1.0,383.25604035914114,377.95253259338756,5.303507765753579,376.3683088461975,377.952532593388,-1.5842237471904923
18.1,weld_center,0.0,-0.5,0.5,3,1.0,529.2526828144544,539.8067894220618,-10.554106607607423,503.65655700027725,539.806789422062,-36.15023242178478
18.1,qt_near_interface,0.0,-0.2,-0.2,2,1.0,453.9933054525315,471.0946228348833,-17.101317382351795,431.2386824510597,471.094622834883,-39.85594038382334
18.1,qt_far,0.0,-1.0,-1.0,2,1.0,416.2911577070453,422.8048796270946,-6.513721920049306,398.6793406109449,422.804879627095,-24.12553901615007
18.1,q235_near_interface,0.0,0.2,0.0,1,1.0,421.274846406623,413.816141555782,7.458704850841002,412.09452536927324,413.816141555782,-1.7216161865087543
18.1,q235_far,0.0,1.0,0.0,1,1.0,390.7380606097381,385.42508217437313,5.3129784353649825,384.0104533462383,385.425082174373,-1.4146288281347097
18.2,weld_center,0.0,-0.5,0.5,3,1.0,545.7995624168401,556.9598498270071,-11.16028741016703,519.0324767057449,556.959849827007,-37.92737312126212
18.2,qt_near_interface,0.0,-0.2,-0.2,2,1.0,465.8690538936812,484.26501347129187,-18.395959577610654,442.5460179722965,484.265013471292,-41.71899549899547
18.2,qt_far,0.0,-1.0,-1.0,2,1.0,426.3772269389409,433.455420440153,-7.07819350121207,408.5105414572098,433.455420440153,-24.94487898294318
18.2,q235_near_interface,0.0,0.2,0.0,1,1.0,430.766968892435,423.10230898739337,7.664659905041617,421.80297147679164,423.102308987393,-1.2993375106013332
18.2,q235_far,0.0,1.0,0.0,1,1.0,398.27358057978734,392.9704036413309,5.303176938456431,391.7339853206578,392.970403641331,-1.2364183206732378
18.3,weld_center,0.0,-0.5,0.5,3,1.0,562.3551960038612,574.1827439829738,-11.827547979112524,534.5241566557401,574.182743982974,-39.65858732723393
18.3,qt_near_interface,0.0,-0.2,-0.2,2,1.0,477.77211946698543,497.5042034854493,-19.732084018463866,453.93225541762007,497.50420348545,-43.57194806782991
18.3,qt_far,0.0,-1.0,-1.0,2,1.0,436.4952911986421,444.1730737141326,-7.677782515490492,418.4142063432873,444.173073714133,-25.758867370845735
18.3,q235_near_interface,0.0,0.2,0.0,1,1.0,440.28410628027876,432.43725665265407,7.846849627624692,431.57692567983224,432.437256652654,-0.860330972821771
18.3,q235_far,0.0,1.0,0.0,1,1.0,405.83709584975736,400.5607104950457,5.2763853547116355,399.5104835128051,400.560710495046,-1.050226982240929
18.400000000000002,weld_center,0.0,-0.5,0.5,3,1.0,578.8609835750877,591.3992059064923,-12.53822233140454,550.0576060002991,591.3992059064926,-41.34159990619355
18.400000000000002,qt_near_interface,0.0,-0.2,-0.2,2,1.0,489.66118639303966,510.75731131785756,-21.0961249248179,465.351994987098,510.75731131785847,-45.405316330760456
