time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
18.0,weld_center,0.0,-0.5,0.5,3,0.0,nan,nan,nan,nan,nan,nan
18.0,qt_near_interface,0.0,-0.2,-0.2,2,1.0,479.28071080833314,491.81576996047187,-12.535059152138729,489.8233010583311,491.815769960472,-1.9924689021408994
18.0,qt_far,0.0,-1.0,-1.0,2,1.0,406.77923887961606,413.16287377237927,-6.383634892763212,389.9036336177797,413.162873772379,-23.259240154599297
18.0,q235_near_interface,0.0,0.2,0.0,1,1.0,395.7722706995717,383.2363451513889,12.535925548182831,375.2416679486856,383.236345151389,-7.9946772027034285
18.0,q235_far,0.0,1.0,0.0,1,1.0,360.4134326245942,352.14557013516765,8.267862489426534,350.7440814070187,352.145570135168,-1.4014887281492747
18.1,weld_center,0.0,-0.5,0.5,3,0.0,nan,nan,nan,nan,nan,nan
18.1,qt_near_interface,0.0,-0.2,-0.2,2,1.0,494.2794886126783,507.88656369954043,-13.607075086862153,507.7227440980893,507.886563699541,-0.16381960145167795
18.1,qt_far,0.0,-1.0,-1.0,2,1.0,417.64199669056035,424.2958092850035,-6.6538125944431386,400.3089818604996,424.295809285003,-23.98682742450336
18.1,q235_near_interface,0.0,0.2,0.0,1,1.0,405.8993023715904,392.5347084639499,13.364593907640483,384.2896140109979,392.53470846395,-8.24509445295206
18.1,q235_far,0.0,1.0,0.0,1,1.0,367.9403093206726,359.34089212359277,8.599417197079845,358.1350429294754,359.340892123593,-1.2058491941176044
18.2,weld_center,0.0,-0.5,0.5,3,0.0,nan,nan,nan,nan,nan,nan
18.2,qt_near_interface,0.0,-0.2,-0.2,2,1.0,509.6967591449651,524.3015509031645,-14.60479175819944,525.9971896490033,524.301550903165,1.6956387458383233
18.2,qt_far,0.0,-1.0,-1.0,2,1.0,428.7357971123473,435.65513247660283,-6.919335364255517,410.9323916217066,435.655132476603,-24.722740854896415
