time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.000000000000000E-01,  4.949999999999995E+01,  4.822142777894538E+00,  0.000000000000000E+00,  4.467785720578831E+01,  1.631709523053360E-08,  9.047786842338584E+01,  1.498337289631759E+02,  5.781617079437631E+02
  2.000000000000000E-01,  9.899999999999991E+01,  9.696920618955206E+00,  0.000000000000000E+00,  8.930307927572721E+01,  1.053174969456450E-07,  9.047786842338584E+01,  1.497566051735602E+02,  7.815311451965496E+02
  3.000000000000000E-01,  1.484999999999999E+02,  1.462126775233487E+01,  0.000000000000000E+00,  1.338787320996125E+02,  1.480524929320381E-07,  9.047786842338584E+01,  1.497046288224276E+02,  9.225312754503433E+02
  4.000000000000000E-01,  1.979999999999999E+02,  1.959023812840581E+01,  0.000000000000000E+00,  1.784097616845756E+02,  1.870184007657372E-07,  9.047786842338584E+01,  1.496636201519198E+02,  1.034177242348848E+03
  5.000000000000000E-01,  2.474999999999998E+02,  2.460001525790594E+01,  0.000000000000000E+00,  2.228999845433937E+02,  1.987002349324030E-07,  9.047786842338584E+01,  1.496282540803055E+02,  1.129161879248754E+03
  6.000000000000000E-01,  2.969999999999999E+02,  2.964795376005960E+01,  0.000000000000000E+00,  2.673520459548381E+02,  2.851022031791217E-07,  9.047786842338584E+01,  1.495931088133877E+02,  1.213503542375348E+03
  7.000000000000000E-01,  3.464999999999999E+02,  3.473226444473272E+01,  0.000000000000000E+00,  3.117677352023529E+02,  3.529142418301490E-07,  9.047786842338584E+01,  1.495603274988718E+02,  1.290333888503996E+03
  7.999999999999999E-01,  3.959999999999998E+02,  3.985176169342797E+01,  0.000000000000000E+00,  3.561482378884903E+02,  4.180815835752583E-07,  9.047786842338584E+01,  1.495299407317068E+02,  1.361414442139544E+03
  8.999999999999999E-01,  4.454999999999998E+02,  4.500568736319273E+01,  0.000000000000000E+00,  4.004943121560718E+02,  4.807351956515049E-07,  9.047786842338584E+01,  1.495014073748337E+02,  1.427814567178406E+03
  9.999999999999999E-01,  4.949999999999998E+02,  5.019358576504210E+01,  0.000000000000000E+00,  4.448064136918983E+02,  5.430593432720343E-07,  9.047786842338584E+01,  1.494743389405216E+02,  1.490233482269514E+03
  1.100000000000000E+00,  5.444999999999998E+02,  5.541521173738231E+01,  0.000000000000000E+00,  4.890847876548796E+02,  6.077378316149407E-07,  9.047786842338584E+01,  1.494484474118086E+02,  1.549161961981682E+03
  1.200000000000000E+00,  5.939999999999998E+02,  6.067046138245863E+01,  0.000000000000000E+00,  5.333295379421033E+02,  6.754378318873933E-07,  9.047786842338584E+01,  1.494235143265083E+02,  1.604967985165310E+03
  1.300000000000000E+00,  6.434999999999998E+02,  6.595931925699892E+01,  0.000000000000000E+00,  5.775406799992561E+02,  7.437447493430227E-07,  9.047786842338584E+01,  1.493993711284326E+02,  1.657944277843404E+03
  1.400000000000000E+00,  6.929999999999998E+02,  7.128181803998122E+01,  0.000000000000000E+00,  6.217181811499031E+02,  8.101154662654153E-07,  9.047786842338584E+01,  1.493758860093753E+02,  1.700754890838955E+03
  1.500000000000000E+00,  7.424999999999999E+02,  7.663669328075949E+01,  0.000000000000000E+00,  6.658633058315172E+02,  8.877232176018879E-07,  9.047786842338584E+01,  1.493527304447041E+02,  1.701552682921695E+03
  1.600000000000000E+00,  7.919999999999999E+02,  8.201682371005742E+01,  0.000000000000000E+00,  7.099831753324834E+02,  9.574590649208403E-07,  9.047786842338584E+01,  1.493295863818492E+02,  1.690947820942805E+03
  1.700000000000000E+00,  8.414999999999999E+02,  8.742005581909460E+01,  0.000000000000000E+00,  7.540799431585037E+02,  1.022401534100936E-06,  9.047786842338584E+01,  1.493058726671115E+02,  1.675113907397564E+03
  1.800000000000000E+00,  8.909999999999999E+02,  9.284555759987803E+01,  0.000000000000000E+00,  7.981544413193478E+02,  1.080774040929100E-06,  9.047786842338584E+01,  1.492815845840199E+02,  1.656053742085845E+03
  1.900000000000001E+00,  9.404999999999999E+02,  9.829302565127392E+01,  0.000000000000000E+00,  8.422069732107775E+02,  1.137948402174516E-06,  9.047786842338584E+01,  1.492574468577619E+02,  1.634614669961732E+03
  2.000000000000000E+00,  9.899999999999999E+02,  1.037624189971373E+02,  0.000000000000000E+00,  8.862375798108478E+02,  1.192014792650298E-06,  9.047786842338584E+01,  1.492334422661444E+02,  1.611229214750105E+03
  2.100000000000001E+00,  1.039500000000000E+03,  1.092538430852249E+02,  0.000000000000000E+00,  9.302461556645358E+02,  1.250239165528910E-06,  9.047786842338584E+01,  1.492095566098143E+02,  1.586158505754485E+03
  2.200000000000001E+00,  1.089000000000000E+03,  1.147674892392383E+02,  0.000000000000000E+00,  9.742325094572079E+02,  1.303553517573164E-06,  9.047786842338584E+01,  1.491857780974794E+02,  1.559585717092148E+03
  2.300000000000001E+00,  1.138500000000000E+03,  1.203035980480898E+02,  0.000000000000000E+00,  1.018196400598128E+03,  1.353781954094302E-06,  9.047786842338584E+01,  1.491620968688542E+02,  1.531655779362830E+03
  2.400000000000001E+00,  1.188000000000000E+03,  1.258624344619879E+02,  0.000000000000000E+00,  1.062137564131350E+03,  1.406662022418459E-06,  9.047786842338584E+01,  1.491385046213760E+02,  1.552520847926015E+03
  2.500000000000001E+00,  1.237500000000000E+03,  1.314442693404145E+02,  0.000000000000000E+00,  1.106055729202984E+03,  1.456601012250758E-06,  9.047786842338584E+01,  1.491149943160660E+02,  1.574367549919253E+03
  2.600000000000001E+00,  1.287000000000000E+03,  1.370493650181163E+02,  0.000000000000000E+00,  1.149950633477412E+03,  1.504471129010199E-06,  9.047786842338584E+01,  1.490915599443509E+02,  1.594573664868911E+03
  2.700000000000001E+00,  1.336500000000000E+03,  1.426779636984882E+02,  0.000000000000000E+00,  1.193822034752127E+03,  1.549384251120500E-06,  9.047786842338584E+01,  1.490681963422280E+02,  1.613230516523716E+03
  2.800000000000001E+00,  1.386000000000000E+03,  1.483302780696978E+02,  0.000000000000000E+00,  1.237669720331862E+03,  1.598440121597378E-06,  9.047786842338584E+01,  1.490448990414656E+02,  1.610377992213947E+03
  2.900000000000001E+00,  1.435500000000000E+03,  1.540012837825476E+02,  0.000000000000000E+00,  1.281498714564579E+03,  1.652873152124812E-06,  9.047786842338584E+01,  1.490216641498783E+02,  1.596794977502538E+03
  3.000000000000001E+00,  1.485000000000000E+03,  1.596886047931293E+02,  0.000000000000000E+00,  1.325311393503012E+03,  1.703858060864150E-06,  9.047786842338584E+01,  1.489984882546755E+02,  1.578658586359964E+03
