time_s,qt_pair_residual_j,q235_pair_residual_j,q235_interior_residual_j,qt_interior_residual_j,weld_interior_residual_j,qt_weld_side_gradient_j,qt_parent_side_gradient_j,q235_weld_side_gradient_j,q235_parent_side_gradient_j
18,0,0,0,0,0,0,0,0,0
18.1,-9.78480576318191e-10,-2.28791255380512e-09,-2.40307073546779e-08,-2.14645623232495e-09,-2.35414303879259e-09,17.0183592049287,11.669998369388,19.9214271070627,13.3657409654426
18.2,-9.71322757018352e-10,-2.27162883389542e-09,-2.38984760778435e-08,-2.13234209059076e-09,-2.33664583975261e-09,17.0325335158913,11.6882898585372,19.8970827661345,13.352471604894
18.3,-9.58587512859272e-10,-2.24195525943941e-09,-2.36234505466728e-08,-2.10745657867543e-09,-2.30558800561213e-09,17.0462846146026,11.7063536644683,19.8723070380092,13.338938525783
18.4,-9.42754857895448e-10,-2.20529687133168e-09,-2.32706959210191e-08,-2.07543287165236e-09,-2.26739364015431e-09,17.0596115061566,11.7241811881984,19.8470789648425,13.3251224830814
18.5,-9.25599695240903e-10,-2.16522856538287e-09,-2.28819160003065e-08,-2.04084424544524e-09,-2.22582098743412e-09,17.0725248588009,11.7417726051556,19.8213958293239,13.3110173544876
18.6,-9.08054747812416e-10,-2.12457780745454e-09,-2.24832412370001e-08,-2.00588562097436e-09,-2.18322114412506e-09,17.0850436397405,11.7591342089118,19.7952684631007,13.296626705628
18.7,-8.90874004151306e-10,-2.08432372365533e-09,-2.2091252017585e-08,-1.97020230650591e-09,-2.14153330638584e-09,17.0971928960276,11.7762766836234,19.768718023171,13.2819614433716
18.8,-7.94440052649247e-10,-1.85423235862012e-09,-1.9650063701032e-08,-1.77757580121122e-09,-1.90768335676817e-09,17.1090021635492,11.7932139118151,19.7417736247787,13.2670381151446
18.9,-6.80935433700172e-10,-1.58954250676254e-09,-1.693991502576e-08,-1.54433428512061e-09,-1.63512421229563e-09,17.122476395569,11.8106910162817,19.7165042554879,13.2529198207505
19,-7.06144761484419e-10,-1.64990321036358e-09,-1.7629635415977e-08,-1.59590980369747e-09,-1.69620148463599e-09,17.1371121497292,11.8287430507438,19.6926224186813,13.2396453406627
19.1,-8.43597195093418e-10,-1.97269969079466e-09,-2.10710527195701e-08,-1.8804136547314e-09,-2.02675650169297e-09,17.1521485825245,11.8471091389547,19.6694066025307,13.2268623570716
19.2,-9.00385893135556e-10,-2.10745693276062e-09,-2.25564944882731e-08,-1.99370952035361e-09,-2.16422061846706e-09,17.1671724675457,11.8655635199819,19.64638675461,13.2142735638034
19.3,-9.25313954690081e-10,-2.16735835075563e-09,-2.32410976986954e-08,-2.0434240946154e-09,-2.22444237994891e-09,17.181969085478,11.8839583984426,19.6232804814982,13.2016813056686
19.4,-9.32242517095961e-10,-2.18414403206849e-09,-2.34646006322679e-08,-2.05791262380012e-09,-2.241285550102e-09,17.1964254930608,11.9022047291305,19.5999182615798,13.1889609825018
19.5,-9.28165626505229e-10,-2.17499516328909e-09,-2.34038913475527e-08,-2.04929804295097e-09,-2.231220606574e-09,17.2104837392228,11.9202512284609,19.5761989232971,13.1760356412137
19.6,-9.17568543926498e-10,-2.15050485868535e-09,-2.31754619374049e-08,-2.02862137265013e-09,-2.20535247335374e-09,17.2241178427937,11.9380703000351,19.5520646714674,13.1628594179031
19.7,-9.03357852846627e-10,-2.11745841660041e-09,-2.2852313789779e-08,-1.99992968703329e-09,-2.17090890614583e-09,17.2373217822986,11.9556495008613,19.5274867490506,13.1494074164243
19.8,-8.87287226015928e-10,-2.08011470492879e-09,-2.24829058267145e-08,-1.96800423853011e-09,-2.13212738343806e-09,17.2501028177432,11.9729864318623,19.5024568353743,13.1356694698837
19.9,-8.70673087629886e-10,-2.04121015153709e-09,-2.20964874084709e-08,-1.93445329081084e-09,-2.09199320063343e-09,17.2624775174058,11.9900856089629,19.4769816049172,13.1216461585478
20,-8.54102970067886e-10,-2.00258869278889e-09,-2.17117340165956e-08,-1.900532495384e-09,-2.05176288772789e-09,17.2744692102385,12.0069564646627,19.4510790718693,13.107346141031
20.1,-7.66774508617897e-10,-1.79440679524701e-09,-1.94721473197712e-08,-1.72367534091078e-09,-1.84053108373311e-09,17.2861062124756,12.0236119985718,19.4247759679122,13.0927842603683
20.2,-7.11423125842293e-10,-1.66331204880225e-09,-1.80830050151667e-08,-1.61796363863633e-09,-1.70654212825676e-09,17.2986111840437,12.0405079312496,19.3993343697152,13.0786097718091
20.3,-6.167344304456e-10,-1.44463393887897e-09,-1.5816131733221e-08,-1.41179394363282e-09,-1.48090673071165e-09,17.3126468429914,12.0580244658928,19.3755781650622,13.0653585548411
20.4,-7.70941947740081e-10,-1.80603238545292e-09,-1.97271558821297e-08,-1.73787976698558e-09,-1.85098230737523e-09,17.3273126047382,12.0759475772427,19.3527282366413,13.0527315800666
20.5,-8.43001574169416e-10,-1.9770020805244e-09,-2.16217801639464e-08,-1.88225888412002e-09,-2.02489184159549e-09,17.3420813887616,12.0940263801967,19.3302218440454,13.0403964230844
20.6,-8.75190185223514e-10,-2.0538867386849e-09,-2.25052110844731e-08,-1.94685236057394e-09,-2.10265707228632e-09,17.356680673523,12.1120859669808,19.3077182119251,13.0281211900423
20.7,-8.86899225588886e-10,-2.08260832335394e-09,-2.28591842341474e-08,-1.9706073291184e-09,-2.1308718554611e-09,17.3709678702339,12.1300187251996,19.2850133604817,13.0157581195312
20.8,-8.86106490495246e-10,-2.0811246037262e-09,-2.28845665486655e-08,-1.96898216947697e-09,-2.12901418016222e-09,17.3848687722589,12.1477617444964,19.2619851360209,13.0032153880582
20.9,-8.77690308184074e-10,-2.06196784975038e-09,-2.27124067250339e-08,-1.95222974269456e-09,-2.10867880890003e-09,17.3983478270375,12.1652801821567,19.2385623093637,12.9904374239894
