step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.000000000000000E-01, -2.992500000000000E+01,  4.949999999999995E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.882851284915915E+00,  1.939291492978623E+00,  4.467785720578831E+01,  4.467785722210541E+01,  1.631709523053360E-08,  1.631709523053360E-08,  5.317242475911881E-13,  5.051646486922367E-14,  4.812120394124406E-13, -4.256690476129274E-18,  1.631656350628600E-08
  2.000000000000000E+00,  2.000000000000000E-01, -2.977500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.900232059909511E+00,  1.974545781151155E+00,  4.462522206993890E+01,  4.462522215893930E+01,  8.900040171511137E-08,  1.053174969456450E-07, -1.334807995396409E-14, -1.933515527214690E-14,  5.770036703110722E-15,  2.170386150720924E-16,  8.900041506319132E-08
  3.000000000000000E+00,  3.000000000000000E-01, -2.962500000000000E+01,  4.950000000000000E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.911084747718663E+00,  2.013262385661007E+00,  4.457565282388532E+01,  4.457565286662033E+01,  4.273501019724790E-08,  1.480524929320381E-07,  4.761073770110485E-14,  1.065971534100704E-14,  3.692988787125908E-14,  2.113448883873968E-17,  4.273496258651020E-08
  4.000000000000000E+00,  4.000000000000000E-01, -2.947500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.919673188089742E+00,  2.049297187981191E+00,  4.453102958496311E+01,  4.453102962392901E+01,  3.896590072827166E-08,  1.870184007657372E-07, -6.211228305035623E-15, -3.264719970208970E-15, -3.040067809849452E-15,  9.355947502279847E-17,  3.896590693949997E-08
  5.000000000000000E+00,  5.000000000000000E-01, -2.932500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.927187410303119E+00,  2.082589719197017E+00,  4.449022285881802E+01,  4.449022287049984E+01,  1.168181995581108E-08,  1.987002349324030E-07, -7.226759633146175E-15, -9.218554737182365E-14,  8.494120313765005E-14,  1.758460102742770E-17,  1.168182718257071E-08
  6.000000000000000E+00,  6.000000000000000E-01, -2.917500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.934082744088142E+00,  2.113855758065511E+00,  4.445206141144445E+01,  4.445206149784637E+01,  8.640192561415461E-08,  2.851022031791217E-07,  4.046677383982780E-14, -4.418169945957749E-16,  4.091189124288047E-14, -3.300408456889535E-18,  8.640188514738077E-08
  7.000000000000000E+00,  7.000000000000000E-01, -2.902500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.940572692013110E+00,  2.143737992660015E+00,  4.441568924751482E+01,  4.441568931532686E+01,  6.781203865102725E-08,  3.529142418301490E-07,  1.221203170964622E-14,  7.710369389474974E-15,  4.557080981369369E-15, -5.541866119812380E-17,  6.781202643899554E-08
  8.000000000000000E+00,  7.999999999999999E-01, -2.887500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.946773529966149E+00,  2.172723718729097E+00,  4.438050268613733E+01,  4.438050275130471E+01,  6.516737727224609E-08,  4.180815835752583E-07, -2.213206804293036E-15,  2.042753303686199E-16, -2.437797400599886E-15,  2.031526593823025E-17,  6.516737948545289E-08
  9.000000000000000E+00,  8.999999999999999E-01, -2.872500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.952756284968640E+00,  2.201169384796126E+00,  4.434607426758157E+01,  4.434607433023520E+01,  6.265363339252872E-08,  4.807351956515049E-07, -3.785011403905601E-14,  2.065813303959587E-15, -3.990407829636357E-14, -1.184904665203631E-17,  6.265367124264276E-08
  1.000000000000000E+01,  9.999999999999999E-01, -2.857500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.958568223898681E+00,  2.229330177950685E+00,  4.431210153582651E+01,  4.431210159815063E+01,  6.232411209339261E-08,  5.430593432720343E-07, -6.658556136370914E-15, -3.717569037203097E-15, -2.919266136785379E-15, -2.172096238243678E-17,  6.232411875194875E-08
  1.100000000000000E+01,  1.100000000000000E+00, -2.842500000000000E+01,  4.949999999999998E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.964242788498541E+00,  2.257383183841671E+00,  4.427837396298128E+01,  4.427837402765977E+01,  6.467849544833371E-08,  6.077378316149407E-07, -7.279198478424248E-14, -7.777862786107124E-14,  4.992366437035388E-15, -5.723360206628506E-18,  6.467856824031849E-08
  1.200000000000000E+01,  1.200000000000000E+00, -2.827500000000000E+01,  4.949999999999998E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.969804669165075E+00,  2.285444975911256E+00,  4.424475028722372E+01,  4.424475035492365E+01,  6.769992921817902E-08,  6.754378318873933E-07, -1.037030347684025E-14, -6.043965056635651E-16, -9.760230214347443E-15, -5.676756829247180E-18,  6.769993958848250E-08
  1.300000000000000E+01,  1.300000000000000E+00, -2.812500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.975272643665122E+00,  2.313585230875164E+00,  4.421114205715276E+01,  4.421114212545969E+01,  6.830693166648416E-08,  7.437447493430227E-07,  9.629565510751040E-14, -3.409016454876489E-15,  9.969824843858569E-14,  6.423123801208727E-18,  6.830683537082905E-08
  1.400000000000000E+01,  1.400000000000000E+00, -2.797500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.980661299051739E+00,  2.341837483930559E+00,  4.417750115064700E+01,  4.417750121701769E+01,  6.637068850068317E-08,  8.101154662654153E-07,  7.181706337729923E-14, -1.258061195840859E-15,  7.310745639183960E-14, -3.233181869951386E-17,  6.637061668361979E-08
  1.500000000000000E+01,  1.500000000000000E+00, -2.782500000000000E+01,  4.950000000000006E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.985977068954447E+00,  2.368898171823825E+00,  4.414512468161411E+01,  4.414512475922179E+01,  7.760768738762636E-08,  8.877232176018879E-07,  1.087390450337686E-14, -4.387276695275213E-15,  1.549317217453040E-14, -2.319909758783264E-16,  7.760767651372185E-08
  1.600000000000000E+01,  1.600000000000000E+00, -2.767500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.991207373992618E+00,  2.388923055305315E+00,  4.411986950096616E+01,  4.411986957070203E+01,  6.973586863523451E-08,  9.574590649208403E-07,  2.763805464780841E-14, -1.748254486078878E-16,  2.783034250237600E-14, -1.746240595969686E-17,  6.973584099717986E-08
  1.700000000000000E+01,  1.700000000000000E+00, -2.752500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  2.996378911822363E+00,  2.406853197214812E+00,  4.409676782602037E+01,  4.409676789096278E+01,  6.494241233667708E-08,  1.022401534100936E-06,  1.203808323563724E-14, -4.805466478153305E-15,  1.474926908267905E-14,  2.094280631111493E-15,  6.494240029859384E-08
  1.800000000000000E+01,  1.800000000000000E+00, -2.737500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.001503346509315E+00,  2.423998434274121E+00,  4.407449816084409E+01,  4.407449821921653E+01,  5.837244287931753E-08,  1.080774040929100E-06, -4.511965497193186E-15,  3.652771119365134E-15, -5.567733012535866E-15, -2.597003604022455E-15,  5.837244739128303E-08
  1.900000000000000E+01,  1.900000000000001E+00, -2.722500000000000E+01,  4.950000000000000E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.006587712243874E+00,  2.440880339152018E+00,  4.405253189142968E+01,  4.405253194860411E+01,  5.717443229968922E-08,  1.137948402174516E-06,  2.437103586182829E-13, -2.495079241837794E-14,  2.690435269443841E-13, -3.823759077232469E-16,  5.717418858933060E-08
  2.000000000000000E+01,  2.000000000000000E+00, -2.707500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.011636877419231E+00,  2.457756468444143E+00,  4.403060660007031E+01,  4.403060665413661E+01,  5.406629810522645E-08,  1.192014792650298E-06,  1.080350973313978E-14, -1.089554806531797E-15,  1.187620392912483E-14,  1.686061054674125E-17,  5.406628730171672E-08
  2.100000000000000E+01,  2.100000000000001E+00, -2.692500000000000E+01,  4.949999999999998E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.016654516684387E+00,  2.474769571403213E+00,  4.400857585368794E+01,  4.400857591191237E+01,  5.822442972203135E-08,  1.250239165528910E-06,  6.394006702366403E-17,  1.947595541713634E-15, -1.811825801956110E-15, -7.182967273386013E-17,  5.822442965809128E-08
  2.200000000000000E+01,  2.200000000000001E+00, -2.677500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.021643554706129E+00,  2.492002599307235E+00,  4.398635379267216E+01,  4.398635384598661E+01,  5.331444441480926E-08,  1.303553517573164E-06,  8.180595262860412E-14,  2.330238819195718E-14,  5.847190469729903E-14,  3.165973934790012E-17,  5.331436260885663E-08
  2.300000000000000E+01,  2.300000000000001E+00, -2.662500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.026606395120019E+00,  2.509502413731474E+00,  4.396389114092017E+01,  4.396389119114853E+01,  5.022836546686449E-08,  1.353781954094302E-06,  6.501905847408940E-15,  4.274494247955242E-15,  2.263542587453995E-15, -3.613098800029707E-17,  5.022835896495864E-08
  2.400000000000000E+01,  2.400000000000001E+00, -2.647500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.031545054988277E+00,  2.527291358909912E+00,  4.394116353322170E+01,  4.394116358610175E+01,  5.288005411330232E-08,  1.406662022418459E-06,  4.003201425363549E-15,  3.184633898512970E-15,  3.363392986417427E-16,  4.822282282088366E-16,  5.288005011010089E-08
  2.500000000000000E+01,  2.500000000000001E+00, -2.632500000000000E+01,  4.949999999999997E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.036461253152766E+00,  2.545373625273779E+00,  4.391816507163458E+01,  4.391816512157342E+01,  4.993884772375168E-08,  1.456601012250758E-06, -1.095408633154352E-15, -7.406221055972424E-15,  6.466930280425300E-15, -1.561178576072289E-16,  4.993884881916031E-08
  2.600000000000000E+01,  2.600000000000001E+00, -2.617500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.041356473167937E+00,  2.563739204533891E+00,  4.389490427442797E+01,  4.389490432229811E+01,  4.787013807572293E-08,  1.504471129010199E-06, -2.273504096653580E-14, -5.534005057051727E-16, -2.224093407944933E-14,  5.929361861870362E-17,  4.787016081076390E-08
  2.700000000000000E+01,  2.700000000000001E+00, -2.602500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.046232010459665E+00,  2.582366669912245E+00,  4.387140127471503E+01,  4.387140131962803E+01,  4.491300842346391E-08,  1.549384251120500E-06, -4.052910068289167E-15,  3.456173232686393E-15, -7.515937536733455E-15,  6.854235757894388E-18,  4.491301247637397E-08
  2.800000000000000E+01,  2.800000000000001E+00, -2.587500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.051089008721583E+00,  2.601225362488023E+00,  4.384768557973439E+01,  4.384768562879042E+01,  4.905603390170654E-08,  1.598440121597378E-06,  2.195649987443255E-14,  4.339808664523185E-15,  1.769646411606203E-14, -7.977290615267172E-17,  4.905601194520667E-08
  2.900000000000000E+01,  2.900000000000001E+00, -2.572500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.055928384392352E+00,  2.615077328457390E+00,  4.382899423271738E+01,  4.382899428715020E+01,  5.443282447004094E-08,  1.652873152124812E-06, -1.148056203565551E-14, -2.740722115428616E-16, -1.100781546436483E-14, -1.986743597478210E-16,  5.443283595060298E-08
  3.000000000000000E+01,  3.000000000000001E+00, -2.557500000000000E+01,  4.949999999999995E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.060753468457741E+00,  2.626567542124044E+00,  4.381267893843324E+01,  4.381267898941817E+01,  5.098493005561977E-08,  1.703858060864150E-06, -2.156658585836368E-14,  4.942373589785536E-15, -2.525128186704875E-14, -1.257677581100466E-15,  5.098495162220563E-08
  3.100000000000000E+01,  3.100000000000001E+00, -2.542500000000000E+01,  4.949999999999996E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.065564787930037E+00,  2.637433326078131E+00,  4.379700183231762E+01,  4.379700188599180E+01,  5.367417799106988E-08,  1.757532345436630E-06, -2.610056096843088E-14, -1.431633371226353E-15, -2.484238846255337E-14,  1.734608653488411E-16,  5.367420409163085E-08
  3.200000000000000E+01,  3.200000000000002E+00, -2.527500000000000E+01,  4.949999999999998E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.070362405640305E+00,  2.648292072449354E+00,  4.378134547462105E+01,  4.378134552191032E+01,  4.728927649466641E-08,  1.804821522455313E-06, -2.009526580854031E-14, -1.702455145595631E-14, -2.928866848177807E-15, -1.418475044061870E-16,  4.728929658993222E-08
  3.300000000000000E+01,  3.300000000000002E+00, -2.512500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.075146596653196E+00,  2.659449733816427E+00,  4.376540361838852E+01,  4.376540366953040E+01,  5.114188184052182E-08,  1.855963546404382E-06,  6.759206253938175E-14, -1.603476938006952E-15,  6.903474092216744E-14,  1.607985552212656E-16,  5.114181424845928E-08
  3.400000000000000E+01,  3.400000000000002E+00, -2.497500000000000E+01,  4.949999999999999E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.079917739375986E+00,  2.671075711833692E+00,  4.374900650226482E+01,  4.374900654879031E+01,  4.652548568628845E-08,  1.902488975247252E-06, -4.622854802758748E-14,  3.957324147740014E-16, -4.655878793567133E-14, -6.549250669015206E-17,  4.652553191483647E-08
  3.500000000000000E+01,  3.500000000000002E+00, -2.482500000000000E+01,  4.950000000000003E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.084676244573368E+00,  2.683265199344128E+00,  4.373205851012608E+01,  4.373205855608254E+01,  4.595645464178233E-08,  1.948445287780487E-06, -1.721551537640352E-14, -2.434400709484727E-14,  7.116217633586460E-15,  1.227408485728650E-17,  4.595647185729771E-08
  3.600000000000000E+01,  3.600000000000002E+00, -2.467500000000000E+01,  4.950000000000006E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.089422522662570E+00,  2.696067580006027E+00,  4.371450985508272E+01,  4.371450989733145E+01,  4.224872895974841E-08,  1.990694045161945E-06, -1.484388684505019E-15, -6.299888679502305E-15,  4.986223189449844E-15, -1.707231944525581E-16,  4.224873044413709E-08
  3.700000000000000E+01,  3.700000000000002E+00, -2.452500000000000E+01,  4.949999999999994E+01,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  3.094156971257998E+00,  2.709501204828624E+00,  4.369634178072738E+01,  4.369634182391331E+01,  4.318593482821598E-08,  2.033880036833580E-06, -2.705055210636240E-14, -3.647439126904860E-15, -2.346737282110703E-14,  6.425984164948959E-17,  4.318596187876809E-08
