time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
18,13132.7922978831,31254.5842118605,131.273196172616,0,0,0,0,0,0
18.1,13155.0825352173,31273.655139269,131.493542747283,16.2027802245908,19.983787382825,49.4999999999999,3.35897512187683,3.81592329621307,0.743590232831828
18.2,13177.3393826448,31292.7470818817,131.713092420577,32.430175433715,39.9432328520529,98.9999999999999,6.72699823692197,7.63544637255642,1.48770429635749
18.3,13199.5623973506,31311.859614526,131.931732234408,48.6818080471991,59.877905653584,148.5,10.1040814061263,11.4586168216079,2.23326348292676
18.4,13221.7511127694,31330.9923095999,132.149389628364,64.9573016472653,79.7873537756693,198,13.4902391831463,15.285485827612,2.98116878245604
18.5,13243.9050578466,31350.1447489665,132.366023007407,81.2562906811716,99.6711222614193,247.5,16.8854876657305,19.1161059748431,3.73228229959704
18.6,13266.0237713865,31369.3165323676,132.581615161397,97.5784272234982,119.528766811182,297,20.2898437500119,22.9505295959059,4.48741346953794
18.7,13288.1068130183,31388.5072835417,132.796168462382,113.923385826336,139.359864148357,346.5,23.7033245302002,26.7888075044671,5.24730864472298
18.8,13310.1537716787,31407.7166547078,133.009701181687,130.290867019397,159.16402000934,396,27.1259468079473,30.6309880114387,6.01264328816598
18.9,13332.1664140658,31426.9462223928,133.224761048285,146.682286671069,178.942899021819,445.5,30.5576085132249,34.4769104584082,6.77778917489819
19,13354.1462047861,31446.1970920556,133.441274033244,163.09861932779,198.69788697692,495,33.9982308272328,38.3264439324857,7.54045999547988
19.1,13376.0938565483,31465.4696515354,133.658494093102,179.540186330331,218.42965275093,544.5,37.4477699147426,42.1795219351334,8.30041157566603
19.2,13398.0095914165,31484.7638896097,133.875844591664,196.006953668982,238.138395475637,594,40.9062028454687,46.0361216791999,9.05805543002872
19.3,13419.8933348418,31504.0795813033,134.092923310291,212.49870279193,257.824031218613,643.5,44.3735202367033,49.8962495882653,9.81409626163063
19.4,13441.744832915,31523.4163864894,134.309452264161,229.015119316426,277.48630581307,693,47.8497218312828,53.7599314063638,10.5693806049293
19.5,13463.5637237012,31542.7739046901,134.525239556921,245.555841076629,297.124863344123,742.5,51.3348136495756,57.6272054455364,11.3248184370672
19.6,13485.349582694,31562.1517074785,134.740154320166,262.120485833391,316.739289662571,792,54.8288060488237,61.4981178935238,12.0813370148317
19.7,13507.1019533546,31581.54935886,134.95411042677,278.708668314298,336.329141531002,841.5,58.331712330578,65.3727194727377,12.8398509751975
19.8,13528.8203686732,31600.9664288368,135.16705567367,295.320011338374,355.893967140375,891,61.8435476955626,69.2510629997204,13.6012415112513
19.9,13550.5043670372,31620.4025028719,135.378964341252,311.954153453592,375.433321164491,940.5,65.3643284304179,73.1332015596522,14.3663411208356
20,13572.1535042648,31639.857188712,135.589831850167,328.610754367971,394.946776144287,990,68.8940712576037,77.0191871137927,15.1359221343452
20.1,13593.7673628891,31659.3301213836,135.799670734297,345.289498868007,414.43393123986,1039.5,72.4327928062568,80.9090694222002,15.9106880717141
20.2,13615.3468538274,31678.8221099727,136.01002716722,361.991118072849,433.895641555078,1089,75.9804372618084,84.8027705180396,16.6875065361583
