time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.505000000000000E+01,  2.474999999999999E+01,  3.697455016725002E+00,  0.000000000000000E+00,  2.104574321329710E+01,  6.801769977890615E-03,  3.404229799429899E+01,  1.460706811792121E+02,  1.546901535397899E+03
  1.510000000000000E+01,  4.949999999999999E+01,  7.398419003858145E+00,  0.000000000000000E+00,  4.208741875730630E+01,  1.416223883554579E-02,  3.415539532982817E+01,  1.460580152949255E+02,  1.543038481887941E+03
  1.515000000000000E+01,  7.424999999999997E+01,  1.110269971032298E+01,  0.000000000000000E+00,  6.312394957869401E+01,  2.335071098298158E-02,  3.426849266535742E+01,  1.460453502849584E+02,  1.538122300655096E+03
  1.520000000000000E+01,  9.899999999999994E+01,  1.481015634742221E+01,  0.000000000000000E+00,  8.415590811611764E+01,  3.393553646009195E-02,  3.438159000088675E+01,  1.460326864593598E+02,  1.532869704358182E+03
  1.525000000000000E+01,  1.237500000000000E+02,  1.852080412958608E+01,  0.000000000000000E+00,  1.051832270689411E+02,  4.596880147282434E-02,  3.449468733641589E+01,  1.460200239758452E+02,  1.527238530981544E+03
  1.530000000000000E+01,  1.484999999999999E+02,  2.223470616429708E+01,  0.000000000000000E+00,  1.262073819714788E+02,  5.791186422410988E-02,  3.460778467194514E+01,  1.460073629174811E+02,  1.519752775542116E+03
  1.535000000000000E+01,  1.732500000000000E+02,  2.595170501228086E+01,  0.000000000000000E+00,  1.472280653429480E+02,  7.022964477116034E-02,  3.472088200747437E+01,  1.459947033294704E+02,  1.512399380118994E+03
  1.540000000000000E+01,  1.980000000000000E+02,  2.967189752810857E+01,  0.000000000000000E+00,  1.682442784771483E+02,  8.382399474305657E-02,  3.483397934300361E+01,  1.459820452372430E+02,  1.506969370305023E+03
  1.545000000000000E+01,  2.227500000000000E+02,  3.339544660948824E+01,  0.000000000000000E+00,  1.892563844514007E+02,  9.816893911107627E-02,  3.494707667853284E+01,  1.459693886556600E+02,  1.509488834801585E+03
  1.550000000000000E+01,  2.474999999999999E+02,  3.712240853194670E+01,  0.000000000000000E+00,  2.102648743086975E+02,  1.127171593557819E-01,  3.506017401406208E+01,  1.459567335938357E+02,  1.511853394917064E+03
  1.555000000000000E+01,  2.722499999999999E+02,  4.085285315457476E+01,  0.000000000000000E+00,  2.312809059634965E+02,  1.162408819287180E-01,  3.517327134959131E+01,  1.459440800577239E+02,  1.514082434359535E+03
  1.560000000000000E+01,  2.969999999999999E+02,  4.458681899868963E+01,  0.000000000000000E+00,  2.522922494621671E+02,  1.209315391431574E-01,  3.528636868512056E+01,  1.459314280515309E+02,  1.516172492717938E+03
  1.565000000000000E+01,  3.217499999999999E+02,  4.832445347070714E+01,  0.000000000000000E+00,  2.732987422360020E+02,  1.268042932907747E-01,  3.539946602064980E+01,  1.459187775784989E+02,  1.518127062789545E+03
  1.570000000000000E+01,  3.464999999999999E+02,  5.206581763528911E+01,  0.000000000000000E+00,  2.943010214784663E+02,  1.331608862444682E-01,  3.551256335617899E+01,  1.459061286413445E+02,  1.520360550143318E+03
  1.575000000000000E+01,  3.712499999999999E+02,  5.581093329974510E+01,  0.000000000000000E+00,  3.153061622989335E+02,  1.329044013212979E-01,  3.562566069170828E+01,  1.458934812425075E+02,  1.522168950581809E+03
  1.580000000000000E+01,  3.959999999999999E+02,  5.955990964582098E+01,  0.000000000000000E+00,  3.363097998357771E+02,  1.302905184018073E-01,  3.573875802723742E+01,  1.458808353842929E+02,  1.523546241050559E+03
  1.585000000000000E+01,  4.207499999999999E+02,  6.331290636642513E+01,  0.000000000000000E+00,  3.573101024243733E+02,  1.269912092014351E-01,  3.585185536276675E+01,  1.458681910689533E+02,  1.524838583547233E+03
  1.590000000000000E+01,  4.454999999999999E+02,  6.706985181717161E+01,  0.000000000000000E+00,  3.783079163518269E+02,  1.222318310013861E-01,  3.596495269829589E+01,  1.458555482987361E+02,  1.526050535921035E+03
  1.595000000000000E+01,  4.702499999999999E+02,  7.083079533410475E+01,  0.000000000000000E+00,  3.993025538744696E+02,  1.166507914255135E-01,  3.607805003382518E+01,  1.458429070759127E+02,  1.527163579456385E+03
  1.600000000000000E+01,  4.949999999999999E+02,  7.459581672423582E+01,  0.000000000000000E+00,  4.202960500452464E+02,  1.081332305176943E-01,  3.619114736935436E+01,  1.458302674027959E+02,  1.528158428163976E+03
  1.605000000000000E+01,  5.197499999999999E+02,  7.835354426423072E+01,  0.000000000000000E+00,  4.412901493982499E+02,  1.063063375192428E-01,  3.630424470488361E+01,  1.458176292817512E+02,  1.544604352615646E+03
  1.610000000000000E+01,  5.444999999999999E+02,  8.211790246968711E+01,  0.000000000000000E+00,  4.622873528495984E+02,  9.474468071437059E-02,  3.641734204041283E+01,  1.458049927152040E+02,  1.551080678172612E+03
  1.615000000000000E+01,  5.692499999999999E+02,  8.588676537025199E+01,  0.000000000000000E+00,  4.832822557721593E+02,  8.097885758866141E-02,  3.653043937594208E+01,  1.457923577056448E+02,  1.554366630747793E+03
  1.620000000000000E+01,  5.939999999999999E+02,  8.965949995949795E+01,  0.000000000000000E+00,  5.042699119603567E+02,  7.058808014522810E-02,  3.664353671147131E+01,  1.457797242556336E+02,  1.555863701679692E+03
  1.625000000000000E+01,  6.187499999999999E+02,  9.343594018316949E+01,  0.000000000000000E+00,  5.252497312088890E+02,  6.432860794143380E-02,  3.675663404700055E+01,  1.457670923678027E+02,  1.555976461591174E+03
  1.630000000000000E+01,  6.434999999999999E+02,  9.721590677301913E+01,  0.000000000000000E+00,  5.462218539475289E+02,  6.223927945188734E-02,  3.686973138252969E+01,  1.457544620448600E+02,  1.554974885162464E+03
  1.635000000000000E+01,  6.682499999999998E+02,  1.009992576050892E+02,  0.000000000000000E+00,  5.671868021509435E+02,  6.394024396695386E-02,  3.698282871805903E+01,  1.457418332895908E+02,  1.553027881288836E+03
  1.640000000000000E+01,  6.929999999999998E+02,  1.047858894592486E+02,  0.000000000000000E+00,  5.881451602807138E+02,  6.895026003746807E-02,  3.709592605358817E+01,  1.457292061048607E+02,  1.550254262015049E+03
  1.645000000000000E+01,  7.177499999999998E+02,  1.085757369778342E+02,  0.000000000000000E+00,  6.090977909937428E+02,  7.647202842269962E-02,  3.720902338911745E+01,  1.457165804936176E+02,  1.546746169035802E+03
  1.650000000000000E+01,  7.424999999999998E+02,  1.123687891283669E+02,  0.000000000000000E+00,  6.300454364370744E+02,  8.577443455851608E-02,  3.732212072464674E+01,  1.457039564588936E+02,  1.542562769941056E+03
  1.655000000000000E+01,  7.672499999999998E+02,  1.161650220023592E+02,  0.000000000000000E+00,  6.509881867068761E+02,  9.679129076437221E-02,  3.743521806017588E+01,  1.456913340038077E+02,  1.537525373800212E+03
  1.660000000000000E+01,  7.919999999999998E+02,  1.199643934753472E+02,  0.000000000000000E+00,  6.719266925267002E+02,  1.089139979522997E-01,  3.754831539570522E+01,  1.456787131315673E+02,  1.531203181601720E+03
  1.665000000000000E+01,  8.167499999999998E+02,  1.237668474052759E+02,  0.000000000000000E+00,  6.928605882229313E+02,  1.225643717925777E-01,  3.766141273123436E+01,  1.456660938454705E+02,  1.524745087505236E+03
  1.670000000000000E+01,  8.414999999999998E+02,  1.275724706649708E+02,  0.000000000000000E+00,  7.137918441100192E+02,  1.356852250098655E-01,  3.777451006676365E+01,  1.456534761489081E+02,  1.516338653830538E+03
  1.675000000000000E+01,  8.662499999999998E+02,  1.313811299347478E+02,  0.000000000000000E+00,  7.347193680948258E+02,  1.495019704261722E-01,  3.788760740229283E+01,  1.456408600453657E+02,  1.512602222956005E+03
  1.680000000000000E+01,  8.909999999999998E+02,  1.351929955407261E+02,  0.000000000000000E+00,  7.556427198995589E+02,  1.642845597148153E-01,  3.800070473782208E+01,  1.456282455384257E+02,  1.515021377913535E+03
  1.685000000000000E+01,  9.157499999999998E+02,  1.390082211463726E+02,  0.000000000000000E+00,  7.765616481816614E+02,  1.801306719656850E-01,  3.811380207335126E+01,  1.456156326317696E+02,  1.517247855998858E+03
  1.690000000000000E+01,  9.404999999999998E+02,  1.428268747319366E+02,  0.000000000000000E+00,  7.974769622308522E+02,  1.961630372109084E-01,  3.822689940888055E+01,  1.456030213291799E+02,  1.519334402069230E+03
  1.695000000000000E+01,  9.652499999999998E+02,  1.466490372593648E+02,  0.000000000000000E+00,  8.183988865643987E+02,  2.020761762362326E-01,  3.833999674440984E+01,  1.455904116345421E+02,  1.521287063522639E+03
  1.700000000000000E+01,  9.899999999999998E+02,  1.504748301227056E+02,  0.000000000000000E+00,  8.393168490189128E+02,  2.083208583815122E-01,  3.845309407993902E+01,  1.455778035518470E+02,  1.523366436882394E+03
  1.705000000000000E+01,  1.014750000000000E+03,  1.543042720042817E+02,  0.000000000000000E+00,  8.602302518733850E+02,  2.154761223330297E-01,  3.856619141546827E+01,  1.455651970851930E+02,  1.525556388953536E+03
  1.710000000000000E+01,  1.039500000000000E+03,  1.581374651942693E+02,  0.000000000000000E+00,  8.811408313344364E+02,  2.217034712941768E-01,  3.867928875099745E+01,  1.455525922387880E+02,  1.527397994328958E+03
  1.715000000000000E+01,  1.064250000000000E+03,  1.619745099768786E+02,  0.000000000000000E+00,  9.020583987735154E+02,  2.170912496058008E-01,  3.879238608652674E+01,  1.455399890169518E+02,  1.528458211642537E+03
  1.720000000000000E+01,  1.089000000000000E+03,  1.658154543133022E+02,  0.000000000000000E+00,  9.229717971497594E+02,  2.127485369381930E-01,  3.890548342205592E+01,  1.455273874241181E+02,  1.529523171312300E+03
  1.725000000000000E+01,  1.113750000000000E+03,  1.696603084841057E+02,  0.000000000000000E+00,  9.438834518300209E+02,  2.062396858731290E-01,  3.901858075758517E+01,  1.455147874648371E+02,  1.530550376275757E+03
  1.730000000000000E+01,  1.138500000000000E+03,  1.735090444767895E+02,  0.000000000000000E+00,  9.647914041639888E+02,  1.995513592214593E-01,  3.913167809311435E+01,  1.455021891437774E+02,  1.531556456366543E+03
  1.735000000000000E+01,  1.163250000000000E+03,  1.773513892616146E+02,  0.000000000000000E+00,  9.857052492853982E+02,  1.933614529870056E-01,  3.924477542864364E+01,  9.112764873711227E+01,  1.539353695098195E+03
  1.740000000000000E+01,  1.188000000000000E+03,  1.811982156068007E+02,  0.000000000000000E+00,  1.006621873286116E+03,  1.799111070829440E-01,  3.935787276417282E+01,  1.454769974356040E+02,  1.549875466163165E+03
  1.745000000000000E+01,  1.212750000000000E+03,  1.850501847819260E+02,  0.000000000000000E+00,  1.027533277647337E+03,  1.665375707368639E-01,  3.947097009970211E+01,  1.454644040584417E+02,  1.554431234548295E+03
  1.750000000000000E+01,  1.237500000000000E+03,  1.889063166005155E+02,  0.000000000000000E+00,  1.048441951550958E+03,  1.517318485261967E-01,  3.958406743523130E+01,  1.454518123394082E+02,  1.557724355766627E+03
  1.755000000000000E+01,  1.262250000000000E+03,  1.927662124164623E+02,  0.000000000000000E+00,  1.069342359207090E+03,  1.414283764470383E-01,  3.969716477076054E+01,  1.454392222838007E+02,  1.559142142378995E+03
  1.760000000000000E+01,  1.287000000000000E+03,  1.966297074667523E+02,  0.000000000000000E+00,  1.090234585970968E+03,  1.357065622798928E-01,  3.981026210628973E+01,  1.454266338970490E+02,  1.559117380644208E+03
  1.765000000000000E+01,  1.311750000000000E+03,  2.004966315235012E+02,  0.000000000000000E+00,  1.111119110627376E+03,  1.342578491221502E-01,  3.992335944181902E+01,  1.454140471847182E+02,  1.557949988809928E+03
  1.770000000000000E+01,  1.336500000000000E+03,  2.043668528445517E+02,  0.000000000000000E+00,  1.131996554424717E+03,  1.365927307310812E-01,  4.003645677734820E+01,  1.454014621525118E+02,  1.555828405530644E+03
  1.775000000000000E+01,  1.361250000000000E+03,  2.082402804312141E+02,  0.000000000000000E+00,  1.152867986671656E+03,  1.417328971299412E-01,  4.014955411287745E+01,  1.453888788062734E+02,  1.552880756386197E+03
  1.780000000000000E+01,  1.386000000000000E+03,  2.121168959660415E+02,  0.000000000000000E+00,  1.173733428866763E+03,  1.496751671957099E-01,  4.026265144840663E+01,  1.453762971519897E+02,  1.549198295671922E+03
  1.785000000000000E+01,  1.410750000000000E+03,  2.159966618238130E+02,  0.000000000000000E+00,  1.194593243275631E+03,  1.600949005560324E-01,  4.037574878393592E+01,  1.453637171957932E+02,  1.544862135949536E+03
  1.790000000000000E+01,  1.435500000000000E+03,  2.198795642198819E+02,  0.000000000000000E+00,  1.215448653608888E+03,  1.717821712300065E-01,  4.048884611946521E+01,  1.453511389439647E+02,  1.539919147646733E+03
  1.795000000000000E+01,  1.460250000000000E+03,  2.237655789967975E+02,  0.000000000000000E+00,  1.236299413858775E+03,  1.850071444275727E-01,  4.060194345499439E+01,  1.453385624029360E+02,  1.533899893692197E+03
  1.800000000000000E+01,  1.485000000000000E+03,  2.276546739323931E+02,  0.000000000000000E+00,  1.257146496023794E+03,  1.988300438131319E-01,  4.071504079052364E+01,  1.453259875792926E+02,  1.526929891238317E+03
  1.805000000000000E+01,  1.509750000000000E+03,  2.315468474913728E+02,  0.000000000000000E+00,  1.277989413338102E+03,  2.137391705248319E-01,  4.082813812605282E+01,  1.453134144797764E+02,  1.519167201661539E+03
  1.810000000000000E+01,  1.534500000000000E+03,  2.354421139896192E+02,  0.000000000000000E+00,  1.298830395506062E+03,  2.274905043186664E-01,  4.094123546158211E+01,  1.453008431112889E+02,  1.516307255296913E+03
  1.815000000000000E+01,  1.559250000000000E+03,  2.393404614145554E+02,  0.000000000000000E+00,  1.319666924710858E+03,  2.426138745859134E-01,  4.105433279711125E+01,  1.452882734808933E+02,  1.518789451771309E+03
  1.820000000000000E+01,  1.584000000000000E+03,  2.432421271390232E+02,  0.000000000000000E+00,  1.340498961847232E+03,  2.589110137448642E-01,  4.116743013264058E+01,  1.452757055958178E+02,  1.521023961200676E+03
  1.825000000000000E+01,  1.608750000000000E+03,  2.471471844332034E+02,  0.000000000000000E+00,  1.361326601505352E+03,  2.762140614440796E-01,  4.128052746816972E+01,  1.452631394634585E+02,  1.523093405675455E+03
  1.830000000000000E+01,  1.633500000000000E+03,  2.510557240754381E+02,  0.000000000000000E+00,  1.382153767802680E+03,  2.905081218818850E-01,  4.139362480369901E+01,  1.452505750913822E+02,  1.525072989275674E+03
  1.834999999999999E+01,  1.658250000000000E+03,  2.549678917350237E+02,  0.000000000000000E+00,  1.402984748173112E+03,  2.973600918639931E-01,  4.150672213922830E+01,  1.452380124873292E+02,  1.527393550238592E+03
  1.840000000000000E+01,  1.683000000000000E+03,  2.588837038460377E+02,  0.000000000000000E+00,  1.423812092339547E+03,  3.042038144149046E-01,  4.161981947475744E+01,  1.452254516592166E+02,  1.529498629099073E+03
  1.845000000000000E+01,  1.707750000000000E+03,  2.628032299474932E+02,  0.000000000000000E+00,  1.444637403980276E+03,  3.093660722306595E-01,  4.173291681028677E+01,  1.452128926151411E+02,  1.531174363999041E+03
  1.850000000000000E+01,  1.732500000000000E+03,  2.667264955602289E+02,  0.000000000000000E+00,  1.465464121502679E+03,  3.093829370923231E-01,  4.184601414581591E+01,  1.452003353633822E+02,  1.532115365865508E+03
  1.855000000000000E+01,  1.757250000000000E+03,  2.706536780176252E+02,  0.000000000000000E+00,  1.486292835008273E+03,  3.034869741015882E-01,  4.195911148134520E+01,  1.451877799124050E+02,  1.533052442094724E+03
  1.859999999999999E+01,  1.782000000000000E+03,  2.745846947354262E+02,  0.000000000000000E+00,  1.507119430926592E+03,  2.958743379815587E-01,  4.207220881687439E+01,  1.451752262708638E+02,  1.534009435601034E+03
  1.865000000000000E+01,  1.806750000000000E+03,  2.785195561309683E+02,  0.000000000000000E+00,  1.527942030482591E+03,  2.884133864406522E-01,  4.218530615240363E+01,  1.451626744476047E+02,  1.534972499626222E+03
  1.870000000000000E+01,  1.831500000000000E+03,  2.824474163940210E+02,  0.000000000000000E+00,  1.548774552710915E+03,  2.780308950641484E-01,  4.229840348793286E+01,  1.451501244516692E+02,  1.546520387853941E+03
  1.874999999999999E+01,  1.856250000000000E+03,  2.863806496825884E+02,  0.000000000000000E+00,  1.569606970841094E+03,  2.623794763171645E-01,  4.241150082346200E+01,  1.451375762922972E+02,  1.553972256447005E+03
  1.879999999999999E+01,  1.881000000000000E+03,  2.903184266595032E+02,  0.000000000000000E+00,  1.590433090344632E+03,  2.484829958648334E-01,  4.252459815899129E+01,  1.451250299789305E+02,  1.557914614970739E+03
  1.884999999999999E+01,  1.905750000000000E+03,  2.942602652766525E+02,  0.000000000000000E+00,  1.611255425871597E+03,  2.343088517500291E-01,  4.263769549452058E+01,  1.451124855212159E+02,  1.560822412579000E+03
  1.890000000000000E+01,  1.930500000000000E+03,  2.982057499393775E+02,  0.000000000000000E+00,  1.632069383123067E+03,  2.248669375549071E-01,  4.275079283004972E+01,  1.450999429290085E+02,  1.561948311862749E+03
  1.895000000000000E+01,  1.955250000000000E+03,  3.021547230856265E+02,  0.000000000000000E+00,  1.652875194290718E+03,  2.200826236548892E-01,  4.286389016557905E+01,  1.450874022123752E+02,  1.561662389726705E+03
  1.899999999999999E+01,  1.980000000000000E+03,  3.061070282571390E+02,  0.000000000000000E+00,  1.673673450747025E+03,  2.195209958360920E-01,  4.297698750110819E+01,  1.450748633815983E+02,  1.560257011681103E+03
  1.904999999999999E+01,  2.004750000000000E+03,  3.100625475909272E+02,  0.000000000000000E+00,  1.694465346856152E+03,  2.221055529207661E-01,  4.309008483663748E+01,  1.450623264471782E+02,  1.557919549352164E+03
