step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.505000000000000E+01, -7.462499999999999E+00,  2.474999999999999E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.781421602441668E+00,  1.916033414283334E+00,  2.104574321329710E+01,  2.105254498327499E+01,  6.801769977890615E-03,  6.801769977890615E-03,  6.798137237847068E-03, -3.697463252041280E-03,  6.067342283794281E-03,  4.428258206094066E-03,  3.632740043547217E-06
  2.000000000000000E+00,  1.510000000000000E+01, -7.387500000000003E+00,  2.475000000000000E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.782447362485970E+00,  1.918516624647173E+00,  2.104167554400919E+01,  2.104903601286685E+01,  7.360468857655178E-03,  1.416223883554579E-02,  7.355376521487260E-03, -3.846317379275327E-03,  8.463201303439083E-03,  2.738492597323504E-03,  5.092336167918099E-06
  3.000000000000000E+00,  1.515000000000000E+01, -7.312500000000000E+00,  2.474999999999999E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.783462508553050E+00,  1.920818197911789E+00,  2.103653082138771E+01,  2.104571929353515E+01,  9.188472147432236E-03,  2.335071098298158E-02,  9.183418087880677E-03, -3.948752734946684E-03,  1.041198795138580E-02,  2.720182871441565E-03,  5.054059551558993E-06
  4.000000000000000E+00,  1.520000000000000E+01, -7.237500000000001E+00,  2.474999999999996E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.784471687990129E+00,  1.922984949109098E+00,  2.103195853742363E+01,  2.104254336290074E+01,  1.058482547710327E-02,  3.393553646009195E-02,  1.057920651466488E-02, -4.007689314841012E-03,  1.194976695746516E-02,  2.637128872040742E-03,  5.618962438381364E-06
  5.000000000000000E+00,  1.525000000000000E+01, -7.162500000000001E+00,  2.475000000000001E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.785478888740804E+00,  1.925168893423062E+00,  2.102731895282341E+01,  2.103935221783614E+01,  1.203326501273594E-02,  4.596880147282434E-02,  1.202810176851038E-02, -4.001172478282104E-03,  1.310352763546759E-02,  2.925746611324899E-03,  5.163244225558916E-06
  6.000000000000000E+00,  1.530000000000000E+01, -7.087499999999999E+00,  2.475000000000000E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.786485477520222E+00,  1.927416557190781E+00,  2.102415490253770E+01,  2.103609796528900E+01,  1.194306275129264E-02,  5.791186422410988E-02,  1.193798961274705E-02, -3.998850904748258E-03,  1.410650218322288E-02,  1.830338334272426E-03,  5.073138545592937E-06
  7.000000000000000E+00,  1.535000000000000E+01, -7.012500000000003E+00,  2.475000000000003E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.787487497334751E+00,  1.929511350649024E+00,  2.102068337146920E+01,  2.103300115201625E+01,  1.231778054704691E-02,  7.022964477116034E-02,  1.231256602411931E-02, -3.922419702933957E-03,  1.486491268806365E-02,  1.370073038989612E-03,  5.214522927602175E-06
  8.000000000000000E+00,  1.540000000000000E+01, -6.937500000000000E+00,  2.475000000000000E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.788488914258357E+00,  1.931703601569355E+00,  2.101621313420037E+01,  2.102980748417229E+01,  1.359434997191755E-02,  8.382399474305657E-02,  1.358897605541609E-02, -3.820424869502612E-03,  1.507934743632592E-02,  2.330053488592789E-03,  5.373916501457549E-06
  9.000000000000000E+00,  1.545000000000000E+01, -6.862500000000001E+00,  2.475000000000000E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.789490936715379E+00,  1.934058144664289E+00,  2.101210597425234E+01,  2.102645091862033E+01,  1.434494436799838E-02,  9.816893911107627E-02,  1.433967841130837E-02, -3.733470100917674E-03,  1.531863285294957E-02,  2.754515659276473E-03,  5.265956690009288E-06
  1.000000000000000E+01,  1.550000000000000E+01, -6.787500000000001E+00,  2.474999999999999E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.790491849700058E+00,  1.936470072758401E+00,  2.100848985729681E+01,  2.102303807754153E+01,  1.454822024471980E-02,  1.127171593557819E-01,  1.454579713348920E-02, -3.684961423451322E-03,  1.525435581328324E-02,  2.976402743657281E-03,  2.423111230600780E-06
  1.100000000000000E+01,  1.555000000000000E+01, -6.712499999999999E+00,  2.474999999999999E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.791491871335850E+00,  1.938952751292202E+00,  2.101603165479901E+01,  2.101955537737193E+01,  3.523722572925436E-03,  1.162408819287180E-01,  3.517410833147530E-03, -3.635899487650021E-03,  3.679142627733761E-03,  3.474167693063791E-03,  6.311739777905764E-06
  1.200000000000000E+01,  1.560000000000000E+01, -6.637500000000003E+00,  2.474999999999997E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.792489698344058E+00,  1.941476145770814E+00,  2.101134349867061E+01,  2.101603415588510E+01,  4.690657214489136E-03,  1.209315391431574E-01,  4.685064299438223E-03, -3.526829641062034E-03,  4.125462207947602E-03,  4.086431732552655E-03,  5.592915050912223E-06
  1.300000000000000E+01,  1.565000000000000E+01, -6.562500000000000E+00,  2.475000000000001E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.793487793310648E+00,  1.944146678706862E+00,  2.100649277383491E+01,  2.101236552798250E+01,  5.872754147596027E-03,  1.268042932907747E-01,  5.867131642309376E-03, -3.439972018816446E-03,  4.430643469712015E-03,  4.876460191413808E-03,  5.622505286650460E-06
  1.400000000000000E+01,  1.570000000000000E+01, -6.487500000000001E+00,  2.474999999999997E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.794484727252502E+00,  1.946879437329469E+00,  2.100227924246428E+01,  2.100863583541800E+01,  6.356592953718376E-03,  1.331608862444682E-01,  6.351209608497075E-03, -3.341766327512065E-03,  4.720882489330484E-03,  4.972093446678655E-03,  5.383345221301496E-06
  1.500000000000000E+01,  1.575000000000000E+01, -6.412500000000001E+00,  2.475000000000001E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.795479437690968E+00,  1.949636226765019E+00,  2.100514082046720E+01,  2.100488433554402E+01, -2.564849231809774E-04,  1.329044013212979E-01, -2.622554058495626E-04, -3.234311930465944E-03, -2.369588983999207E-03,  5.341645508615589E-03,  5.770482668585215E-06
  1.600000000000000E+01,  1.580000000000000E+01, -6.337499999999999E+00,  2.475000000000000E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.796473190076685E+00,  1.952503155999198E+00,  2.100363753684360E+01,  2.100102365392411E+01, -2.613882919483501E-03,  1.302905184018073E-01, -2.618450828155601E-03, -3.132355492299816E-03, -5.617709428356379E-03,  6.131614092500594E-03,  4.567908672099830E-06
  1.700000000000000E+01,  1.585000000000000E+01, -6.262500000000003E+00,  2.475000000000000E+01,  9.273981513396981E-07,  9.273981513396981E-07,  0.000000000000000E+00,  1.797467010104755E+00,  1.955529710499399E+00,  2.100030258859624E+01,  2.099700327939585E+01, -3.299309200393452E-03,  1.269912092014351E-01, -3.304615101703541E-03, -3.028565094287059E-03, -5.778042774849353E-03,  5.501992767432871E-03,  5.305901310088783E-06
  1.800000000000000E+01,  1.590000000000000E+01, -6.187500000000000E+00,  2.475000000000001E+01,  9.273981513397422E-07,  9.273981513397422E-07,  0.000000000000000E+00,  1.798456474369418E+00,  1.958488976377051E+00,  2.099781392745354E+01,  2.099305454925354E+01, -4.759378199992170E-03,  1.222318310013861E-01, -4.765001424126058E-03, -2.819842246649677E-03, -6.303806274317444E-03,  4.358647096841064E-03,  5.623224133887404E-06
