time_s,source_j,loss_j,birth_j,energy_change_j,residual_j,deposit_volume_mm3,min_c,max_c
  1.510000000000000E+01,  4.949999999999995E+01,  7.397567664898897E+00,  0.000000000000000E+00,  4.209044731078757E+01,  1.198502431348913E-02,  3.415539532982817E+01,  1.460580097028947E+02,  1.545245325028437E+03
  1.520000000000000E+01,  9.899999999999991E+01,  1.480816976324348E+01,  0.000000000000000E+00,  8.415927699331951E+01,  3.255324343692223E-02,  3.438159000088675E+01,  1.460326781889058E+02,  1.536132811443279E+03
  1.530000000000000E+01,  1.485000000000000E+02,  2.223137260692966E+01,  0.000000000000000E+00,  1.262104586808273E+02,  5.816871224303100E-02,  3.460778467194514E+01,  1.460073527743145E+02,  1.524187445582984E+03
  1.540000000000000E+01,  1.979999999999999E+02,  2.966725474503786E+01,  0.000000000000000E+00,  1.682482124847011E+02,  8.453277026100636E-02,  3.483397934300361E+01,  1.459820334712860E+02,  1.509043733297528E+03
  1.550000000000000E+01,  2.475000000000000E+02,  3.711596468139633E+01,  0.000000000000000E+00,  2.102697204397191E+02,  1.143148788845565E-01,  3.506017401406208E+01,  1.459567202928604E+02,  1.505315909417033E+03
  1.560000000000000E+01,  2.970000000000000E+02,  4.457836734227162E+01,  0.000000000000000E+00,  2.522966433606853E+02,  1.249892970431006E-01,  3.528636868512056E+01,  1.459314132529969E+02,  1.509854834772414E+03
  1.570000000000000E+01,  3.464999999999999E+02,  5.205496302548993E+01,  0.000000000000000E+00,  2.943078177158168E+02,  1.372192586931646E-01,  3.551256335617899E+01,  1.459061123666181E+02,  1.513887730148558E+03
  1.580000000000000E+01,  3.959999999999999E+02,  5.954659178969134E+01,  0.000000000000000E+00,  3.363146607710587E+02,  1.387474392498689E-01,  3.573875802723742E+01,  1.458808176496564E+02,  1.517489177004932E+03
  1.590000000000000E+01,  4.454999999999999E+02,  6.705376438854208E+01,  0.000000000000000E+00,  3.783146488255152E+02,  1.315867859426589E-01,  3.596495269829589E+01,  1.458555291191027E+02,  1.520271295817282E+03
  1.600000000000000E+01,  4.949999999999999E+02,  7.457691650981575E+01,  0.000000000000000E+00,  4.203035460694373E+02,  1.195374207468376E-01,  3.619114736935436E+01,  1.458302467930552E+02,  1.522749493166596E+03
  1.610000000000000E+01,  5.444999999999999E+02,  8.209183795160276E+01,  0.000000000000000E+00,  4.622900804761885E+02,  1.180815722086663E-01,  3.641734204041283E+01,  1.458049706907711E+02,  1.549842881728522E+03
  1.620000000000000E+01,  5.939999999999999E+02,  8.962960555134656E+01,  0.000000000000000E+00,  5.042725616288517E+02,  9.783281980162428E-02,  3.664353671147131E+01,  1.457797008327195E+02,  1.555884611254347E+03
  1.630000000000000E+01,  6.434999999999999E+02,  9.718255247051576E+01,  0.000000000000000E+00,  5.462258316713487E+02,  9.161585813535567E-02,  3.686973138252969E+01,  1.457544372406359E+02,  1.555614631432835E+03
  1.640000000000000E+01,  6.929999999999999E+02,  1.047492570699750E+02,  0.000000000000000E+00,  5.881515823676091E+02,  9.916056241581828E-02,  3.709592605358817E+01,  1.457291799375786E+02,  1.551345749949527E+03
  1.650000000000000E+01,  7.424999999999999E+02,  1.123290120150322E+02,  0.000000000000000E+00,  6.300537826489672E+02,  1.172053360005521E-01,  3.732212072464674E+01,  1.457039289479869E+02,  1.544051516527390E+03
  1.660000000000000E+01,  7.919999999999999E+02,  1.199214972855680E+02,  0.000000000000000E+00,  6.719375177809197E+02,  1.409849335121862E-01,  3.754831539570522E+01,  1.456786842977405E+02,  1.533452806780779E+03
  1.670000000000000E+01,  8.414999999999999E+02,  1.275265230719011E+02,  0.000000000000000E+00,  7.138048941463712E+02,  1.685827817275367E-01,  3.777451006676365E+01,  1.456534460142213E+02,  1.519666558517549E+03
  1.680000000000000E+01,  8.909999999999998E+02,  1.351441831426334E+02,  0.000000000000000E+00,  7.556587200767462E+02,  1.970967806201998E-01,  3.800070473782208E+01,  1.456282141263770E+02,  1.506951770245008E+03
  1.690000000000000E+01,  9.404999999999998E+02,  1.427748131971535E+02,  0.000000000000000E+00,  7.974962900527389E+02,  2.288967501074239E-01,  3.822689940888055E+01,  1.456029886647865E+02,  1.511759956927111E+03
  1.700000000000000E+01,  9.899999999999998E+02,  1.504193316746886E+02,  0.000000000000000E+00,  8.393399427859331E+02,  2.407255393781043E-01,  3.845309407993902E+01,  1.455777696617260E+02,  1.515999635838345E+03
  1.710000000000000E+01,  1.039500000000000E+03,  1.580783860069401E+02,  0.000000000000000E+00,  8.811669151317546E+02,  2.546988613049734E-01,  3.867928875099745E+01,  1.455525571512395E+02,  1.520070421082108E+03
  1.720000000000000E+01,  1.089000000000000E+03,  1.657526059936845E+02,  0.000000000000000E+00,  9.229983418807533E+02,  2.490521255620024E-01,  3.890548342205592E+01,  1.455273511692085E+02,  1.522961824310705E+03
  1.730000000000000E+01,  1.138500000000000E+03,  1.734425716718994E+02,  0.000000000000000E+00,  9.648206627846448E+02,  2.367655434555900E-01,  3.913167809311435E+01,  1.455021517534255E+02,  1.525486657316591E+03
