time_s,qt_pair_residual_j,q235_pair_residual_j,q235_interior_residual_j,qt_interior_residual_j,weld_interior_residual_j,qt_weld_side_gradient_j,qt_parent_side_gradient_j,q235_weld_side_gradient_j,q235_parent_side_gradient_j
18,0,0,0,0,0,0,0,0,0
18.1,3.816074121664e-09,5.04612406827753e-09,1.56044086407309e-08,6.2566705891419e-09,-9.53639704777535e-06,13.368177985224,11.613334784968,16.24814152104,13.0664396106924
18.2,-1.8410696368906e-09,-3.9248534120323e-09,-9.3847903625651e-09,-5.67956731125613e-09,-9.78992172345994e-06,13.3712108518205,11.6162243832193,16.1885045104221,13.0331749740493
18.3,6.87789906626375e-07,-5.57486877858958e-09,-1.98961715323026e-08,1.43257259933736e-08,-9.26904824123196e-06,13.378864837465,11.6469811589776,16.129365008691,12.99462481891
18.4,7.70031878864357e-09,7.8980677372145e-09,2.69336130594967e-08,1.29105841500305e-08,-1.05530241222631e-05,13.396295988335,11.6814829063234,16.0690553709757,12.9517097748771
18.5,1.97539229377966e-07,-2.56252175645678e-09,-6.95314241629738e-09,3.86069571790946e-09,-9.80758651192748e-06,13.4162086947913,11.7154005766596,16.0017214318102,12.9020700187055
18.6,-2.10020536081814e-07,1.56367544742521e-08,4.83815575702918e-08,-5.38141524131495e-08,-1.07905559811406e-05,13.4380036127466,11.7428043781125,15.9286812887919,12.8497729289904
18.7,6.79557429914234e-07,-2.26046136974574e-08,-6.95332644515007e-08,1.25809784111032e-07,-6.73808834714745e-06,13.4522381302568,11.7545187417026,15.9345157105196,12.845276947778
18.8,-1.40283203897421e-09,-3.70169906978453e-09,-1.02657811904346e-08,-5.18326919113907e-09,-8.34445548305259e-06,13.4749767887985,11.7412882801084,16.0413499352245,12.8904009617743
18.9,1.59016326274095e-08,2.15500083813918e-08,4.26154190981706e-08,2.91417252017953e-08,-8.71269145109338e-06,13.4869111064914,11.7528749785232,16.0917639191579,12.9348608292448
19,1.75977594436963e-09,-1.29694984462122e-09,-4.15421337873855e-08,4.79769973795179e-09,-8.86037619362364e-06,13.5067757505063,11.7737959421912,16.1062246711965,12.9599006057586
19.1,2.35394405037674e-09,3.44487724340632e-09,1.59683859672982e-08,1.01748315138337e-08,-8.94576705903606e-06,13.5223746304008,11.7945429381315,16.0973687883816,12.9694102887412
19.2,-2.04368015651234e-09,-4.07796694198522e-09,-1.69487503268158e-08,-4.38883284155481e-09,-9.12620023401588e-06,13.5346761130241,11.8107858204444,16.0755184919938,12.9680473246749
19.3,7.75438607837816e-09,7.6383138400045e-09,2.70273500731266e-08,8.36050827020827e-09,-8.84867336529486e-06,13.5435977999925,11.8211757046623,16.0408839849796,12.9602937281688
19.4,1.18304146392225e-09,3.94577612309812e-09,1.24099672132719e-08,5.4633456896573e-09,-9.21294075352668e-06,13.5387530714234,11.8246209802017,15.9921369420678,12.9418937389507
19.5,5.63363821715205e-09,1.19662969559446e-08,2.98164564508249e-08,1.74413474667924e-08,-1.01217278860369e-05,13.5327811207299,11.8234071808416,15.9294383724153,12.9101188732848
19.6,3.23695512627481e-08,-3.70017612061883e-09,-1.54044429331893e-07,1.22846510875614e-07,-9.44642673180244e-06,13.5377493933475,11.8442678262168,15.8690798496439,12.8720747177155
19.7,3.50159915410563e-07,2.17143034417757e-08,3.48949194388463e-08,9.77776175381096e-08,-9.43916106935675e-06,13.550082126322,11.8801858825845,15.8111468417377,12.8311039731927
19.8,-3.60615704014158e-07,3.85731543275832e-09,9.16596017183803e-09,-7.60097518582495e-08,-9.67131245676559e-06,13.5704216003897,11.9143404567176,15.7453475483618,12.7834217448443
19.9,2.86885137188854e-06,2.21938715444354e-10,8.210372159892e-10,6.81142827669287e-07,-9.81541727067523e-06,13.595686843034,11.9437285726926,15.6760078768069,12.7307328319698
20,3.19108422822867e-09,5.88382385212289e-09,1.59393652790479e-08,7.60178426354694e-09,-9.90957945452669e-06,13.6064534073344,11.9718053095109,15.598714024404,12.6955574503647
20.1,-6.79978177895862e-08,1.53034243121781e-08,4.46153614568939e-08,4.92235605748637e-09,-1.0074809114277e-05,13.6292516850811,11.9481689126788,15.7315604642636,12.7338351569032
20.2,3.53007722916819e-09,5.2757025538576e-09,1.4834309859556e-08,7.06814091733705e-09,-8.09910520189932e-06,13.6439388686881,11.9543104662926,15.8017946660902,12.7883749932632
20.3,1.60510408273667e-09,-1.17790501788393e-09,-3.91270357565494e-08,4.41692497366866e-09,-8.39161824756668e-06,13.663333623906,11.9736930287041,15.8254590346942,12.8186094935273
20.4,2.14410454346405e-09,3.3529801871457e-09,1.56015066419471e-08,9.33409878025274e-09,-8.47571271881131e-06,13.6802845798129,11.9947098255482,15.8231644555849,12.833951914526
20.5,-2.35362256023319e-09,-4.57774720805133e-09,-1.93406298196889e-08,-5.00247745984438e-09,-8.67331587628176e-06,13.6937261223106,12.012463202652,15.8051335152728,12.8326802757215
20.6,3.19210102621674e-09,2.6137039569384e-09,1.12315514600886e-08,1.50624122404035e-08,-8.65969227924883e-06,13.7036821945523,12.0249409216774,15.7761352378176,12.8264677586972
20.7,3.48593025929085e-09,7.89220555658121e-09,2.29717809205077e-08,1.16315595287684e-08,-7.99825210889559e-06,13.7064592276503,12.0310883120726,15.7325536066555,12.8123738616932
20.8,1.55730459152823e-08,2.0196885625799e-08,5.81860877978112e-08,2.50721052770002e-08,-7.52772341694267e-06,13.6985707343018,12.0305509110162,15.6768348552248,12.7855714157674
20.9,5.4654332308521e-09,4.07366068161924e-09,-3.25841546615787e-09,1.29380879613438e-08,-8.96824989982525e-06,13.6976521662826,12.0394757217479,15.6133081478604,12.7486577921216
21,-1.08646947895965e-08,-1.16290429735194e-08,-3.18792698364028e-08,-1.26996796954777e-08,-8.39188068828821e-06,13.702966454836,12.074303271655,15.5539032895699,12.7079831141184
21.1,-4.93281397004469e-07,4.76892157870224e-09,1.27262421728943e-08,-1.03022167112171e-07,-9.20915962262203e-06,13.7244434084472,12.1106184648687,15.4928213783745,12.6631374415136
21.2,-1.66377291357327e-07,-6.40486569586014e-09,-1.52158412771484e-08,-5.90261979826466e-08,-8.95616756592575e-06,13.7443972812303,12.1413699389555,15.4240206658998,12.6118874850352
21.3,5.84014167983838e-08,1.94019496168348e-08,4.08086817322302e-08,3.8262312523625e-08,-7.93340703172284e-06,13.7660735670398,12.1671420980277,15.3490391671251,12.5702016654947
21.4,5.20608078799173e-08,-6.74347901458511e-09,-1.93149775485881e-08,2.76816087457752e-09,-6.80875212553715e-06,13.781849573135,12.1560843997812,15.4139125960319,12.5863275711938
21.5,-1.72640917270569e-08,-1.14662455923071e-08,-3.80139132183846e-09,-5.72687869190226e-08,-7.8278206875667e-06,13.7976545865315,12.1528542113646,15.5040902728731,12.6367333348607
21.6,1.02466389457617e-08,1.43460925162598e-08,2.91046915108107e-08,1.92385380392142e-08,-7.87705684490998e-06,13.817010834702,12.1700760117525,15.5425009577678,12.6755311595418
21.7,1.95366267757554e-09,3.24477351960508e-09,1.51213347745921e-08,8.62483503692746e-09,-8.00032419859545e-06,13.8356019479698,12.1915536435528,15.5482234533039,12.6940831021692
21.8,-3.26823794645448e-09,-6.11644824252576e-09,-2.66190468706564e-08,-6.87777467245431e-09,-8.26189050029793e-06,13.8502727168595,12.2101877112424,15.5357145659321,12.6979120704632
21.9,3.10658057501271e-09,2.65245559241058e-09,1.1614831077826e-08,1.47494231497879e-08,-8.18125165853158e-06,13.8613520564273,12.2246184457969,15.5101800770105,12.6895481599416
22,1.57803972431078e-08,1.5560871821182e-08,5.41187509116527e-08,1.69358895360235e-08,-7.29360629456863e-06,13.8687478421319,12.2336209667594,15.4743587208997,12.6803465297431
22.1,3.96478436027529e-09,9.17128042599128e-09,2.67048210847767e-08,1.3400538265803e-08,-8.03641553847724e-06,13.864748857997,12.2354276927293,15.4242899693192,12.6582259767517
