step,time_s,source_center_s_mm,source_step_j,physical_birth_mass_kg,effective_birth_mass_kg,birth_enthalpy_j,convection_step_j,radiation_step_j,fe_enthalpy_change_j,expected_change_j,step_defect_j,cumulative_defect_j,predicted_capacity_mix_j,q235_mix_j,qt_mix_j,weld_mix_j,unexplained_step_j
  1.000000000000000E+00,  1.510000000000000E+01, -7.425000000000001E+00,  4.949999999999995E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.562936319371732E+00,  3.834631345527166E+00,  4.209044731078757E+01,  4.210243233510106E+01,  1.198502431348913E-02,  1.198502431348913E-02,  1.197509976467459E-02, -5.994823023841282E-03,  1.428272638378629E-02,  3.687196404729582E-03,  9.924548814545589E-06
  2.000000000000000E+00,  1.520000000000000E+01, -7.275000000000002E+00,  4.949999999999997E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.566981768676926E+00,  3.843620329667657E+00,  4.206882968253194E+01,  4.208939790165539E+01,  2.056821912344731E-02,  3.255324343692223E-02,  2.055812116793869E-02, -6.788798472666782E-03,  2.139736714109691E-02,  5.949552499508566E-03,  1.009795550861725E-05
  3.000000000000000E+00,  1.530000000000000E+01, -7.125000000000000E+00,  4.950000000000006E+01,  1.854796302679440E-06,  1.854796302679440E-06,  0.000000000000000E+00,  3.571010004336189E+00,  3.852192839349993E+00,  4.205118168750778E+01,  4.207679715631387E+01,  2.561546880609455E-02,  5.816871224303100E-02,  2.560656159489716E-02, -7.193162737024947E-03,  2.642265191124667E-02,  6.377072420675432E-03,  8.907211197398818E-06
  4.000000000000000E+00,  1.540000000000000E+01, -6.975000000000001E+00,  4.949999999999999E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.575028723370937E+00,  3.860853414737256E+00,  4.203775380387378E+01,  4.206411786189179E+01,  2.636405801801089E-02,  8.453277026100636E-02,  2.635385791258912E-02, -7.207452950738075E-03,  2.961960502251479E-02,  3.941705840812406E-03,  1.020010542177388E-05
  5.000000000000000E+00,  1.550000000000000E+01, -6.825000000000003E+00,  4.950000000000003E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.579035824496035E+00,  3.869674111862439E+00,  4.202150795501802E+01,  4.205129006364156E+01,  2.978210862353592E-02,  1.143148788845565E-01,  2.977145641079899E-02, -7.026295145205846E-03,  3.091884998293631E-02,  5.878901573068524E-03,  1.065221273693212E-05
  6.000000000000000E+00,  1.560000000000000E+01, -6.675000000000001E+00,  4.950000000000004E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.583040132580704E+00,  3.879362528294585E+00,  4.202692292096617E+01,  4.203759733912475E+01,  1.067441815857961E-02,  1.249892970431006E-01,  1.066387849247732E-02, -6.870974067957359E-03,  9.676288464024569E-03,  7.858564096410108E-03,  1.053966610229523E-05
  7.000000000000000E+00,  1.570000000000000E+01, -6.525000000000002E+00,  4.949999999999991E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.587033165290423E+00,  3.889562517927890E+00,  4.201117435513152E+01,  4.202340431678160E+01,  1.222996165008539E-02,  1.372192586931646E-01,  1.221909495849870E-02, -6.556083736894450E-03,  8.835022329012525E-03,  9.940156366380624E-03,  1.086669158668549E-05
  8.000000000000000E+00,  1.580000000000000E+01, -6.375000000000000E+00,  4.950000000000002E+01,  1.854796302679440E-06,  1.854796302679440E-06,  0.000000000000000E+00,  3.591021618928701E+00,  3.900607145272709E+00,  4.200684305524192E+01,  4.200837123579861E+01,  1.528180556697123E-03,  1.387474392498689E-01,  1.529665361977418E-03, -6.191427537053601E-03, -3.992368113734526E-03,  1.171346101276555E-02, -1.484805280295085E-06
  9.000000000000000E+00,  1.590000000000000E+01, -6.225000000000001E+00,  4.949999999999999E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.594997232912430E+00,  3.912175365938306E+00,  4.199998805445648E+01,  4.199282740114926E+01, -7.160653307224152E-03,  1.315867859426589E-01, -7.171752629465025E-03, -5.761969937265402E-03, -1.201915044617677E-02,  1.060936775397714E-02,  1.109932224087340E-05
  1.000000000000000E+01,  1.600000000000000E+01, -6.075000000000003E+00,  4.949999999999999E+01,  1.854796302679396E-06,  1.854796302679396E-06,  0.000000000000000E+00,  3.598956625914663E+00,  3.924195495359002E+00,  4.198889724392211E+01,  4.197684787872632E+01, -1.204936519578581E-02,  1.195374207468376E-01, -1.205709017064439E-02, -4.830060797102360E-03, -1.482663699279525E-02,  7.599607619253213E-03,  7.724974858583367E-06
