time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
18,12798.236117689,30255.595299935,99.7300417204025,0,0,0,0,0,0
18.1,12820.9285080474,30274.2816010564,100.038549287047,12.2666427950647,16.3292484684087,49.4999999999999,3.26904730197657,3.87332248334567,0.6415502629899
18.2,12843.5523193754,30292.9887389329,100.380211591121,24.5594959175341,32.5980703488757,99,6.54613232858399,7.7501533364791,1.28405804478266
18.3,12866.1079145919,30311.7263926028,100.746686950094,36.8839614256315,48.8069106418823,148.5,9.83111043516547,11.6304554352673,1.9285487440737
18.4,12888.5942469829,30330.5233101157,101.12616871217,49.2516743530579,64.9545979577706,198,13.1238452837431,15.5141804138643,2.57598042660907
18.5,12911.0045487936,30349.3696162528,101.522714012114,61.6646633408099,81.0341284652595,247.5,16.4241972639856,19.4012483813725,3.22726180809238
18.6,12933.3328471766,30368.281146061,101.940082218239,74.1266755957101,97.0397748185509,297,19.7320176574843,23.2915768300503,3.88313216331765
18.7,12955.6599657724,30387.1933552534,102.362083955251,86.5870112323481,113.053624811608,346.5,23.0476151493059,27.1854719655258,4.52250220697191
18.8,12978.0886796132,30406.0623524069,102.726791825278,99.0045757819469,129.17844946786,396,26.371907817432,31.0833600575904,5.16524490435288
18.9,13000.5609938389,30424.9036490236,103.049631526417,111.413270808801,145.354395054947,445.5,29.704945083796,34.984462454921,5.81366507006613
19,13023.0396148661,30443.7510874376,103.330886148709,123.84467058964,161.544456490358,495,33.0466562399253,38.888877748221,6.46434819734528
19.1,13045.5010175617,30462.6140192637,103.586832650878,136.304958679321,177.725055191203,544.5,36.3969102457948,42.7967560819013,7.11618167634569
19.2,13067.9323296922,30481.4961292842,103.831402215018,148.795023337764,193.88312131206,594,39.7555604176231,46.7081759924121,7.76864532227989
19.3,13090.3203642443,30500.3989094138,104.079280994228,161.314057294803,210.005862529648,643.5,43.122470992455,50.623162275357,8.42176240167387
19.4,13112.6508372817,30519.3118749229,104.359090019361,173.851221388797,226.079169919385,693,46.4975064301047,54.5417103057164,9.07573859328253
19.5,13134.9098843082,30538.2366233658,104.685609858716,186.406598041081,242.089070849148,742.5,49.8805077266872,58.4637840182081,9.73059399992332
19.6,13157.099633728,30557.1837152226,105.04247303341,198.990254105682,258.037777813313,792,53.2713177978974,62.3893288302731,10.3867518454545
19.7,13179.2225404921,30576.1738321419,105.416516475518,211.610364586748,273.92770353265,841.5,56.6697954916193,66.3183108021913,11.0454843329755
19.8,13201.2710191853,30595.2240071208,105.806106650573,224.277286813273,289.751010174971,891,60.0758035564462,70.250664548242,11.7077896302381
19.9,13223.2414667361,30614.3361255262,106.208023073767,236.995458651606,305.504124438288,940.5,63.4891944938333,74.1862900109899,12.3743172448435
20,13245.125536692,30633.4947983577,106.649542852477,249.75064557914,321.179168794267,990,66.9098193037572,78.1250831201103,13.0460555781983
20.1,13267.1350042698,30652.6070846828,107.026434152315,262.450031018582,336.99031421311,1039.5,70.3389207865268,82.0682410366797,13.6953800437043
20.2,13289.2121950687,30671.6770237767,107.357554173964,275.126820514279,352.876147733712,1089,73.7766438539795,86.014624388477,14.3543949715637
20.3,13311.3052574249,30690.7464538911,107.647451101895,287.820859079262,368.785484617969,1138.5,77.2229614052237,89.9642416058404,15.0164575418583
20.4,13333.3878114922,30709.829363606,107.905907660835,300.542943598043,384.691968388125,1188,80.6777446735083,93.9172712399434,15.6798534489251
20.5,13355.4441729617,30728.930385044,108.14893659028,313.294781300358,400.579743858805,1237.5,84.1408427662441,97.873817267404,16.343935673193
20.6,13377.4631061108,30748.0513343229,108.388151631012,326.075639811385,416.43782874719,1287,87.6121157864845,101.833920106249,17.008592294001
20.7,13399.4298085713,30767.1887973808,108.646025764293,338.880576621481,432.251664031137,1336.5,91.0914291235797,105.797583910487,17.6740112368265
20.8,13421.3321533904,30786.3348609366,108.945937845538,351.701424537556,448.009071630768,1386,94.5786272483821,109.764787424147,18.3403295546361
20.9,13443.1623009443,30805.4975167513,109.287652923529,364.545138059497,463.702192693575,1435.5,98.0735540478788,113.735473827888,19.0077751581204
21,13464.9242305657,30824.6819656588,109.657934895069,377.416971236794,479.335070508067,1485,101.576058368719,117.709606885971,19.6772178523491
21.1,13486.6164426722,30843.9336376372,110.037631597136,390.336606144785,494.906018454667,1534.5,105.085998877698,121.687149431782,20.3498193534575
21.2,13508.2314135741,30863.23524994,110.435238600562,403.301968987118,510.407338795269,1584,108.603234584939,125.667981093269,21.0264873312707
21.3,13529.7625015167,30882.6072089872,110.855576644379,416.316321735641,525.832872905013,1633.5,112.127614020627,129.652013310464,21.7079327639866
21.4,13551.3522112063,30901.9567946816,111.255322322143,429.298827723424,541.327022952097,1683,115.659913923691,133.639970571356,22.3697020101535
21.5,13573.0276058072,30921.2566817566,111.603728162238,442.245303004622,556.914704877343,1732.5,119.200674718421,137.631494839576,23.0381302039743
21.6,13594.7344133098,30940.5471465771,111.905537474594,455.200876715895,572.54104373852,1782,122.749900043796,141.626219854354,23.7105764318561
21.7,13616.4389871182,30959.8482249959,112.170471760961,468.182632273928,588.172648999708,1831.5,126.30749403502,145.62431107646,24.3847444201732
21.8,13638.1230786533,30979.1662385108,112.414132681542,481.193957057812,603.791116350725,1881,129.873312257237,149.625895694343,25.0597311012966
21.9,13659.7734450421,30998.5034065253,112.650283928078,494.234359806961,619.383364174323,1930.5,133.44721302593,153.631028989981,25.735258793048
22,13681.3794525891,31017.860121772,112.891780793416,507.30204298971,634.939115032539,1980,137.029060981892,157.639724158161,26.4114227618345
22.1,13702.9269497064,31037.2280573146,113.166061646092,520.388300259123,650.44411994985,2029.5,140.618708771627,161.651971872181,27.0885121421152
22.2,13724.4036402009,31056.6046740517,113.489328020402,533.490363933126,665.886030043173,2079,144.215999371398,165.667724594342,27.7666614668958
22.3,13745.80993589,31076.0014602452,113.847136401212,546.618867467482,681.265421933454,2128.5,147.820776001907,169.686934698802,28.4463071685877
22.4,13767.1493801292,31095.434858582,114.223903843938,559.783044357148,696.58567122935,2178,151.432892051929,173.709561185811,29.1286625210509
22.5,13788.4118307765,31114.9433350149,114.612203224213,573.000505595352,711.836440401024,2227.5,155.052209494538,177.735547650612,29.8148844042916
22.6,13809.5946886673,31134.5066646822,115.019132437605,586.264575186052,727.015439900514,2277,158.678576187471,181.764725306305,30.5053994752995
22.7,13830.7691497409,31154.0946597895,115.436727571677,599.533726894852,742.195050210783,2326.5,162.312304677647,185.797440686411,31.1791424384054
22.8,13852.0458702462,31173.627783048,115.802862163206,612.752199058419,757.485887877779,2376,165.954313823804,189.834100830416,31.8556333400971
22.9,13873.3703300519,31193.139345096,116.113659586976,625.968719553323,772.831360048214,2425.5,169.604657309277,193.873946001106,32.5375939918225
23,13894.7015267125,31212.6559720845,116.386312601395,639.207043507199,788.190891410915,2475,173.263270167848,197.917099632613,33.2219281357001
23.1,13916.0178011567,31232.1877141544,116.632235921811,652.474221823866,803.542717152539,2524.5,176.930015400236,201.963712892288,33.9072177827294
23.2,13937.3047755695,31251.7379825123,116.86606860618,665.770720019415,818.872518213834,2574,180.604748531512,206.013862360617,34.5930564668252
23.3,13958.5515554522,31271.3070214403,117.100507374003,679.094424129837,834.169820390863,2623.5,184.287332839154,210.067571505563,35.2794392673626
23.4,13979.7465935727,31290.8931503349,117.352835553438,692.442239762863,849.423040412329,2673,187.977624651556,214.1248381201,35.9665940791434
23.5,14000.8769580584,31310.4850609999,117.651159585925,705.803475442023,864.619136027537,2722.5,191.675469013351,218.185632387948,36.6548490412909
23.6,14021.9345606733,31330.0916933777,117.993866456265,719.186121434008,879.750143233242,2772,195.38071054816,222.249900480719,37.3443920069922
23.7,14042.924127626,31349.7218351961,118.363416512425,732.598922569256,894.820735738961,2821.5,199.093194738014,226.317597113898,38.0360831361309
23.8,14063.841334914,31369.4195839335,118.744609767249,746.060239656092,909.826429281055,2871,202.812780193779,230.388696011197,38.7312615067729
23.9,14084.6797948916,31389.1723866683,119.14505172164,759.567304178849,924.760918372594,2920.5,206.53931894126,234.463015207171,39.4305163825195
24,14105.4343653136,31408.9899288074,119.570671094821,773.121151629499,939.619402278664,2970,210.272657337855,238.540471952931,40.1347969145566
24.1,14126.3070362147,31428.7603308947,119.94929282604,786.614594657072,954.606304060657,3019.5,214.014059359838,242.622290583125,40.8163373269829
24.2,14147.2516792777,31448.4901771369,120.272231618995,800.088624163203,969.671576017667,3069,217.763654566447,246.707304944823,41.5070012784209
24.3,14168.2138882956,31468.2187265369,120.554482766223,813.579444796145,984.761494494718,3118.5,221.521425326802,250.795548313009,42.2008145747686
24.4,14189.166962414,31487.9601924706,120.804689043675,827.098125474149,999.849422950289,3168,225.287240552775,254.887204811686,42.8958216460763
24.5,14210.0962063713,31507.7194856632,121.037317111819,840.646407403801,1014.92057198754,3217.5,229.060950468803,258.982378971212,43.591440474232
24.6,14230.9880655334,31527.4971674575,121.267260971282,854.222262942371,1029.9618375855,3267,232.84241533813,263.081109613851,44.2875553931219
24.7,14251.8346313282,31547.2932581926,121.505290372971,867.823855058287,1044.96538214805,3316.5,236.631493956925,267.183401454975,44.9842772555146
24.8,14272.6217304019,31567.099736042,121.778723643639,881.443000386862,1059.91686569517,3366,240.428031610863,271.289238659847,45.6820383251512
24.9,14293.3379808625,31586.9133913986,122.102586082565,895.076939614093,1074.80497147099,3415.5,244.231874302687,275.398569878258,46.3810287496922
25,14313.9846955429,31606.7479549731,122.459836704323,908.738482822981,1089.63106104837,3465,248.042865817587,279.511345309803,47.0817125620233
25.1,14334.5614622191,31626.6250486104,122.837057623973,922.438029386396,1104.3945879196,3514.5,251.860858282215,283.627535276444,47.785424049185
25.2,14355.0607330779,31646.572998084,123.229242506705,936.187677015329,1119.08791212978,3564,255.685707215183,287.747017732,48.4930070651684
25.3,14375.4796730293,31666.5745786917,123.642103558489,949.983024218432,1133.70865934796,3613.5,259.517260211538,291.869653109979,49.2051872192961
25.4,14395.9509374296,31686.572707661,124.043234174606,963.749869617258,1148.39128997253,3663,263.356305596077,295.996249050907,49.8975682747693
25.5,14416.5108884485,31706.5191165954,124.387091485201,977.479941849229,1163.16997181231,3712.5,267.203375881366,300.126386760028,50.5960393675817
25.6,14437.1054881803,31726.4588283069,124.676914758628,991.222395663167,1177.9899801988,3762,271.058481961818,304.259716978807,51.2985183993445
25.7,14457.6989654378,31746.4073947476,124.9328743829,1004.98971770631,1192.81582356423,3811.5,274.921530096153,308.39642151172,52.0027724441825
25.8,14478.2744654654,31766.372401645,125.166245988028,1018.78625909054,1207.63055037365,3861,278.792374927646,312.536626779934,52.7076846015845
25.9,14498.8166103263,31786.3551714534,125.392651177237,1032.61052543897,1222.41915101919,3910.5,282.670876412631,316.680388848904,53.4130974992439
26,14519.3167731004,31806.3555704888,125.623560668884,1046.46034077489,1237.17325020773,3960,286.556893057842,320.827717531069,54.1189841075833
