time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
18,13051.2745705726,31331.5873161034,135.7222711256,0,0,0,0,0,0
18.1,13073.5748470273,31350.663490135,135.939267331081,16.2285438682398,19.9418043631843,49.5,3.30695300510666,3.8364403183926,0.763159983500117
18.2,13095.8458894219,31369.7570536704,136.155320789012,32.4780284907614,39.8633814508852,99.0000000000001,6.62291279497694,7.67643188707738,1.52654923597137
18.3,13118.087190896,31388.8674944774,136.370257310041,48.747987485205,59.7642298645204,148.5,9.9478848309044,11.5200205559621,2.29130972765808
18.4,13140.2982009354,31407.9942821675,136.58395701244,65.0379409558934,79.6438069347116,198,13.2818769581902,15.3672568182068,3.0585839053103
18.5,13162.4783470881,31427.1368847806,136.796340938354,81.3474096123058,99.5015497550604,247.5,16.6248987222748,19.2181933428504,3.82949292367109
18.6,13184.6270510576,31446.2947803691,137.00736199187,97.6759245108598,119.336890724319,297,19.9769608183794,23.0728831341869,4.60512042346229
18.7,13206.7437409845,31465.4674653328,137.216998459065,114.02303399135,139.149269375027,346.5,23.3380746385913,26.9313781322635,5.38650024625248
18.8,13228.827860957,31484.6544604815,137.425249100621,130.388308661823,158.938141506323,396,26.7082518937257,30.7937281355647,6.17460722415419
18.9,13250.8810914413,31503.8574407904,137.635587161603,146.773303709731,178.705129876369,445.5,30.0874348758471,34.65981335601,6.96279016648057
19,13272.905059863,31523.0779074859,137.848147135903,163.17938902455,198.451809441341,495,33.4755711154015,38.5295024564415,7.74796973368275
19.1,13294.9006582093,31542.3165657585,138.061946737523,179.607187117821,218.179037792044,544.5,36.8726262160842,42.4027127584902,8.5296481094041
19.2,13316.8682188773,31561.5735675276,138.276159821579,196.056813085378,237.887126022097,594,40.2785788743457,46.2794074382316,9.30822524907417
19.3,13338.8077150566,31580.8487416738,138.490200488503,212.528092581178,257.576035469161,643.5,43.6934172383972,50.1595832690149,10.0845000606372
19.4,13360.7188953238,31600.1417347342,138.703662566105,229.020691691189,277.245509697884,693,47.1171362961093,54.0432597999525,10.8594690656633
19.5,13382.6013673437,31619.4520915058,138.916262881631,245.534189727528,296.895156365414,742.5,50.5497360399844,57.9304715459833,11.6342284676411
