time_s,H_q235_j,H_qt_j,H_weld_j,weld_to_qt_j,weld_to_q235_j,source_total_j,loss_q235_j,loss_qt_j,loss_weld_j
18,12695.2713529946,30337.7204506012,107.699311904342,0,0,0,0,0,0
18.1,12717.8318428457,30356.5845434392,107.927369302685,12.4323867200526,16.1313201007073,49.4999999999999,3.1958866565404,3.89169986811804,0.759773387941922
18.2,12740.3189023001,30375.4342905584,108.230268070419,24.8537699972887,32.1972725439935,99,6.39983605218273,7.78674201213566,1.52107650694641
18.3,12762.7290999085,30394.2706844537,108.611074814344,37.2649573101451,48.1942574360931,148.5,9.61167974252847,11.6849414155527,2.28363516549567
18.4,12785.0513827363,30413.0930901297,109.08035850156,49.6651509412513,64.1110425381811,198,12.8312384235182,15.5861353563495,3.0489103526476
18.5,12807.2883363859,30431.8989152233,109.637865752327,62.0516094396467,79.9500127275947,247.5,16.058311369885,19.4901747470455,3.81751202173737
18.6,12829.4564044667,30450.7079115609,110.246895991003,74.4439373787778,95.7274057836732,297,19.2926927516359,23.3969123342927,4.59029839559801
18.7,12851.6277484295,30469.5604482985,110.833379993719,86.8827969103707,111.515568546065,346.5,22.5345679577573,27.3066411140741,5.32832970670675
18.8,12873.9006210676,30488.5132145673,111.177187420587,99.4257529166993,127.413618379574,396,25.7848015596193,31.2202368370127,6.09505404785902
18.9,12896.2266482086,30507.5306131858,111.396910662524,112.037390335436,143.373272810784,445.5,29.0434852562803,35.1378816230277,6.85557656387196
19,12918.5597377255,30526.5641570967,111.57587184715,124.669255131738,159.348434512033,495,32.3106138470551,39.0596084940926,7.62112648961972
19.1,12940.8821485762,30545.6010512376,111.748748428963,137.308432612524,175.32132370413,544.5,35.5861485949781,42.9852978196191,8.38772084287093
19.2,12963.1927563777,30564.6481224456,111.910039591949,149.961589866159,191.290746059626,594,38.8700195553044,46.9147898507895,9.15538767871885
19.3,12985.4815993591,30583.7092208157,112.064905813555,162.632454920195,207.246657717384,643.5,42.1621446381108,50.8479625204362,9.92528235329578
19.4,13007.7179935563,30602.7597125066,112.268439544863,175.296283146834,223.158269675121,693,45.4624188049096,54.7847050417641,10.6978460456015
19.5,13029.89242071,30621.7999713493,112.531713693636,187.953270067916,239.015924920291,742.5,48.7707033027994,58.7248391057449,11.4714673385724
19.6,13051.9859807214,30640.8231854604,112.880204481022,200.596427917828,254.800563279643,792,52.0868380571716,62.6681888301664,12.2467179499252
19.7,13073.9930342363,30659.8294898012,113.319626842311,213.225709298161,270.506363499657,841.5,55.4106411686481,66.6145718554882,13.0237515962973
19.8,13095.9117163169,30678.8238498913,113.846120787268,225.845915484195,286.131262139079,891,58.7419141338766,70.5638239368124,13.803690433896
19.9,13117.7641779098,30697.812919115,114.430103400389,238.463560386872,301.697202737759,940.5,62.0804495461691,74.5158056013207,14.5876599274317
20,13139.5512826801,30716.8073765633,115.058375551135,251.08920623504,317.20484651637,990,65.4260449600697,78.4703999872833,15.3776357643684
20.1,13161.4317733458,30735.9043159986,115.52581882584,263.821087387163,332.813970975693,1039.5,68.7797351600558,82.4287476898588,16.1207244862552
20.2,13183.4242789618,30755.0983413542,115.739891803081,276.654044670174,348.543446333107,1089,72.141761307868,86.3910856027594,16.8957564766084
20.3,13205.423757334,30774.3103370097,115.913304184916,289.509098808998,364.288294140503,1138.5,75.5121871494994,90.3575500717555,17.6739797565734
20.4,13227.4090729471,30793.5211546105,116.08898418116,302.366980435399,380.027320512831,1188,78.8909543150538,94.3280200827769,18.4529293696216
20.5,13249.3825788058,30812.7416810898,116.254420475014,315.238395461521,395.762799716424,1237.5,82.2779840663304,98.3023146151122,19.2321364540739
20.6,13271.3410528507,30831.978184864,116.405030867367,328.129484755916,411.491423710599,1287,85.6731904219994,102.280306121165,20.0133503811729
20.7,13293.258594052,30851.2208096663,116.57608648039,341.030286864277,427.187193829381,1336.5,89.0764757459156,106.261889412861,20.7972601490295
20.8,13315.1185246729,30870.4481401026,116.806661952376,353.919251916472,442.833305043369,1386,92.4877127452761,110.246930014238,21.5831460188845
20.9,13336.9024994095,30889.6605302195,117.116007599,366.796542602396,458.411257339328,1435.5,95.906746711006,114.235236568922,22.3700949983995
21,13358.5994509523,30908.8531155664,117.519895336469,379.657109538375,473.909805212256,1485,99.3333994475828,118.226624143621,23.1586300600474
21.1,13380.2030468112,30928.0336241182,118.016578251298,392.508502888151,489.322418303382,1534.5,102.767473086168,122.220914927077,23.9494783123387
21.2,13401.7367719164,30947.2061394609,118.577550004106,405.354661507506,504.672370996172,1584,106.208757080183,126.217964189389,24.7439328554084
21.3,13423.2130753068,30966.3797339304,119.179961031785,418.204533724066,519.971909162314,1633.5,109.657048262259,130.217647921905,25.5436490530518
21.4,13444.7324211961,30985.6270282282,119.695597126463,431.131462132988,535.322110687433,1683,113.11296030244,134.220688018939,26.3024206410592
21.5,13466.3676612617,31004.976711226,119.953550956096,444.164700818215,550.79641430249,1732.5,116.577080258281,138.227649691638,27.0884621191657
21.6,13488.0242439613,31024.3582954284,120.143923625034,457.233920006707,566.300317382159,1782,120.049457044753,142.238690663386,27.8765047900895
21.7,13509.6710493291,31043.7411116507,120.328888420392,470.308382524438,581.80267035691,1831.5,123.530061057997,146.253742944546,28.6662621102738
21.8,13531.3059661826,31063.1312277819,120.506243961691,483.393993702034,597.301299649862,1881,127.018829903906,150.272643976452,29.4562037064498
21.9,13552.9274945466,31082.5371762729,120.667959769707,496.499146062795,612.794626622849,1930.5,130.515684919279,154.29525383196,30.2475461727087
22,13574.5254234428,31101.9622981792,120.819924280585,509.627077263349,628.272347025124,1980,134.020532831749,158.321469111674,31.0414676670251
22.1,13596.0658964949,31121.372164366,121.03026365676,522.743263229898,643.700493609211,2029.5,137.533262770074,162.351194877147,31.838333348237
22.2,13617.5413783785,31140.7735990716,121.302242103325,535.854334061494,659.071382925048,2079,141.053726608663,166.38423698874,32.6359323622616
22.3,13638.9320804592,31160.1527624311,121.668708725515,548.946278350901,674.365055643206,2128.5,144.581753652552,170.420423904129,33.4353863405297
22.4,13660.2257118204,31179.5157346871,122.136403397402,562.024981964131,689.569027725438,2178,148.117150779957,174.459561246932,34.2365535812055
22.5,13681.4427044249,31198.8731463947,122.673468085894,575.100915406878,704.703516063118,2227.5,151.659702919457,178.501488967849,35.0406047203089
22.6,13702.604032986,31218.2255913746,123.256746009084,588.174550283026,719.789289983937,2277,155.209204685573,182.546084849741,35.849455608175
22.7,13723.7744333185,31237.6267688697,123.807477483473,601.299885274725,734.891286686847,2326.5,158.765857462405,186.593648331847,36.6229300472021
