time_s,H_q235_j,H_qt_j,H_weld_j,source_q235_j,source_qt_j,source_weld_j,loss_q235_j,loss_qt_j,loss_weld_j,birth_q235_j,birth_qt_j,birth_weld_j,weld_to_qt_j,weld_to_q235_j,mix_q235_j,mix_qt_j,mix_weld_j
18,12695.2713529946,30337.7204506012,107.699311904342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1,12717.8318428457,30356.5845434392,107.927369302685,9.62505640688842,10.3234059860677,29.5515376070438,3.1958866565404,3.89169986811804,0.759773387941922,0,0,0,12.4323867200526,16.1313201007073,0,0,0
18.2,12740.3189023001,30375.4342905584,108.230268070419,9.62505640677576,10.3234059859642,29.5515376072601,3.20394939564233,3.89504214401762,0.761303119004489,0,0,0,12.4213832772361,16.0659524432862,0,0,0
18.3,12762.7290999085,30394.2706844537,108.611074814344,9.62505640668757,10.3234059858831,29.5515376074293,3.21184369034574,3.89819940341706,0.762558658549258,0,0,0,12.4111873128564,15.9969848920996,0,0,0
18.4,12785.0513827363,30413.0930901297,109.08035850156,9.62505640661864,10.3234059858198,29.5515376075616,3.21955868098977,3.90119394079677,0.765275187151928,0,0,0,12.4001936311062,15.916785102088,0,0,0
18.5,12807.2883363859,30431.8989152233,109.637865752327,9.62505640656484,10.3234059857703,29.5515376076648,3.22707294636674,3.90403939069596,0.768601669089777,0,0,0,12.3864584983954,15.8389701894136,0,0,0
18.6,12829.4564044667,30450.7079115609,110.246895991003,9.62505640652289,10.3234059857317,29.5515376077453,3.23438138175091,3.90673758724728,0.772786373860639,0,0,0,12.3923279391311,15.7773930560785,0,0,0
18.7,12851.6277484295,30469.5604482985,110.833379993719,9.62505640649023,10.3234059857017,29.551537607808,3.24187520612141,3.90972877978139,0.73803131110874,0,0,0,12.4388595315929,15.7881627623917,0,0,0
18.8,12873.9006210676,30488.5132145673,111.177187420587,9.62505640646486,10.3234059856784,29.5515376078567,3.250233601862,3.91359572293857,0.766724341152266,0,0,0,12.5429560063286,15.8980498335095,0,0,0
18.9,12896.2266482086,30507.5306131858,111.396910662524,9.62505640644513,10.3234059856603,29.5515376078945,3.25868369666099,3.91764478601506,0.760522516012945,0,0,0,12.6116374187368,15.9596544312092,0,0,0
19,12918.5597377255,30526.5641570967,111.57587184715,9.62505640642987,10.3234059856463,29.5515376079239,3.26712859077485,3.92172687106482,0.765549925747758,0,0,0,12.6318647963017,15.975161701249,0,0,0
19.1,12940.8821485762,30545.6010512376,111.748748428963,9.62505640641804,10.3234059856354,29.5515376079466,3.27553474792296,3.92568932552655,0.76659435325121,0,0,0,12.6391774807861,15.972889192097,0,0,0
19.2,12963.1927563777,30564.6481224456,111.910039591949,9.62505640640888,10.323405985627,29.5515376079641,3.28387096032632,3.92949203117039,0.767666835847916,0,0,0,12.6531572536348,15.9694223554962,0,0,0
19.3,12985.4815993591,30583.7092208157,112.064905813555,9.62505640640181,10.3234059856205,29.5515376079777,3.29212508280636,3.93317266964666,0.769894674576937,0,0,0,12.6708650540368,15.9559116577579,0,0,0
19.4,13007.7179935563,30602.7597125066,112.268439544863,9.62505640639636,10.3234059856155,29.5515376079882,3.30027416679883,3.93674252132793,0.772563692305695,0,0,0,12.6638282266382,15.9116119577369,0,0,0
19.5,13029.89242071,30621.7999713493,112.531713693636,9.62505640639217,10.3234059856116,29.5515376079962,3.30828449788978,3.94013406398085,0.773621292970961,0,0,0,12.656986921082,15.8576552451707,0,0,0
19.6,13051.9859807214,30640.8231854604,112.880204481022,9.62505640638895,10.3234059856087,29.5515376080024,3.31613475437224,3.94334972442148,0.77525061135278,0,0,0,12.6431578499128,15.7846383593513,0,0,0
