s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,-35.027027027027025,-35.60576923076923,-11.6,QT450-10,170.15354684100393,,,,False
0,0,1,-35.027027027027025,-35.60576923076923,-10.8,QT450-10,170.22197647451048,,,,False
0,0,2,-35.027027027027025,-35.60576923076923,-10.0,QT450-10,170.2855209979308,,,,False
0,0,3,-35.027027027027025,-35.60576923076923,-9.2,QT450-10,170.3441810610597,,,,False
0,0,4,-35.027027027027025,-35.60576923076923,-8.4,QT450-10,170.39795639918418,,,,False
0,0,5,-35.027027027027025,-35.60576923076923,-7.6,QT450-10,170.44684641164613,,,,False
0,0,6,-35.027027027027025,-35.60576923076923,-6.8,QT450-10,170.49085036439607,,,,False
0,0,7,-35.027027027027025,-35.60576923076923,-6.0,QT450-10,170.52996747739132,,,,False
0,0,8,-35.027027027027025,-35.60576923076923,-5.199999999999999,QT450-10,170.5641969726041,,,,False
0,0,9,-35.027027027027025,-35.60576923076923,-4.3999999999999995,QT450-10,170.59353810663652,,,,False
0,0,10,-35.027027027027025,-35.60576923076923,-3.5999999999999996,QT450-10,170.61799019611453,,,,False
0,0,11,-35.027027027027025,-35.60576923076923,-2.799999999999999,QT450-10,170.63755263872304,,,,False
0,0,12,-35.027027027027025,-35.60576923076923,-2.0,QT450-10,170.65222493080583,,,,False
0,0,13,-35.027027027027025,-35.60576923076923,-1.1999999999999993,QT450-10,170.66200668170947,,,,False
0,0,14,-35.027027027027025,-35.60576923076923,-0.3999999999999986,QT450-10,170.66689762477006,,,,False
0,0,15,-35.027027027027025,-35.60576923076923,0.40000000000000036,QT450-10,170.66689762477006,,,,False
0,0,16,-35.027027027027025,-35.60576923076923,1.200000000000001,QT450-10,170.66200668170947,,,,False
0,0,17,-35.027027027027025,-35.60576923076923,2.0,QT450-10,170.65222493080583,,,,False
0,0,18,-35.027027027027025,-35.60576923076923,2.8000000000000007,QT450-10,170.63755263872304,,,,False
0,0,19,-35.027027027027025,-35.60576923076923,3.6000000000000014,QT450-10,170.61799019611453,,,,False
0,0,20,-35.027027027027025,-35.60576923076923,4.400000000000002,QT450-10,170.59353810663652,,,,False
0,0,21,-35.027027027027025,-35.60576923076923,5.199999999999999,QT450-10,170.5641969726041,,,,False
0,0,22,-35.027027027027025,-35.60576923076923,6.0,QT450-10,170.52996747739132,,,,False
0,0,23,-35.027027027027025,-35.60576923076923,6.800000000000001,QT450-10,170.49085036439607,,,,False
0,0,24,-35.027027027027025,-35.60576923076923,7.600000000000001,QT450-10,170.44684641164613,,,,False
