s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,0.0,-36.0,-12.0,QT450-10,167.26213069856678,,,,False
0,0,1,0.0,-36.0,-10.0,QT450-10,167.42975971324506,,,,False
0,0,2,0.0,-36.0,-8.0,QT450-10,167.63370514511033,,,,False
0,0,3,0.0,-36.0,-6.0,QT450-10,167.81967450248763,,,,False
0,0,4,0.0,-36.0,-4.0,QT450-10,167.96328205140983,,,,False
0,0,5,0.0,-36.0,-2.0,QT450-10,168.0529470711445,,,,False
0,0,6,0.0,-36.0,0.0,QT450-10,168.0833531350286,,,,False
0,0,7,0.0,-36.0,2.0,QT450-10,168.0529470711445,,,,False
0,0,8,0.0,-36.0,4.0,QT450-10,167.96328205140983,,,,False
0,0,9,0.0,-36.0,6.0,QT450-10,167.81967450248763,,,,False
0,0,10,0.0,-36.0,8.0,QT450-10,167.63370514511033,,,,False
0,0,11,0.0,-36.0,10.0,QT450-10,167.42975971324506,,,,False
0,0,12,0.0,-36.0,12.0,QT450-10,167.26213069856678,,,,False
0,1,0,0.0,-33.4375,-12.0,QT450-10,167.94093669288978,,,,False
0,1,1,0.0,-33.4375,-10.0,QT450-10,168.32542434705607,,,,False
0,1,2,0.0,-33.4375,-8.0,QT450-10,168.62006847256055,,,,False
0,1,3,0.0,-33.4375,-6.0,QT450-10,168.8475025927151,,,,False
0,1,4,0.0,-33.4375,-4.0,QT450-10,169.01122790653162,,,,False
0,1,5,0.0,-33.4375,-2.0,QT450-10,169.11031159814613,,,,False
0,1,6,0.0,-33.4375,0.0,QT450-10,169.14350177597214,,,,False
0,1,7,0.0,-33.4375,2.0,QT450-10,169.11031159814613,,,,False
0,1,8,0.0,-33.4375,4.0,QT450-10,169.01122790653162,,,,False
0,1,9,0.0,-33.4375,6.0,QT450-10,168.8475025927151,,,,False
0,1,10,0.0,-33.4375,8.0,QT450-10,168.62006847256055,,,,False
0,1,11,0.0,-33.4375,10.0,QT450-10,168.32542434705607,,,,False
0,1,12,0.0,-33.4375,12.0,QT450-10,167.94093669288978,,,,False
0,2,0,0.0,-30.875,-12.0,QT450-10,168.96302013733447,,,,False
0,2,1,0.0,-30.875,-10.0,QT450-10,169.4115268838487,,,,False
0,2,2,0.0,-30.875,-8.0,QT450-10,169.75979256036413,,,,False
0,2,3,0.0,-30.875,-6.0,QT450-10,170.0230070899755,,,,False
0,2,4,0.0,-30.875,-4.0,QT450-10,170.20842821039764,,,,False
0,2,5,0.0,-30.875,-2.0,QT450-10,170.31901436331,,,,False
0,2,6,0.0,-30.875,0.0,QT450-10,170.35579752296977,,,,False
0,2,7,0.0,-30.875,2.0,QT450-10,170.31901436331,,,,False
0,2,8,0.0,-30.875,4.0,QT450-10,170.20842821039764,,,,False
0,2,9,0.0,-30.875,6.0,QT450-10,170.0230070899755,,,,False
0,2,10,0.0,-30.875,8.0,QT450-10,169.75979256036413,,,,False
0,2,11,0.0,-30.875,10.0,QT450-10,169.4115268838487,,,,False
0,2,12,0.0,-30.875,12.0,QT450-10,168.96302013733447,,,,False
0,3,0,0.0,-28.3125,-12.0,QT450-10,170.26529195099116,,,,False
0,3,1,0.0,-28.3125,-10.0,QT450-10,170.73951803085117,,,,False
0,3,2,0.0,-28.3125,-8.0,QT450-10,171.1166475736193,,,,False
0,3,3,0.0,-28.3125,-6.0,QT450-10,171.40386956924743,,,,False
0,3,4,0.0,-28.3125,-4.0,QT450-10,171.60623365810082,,,,False
0,3,5,0.0,-28.3125,-2.0,QT450-10,171.72669176480352,,,,False
0,3,6,0.0,-28.3125,0.0,QT450-10,171.76670081554224,,,,False
0,3,7,0.0,-28.3125,2.0,QT450-10,171.72669176480352,,,,False
0,3,8,0.0,-28.3125,4.0,QT450-10,171.60623365810082,,,,False
0,3,9,0.0,-28.3125,6.0,QT450-10,171.40386956924743,,,,False
0,3,10,0.0,-28.3125,8.0,QT450-10,171.1166475736193,,,,False
0,3,11,0.0,-28.3125,10.0,QT450-10,170.73951803085117,,,,False
0,3,12,0.0,-28.3125,12.0,QT450-10,170.26529195099116,,,,False
0,4,0,0.0,-25.75,-12.0,QT450-10,171.8777436715985,,,,False
0,4,1,0.0,-25.75,-10.0,QT450-10,172.3667871647972,,,,False
0,4,2,0.0,-25.75,-8.0,QT450-10,172.76135612939188,,,,False
0,4,3,0.0,-25.75,-6.0,QT450-10,173.0645914558056,,,,False
0,4,4,0.0,-25.75,-4.0,QT450-10,173.27926723817902,,,,False
0,4,5,0.0,-25.75,-2.0,QT450-10,173.40733646414128,,,,False
0,4,6,0.0,-25.75,0.0,QT450-10,173.44990797607838,,,,False
0,4,7,0.0,-25.75,2.0,QT450-10,173.40733646414128,,,,False
0,4,8,0.0,-25.75,4.0,QT450-10,173.27926723817902,,,,False
0,4,9,0.0,-25.75,6.0,QT450-10,173.0645914558056,,,,False
0,4,10,0.0,-25.75,8.0,QT450-10,172.76135612939188,,,,False
0,4,11,0.0,-25.75,10.0,QT450-10,172.3667871647972,,,,False
0,4,12,0.0,-25.75,12.0,QT450-10,171.8777436715985,,,,False
0,5,0,0.0,-23.1875,-12.0,QT450-10,173.89743290960496,,,,False
0,5,1,0.0,-23.1875,-10.0,QT450-10,174.3985480694803,,,,False
0,5,2,0.0,-23.1875,-8.0,QT450-10,174.80616752168334,,,,False
0,5,3,0.0,-23.1875,-6.0,QT450-10,175.12147306414315,,,,False
0,5,4,0.0,-23.1875,-4.0,QT450-10,175.3457022704408,,,,False
0,5,5,0.0,-23.1875,-2.0,QT450-10,175.47983676793788,,,,False
0,5,6,0.0,-23.1875,0.0,QT450-10,175.52448104375046,,,,False
0,5,7,0.0,-23.1875,2.0,QT450-10,175.47983676793788,,,,False
0,5,8,0.0,-23.1875,4.0,QT450-10,175.3457022704408,,,,False
0,5,9,0.0,-23.1875,6.0,QT450-10,175.12147306414315,,,,False
0,5,10,0.0,-23.1875,8.0,QT450-10,174.80616752168334,,,,False
0,5,11,0.0,-23.1875,10.0,QT450-10,174.3985480694803,,,,False
0,5,12,0.0,-23.1875,12.0,QT450-10,173.89743290960496,,,,False
0,6,0,0.0,-20.625,-12.0,QT450-10,176.508354052326,,,,False
0,6,1,0.0,-20.625,-10.0,QT450-10,177.02237561401896,,,,False
0,6,2,0.0,-20.625,-8.0,QT450-10,177.44271515100863,,,,False
0,6,3,0.0,-20.625,-6.0,QT450-10,177.76942293182574,,,,False
0,6,4,0.0,-20.625,-4.0,QT450-10,178.00263903637358,,,,False
0,6,5,0.0,-20.625,-2.0,QT450-10,178.14250555773688,,,,False
0,6,6,0.0,-20.625,0.0,QT450-10,178.18911701013948,,,,False
0,6,7,0.0,-20.625,2.0,QT450-10,178.14250555773688,,,,False
0,6,8,0.0,-20.625,4.0,QT450-10,178.00263903637358,,,,False
0,6,9,0.0,-20.625,6.0,QT450-10,177.76942293182574,,,,False
0,6,10,0.0,-20.625,8.0,QT450-10,177.44271515100863,,,,False
0,6,11,0.0,-20.625,10.0,QT450-10,177.02237561401896,,,,False
0,6,12,0.0,-20.625,12.0,QT450-10,176.508354052326,,,,False
0,7,0,0.0,-18.0625,-12.0,QT450-10,179.99821266369946,,,,False
0,7,1,0.0,-18.0625,-10.0,QT450-10,180.52939958366596,,,,False
0,7,2,0.0,-18.0625,-8.0,QT450-10,180.96664586752664,,,,False
0,7,3,0.0,-18.0625,-6.0,QT450-10,181.30868067641393,,,,False
0,7,4,0.0,-18.0625,-4.0,QT450-10,181.55418538951727,,,,False
0,7,5,0.0,-18.0625,-2.0,QT450-10,181.70201350383897,,,,False
0,7,6,0.0,-18.0625,0.0,QT450-10,181.75138057907944,,,,False
0,7,7,0.0,-18.0625,2.0,QT450-10,181.70201350383897,,,,False
0,7,8,0.0,-18.0625,4.0,QT450-10,181.55418538951727,,,,False
0,7,9,0.0,-18.0625,6.0,QT450-10,181.30868067641393,,,,False
0,7,10,0.0,-18.0625,8.0,QT450-10,180.96664586752664,,,,False
0,7,11,0.0,-18.0625,10.0,QT450-10,180.52939958366596,,,,False
0,7,12,0.0,-18.0625,12.0,QT450-10,179.99821266369946,,,,False
0,8,0,0.0,-15.5,-12.0,QT450-10,184.65066981011338,,,,False
0,8,1,0.0,-15.5,-10.0,QT450-10,185.21103105985233,,,,False
0,8,2,0.0,-15.5,-8.0,QT450-10,185.68208912572072,,,,False
0,8,3,0.0,-15.5,-6.0,QT450-10,186.05872001880593,,,,False
0,8,4,0.0,-15.5,-4.0,QT450-10,186.33462600007616,,,,False
0,8,5,0.0,-15.5,-2.0,QT450-10,186.5034624320526,,,,False
0,8,6,0.0,-15.5,0.0,QT450-10,186.56036211672273,,,,False
0,8,7,0.0,-15.5,2.0,QT450-10,186.5034624320526,,,,False
0,8,8,0.0,-15.5,4.0,QT450-10,186.33462600007616,,,,False
