time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.0025,150.0,150.0,150.0,150.0,149.99791749337783
0.5,149.99996481234362,149.9997962204777,149.99327484669865,149.92465822907747,149.8589314714916
1.0,149.99803197031446,149.99574080357934,149.96835448324126,149.8543813855146,149.78132232218297
1.5,149.98970392647797,149.98355361064606,149.93506806691556,149.79183745663795,149.7147401646207
2.0,149.97359729771034,149.96304524986473,149.8965767333516,149.73220762172718,149.65232252890678
2.5,149.95089242645122,149.93586826751732,149.8543424506277,149.67436849908893,149.5925364390061
3.0,149.9237510367523,149.90434788039974,149.81020708617243,149.61939132056293,149.5363978083825
3.5,149.89494483319777,149.87134425356834,149.76679870167305,149.57007084022848,149.4867970670903
4.0,149.86792742757007,149.84042304362941,149.72775403155416,149.53077751460089,149.4482812659046
4.500000000000001,149.8469582983472,149.8160271235505,149.69785905978944,149.50737628680588,149.42693672145174
5.000000000000001,149.83719873410445,149.80359410013483,149.68313396829205,149.5072103020022,149.43035850097954
5.500000000000001,149.84475555670963,149.80961782549593,149.69088102234022,149.53907024249764,149.46760672859568
6.000000000000001,149.87673573955854,149.84171340098644,149.72974351735553,149.61330038308,149.54932886772764
6.500000000000001,149.94129550199233,149.90869292121977,149.8098225615391,149.74188498411854,149.68783085158066
7.000000000000001,150.0477256903231,150.02068189847495,149.94281230390783,149.93868052163026,149.89734322400818
7.500000000000001,150.20663776553022,150.18935192518887,150.14233651356227,150.21980802766328,150.19440105726252
8.0,150.43004202043846,150.42809001647714,150.42419857777563,150.60380624368426,150.59799105179803
8.5,150.73187129071806,150.75260485357995,150.8071210205182,151.11279312721138,151.1307895938123
9.0,151.12792105855124,151.18105194895642,151.3131838941702,151.77212694227313,151.81861243273372
9.5,151.63691471190089,151.73537043226727,151.96929543634496,152.61292696670603,152.6932415725068
10.0,152.28045152474044,152.4414018026282,152.8080780293385,153.6713144518224,153.79110514666965
10.5,153.08398611710754,153.33085700140282,153.87056721691795,154.99140974360353,155.15654893358226
11.0,154.07877221373707,154.4432632970645,155.20886405649455,156.6277974399037,156.8440426629707
11.5,155.29914357719684,155.82521897573127,156.88985733126452,158.64231789626564,158.9134615718113
12.0,156.7924810449657,157.5430191625565,159.00808999930055,161.12263095456453,161.45004470701662
12.5,158.60504452827706,159.66519649963539,161.6789071331102,164.15436718022778,164.53243321110432
13.0,160.80605617186825,162.30841848268076,165.10706238067547,167.8789639213427,168.28742402283405
13.5,163.46512778048717,165.58044922279123,169.4936983595693,172.42395884656844,172.83114525484314
14.0,166.665907750062,169.66852842503985,175.3290259463766,177.9918657729961,178.3155484735699
14.5,170.53204848600143,174.7996467863535,183.02455765709462,184.8285228779755,184.95186493890859
15.0,175.12295126263712,181.1637836918618,193.5341472653501,193.12168491528422,192.84201675296782
15.5,180.6419162294756,189.31802565233923,208.40268932826478,203.41899048287996,202.35492537218903
16.0,187.10171694390385,199.1540578414375,227.28543114088234,215.62358639004367,213.48059527579798
16.5,194.72587611104836,211.68111898112116,254.93927437769312,230.67668726705972,226.6716250260808
17.0,203.51414684799693,226.63039620183068,287.85952172126576,248.3371161211879,241.8855014784013
17.5,213.5491731387894,244.67125145185813,332.6008569539216,269.2100910879964,259.31299427713896
18.0,224.79498576228445,265.7391948442312,388.01783595718985,293.21574090747185,278.8865044433748
18.5,237.06613808524088,289.61302767193206,447.2926918575028,320.14171337181983,300.30773151260775
19.0,250.53229317653665,315.6910202069636,513.3562486321086,349.54026246806416,323.86081446777166
19.5,263.7512079211364,343.7834266304303,618.3937170531367,380.56775914821503,347.02476520239907
20.0,278.55239945887365,376.61957026787,704.3483047066388,416.3977467167052,373.15082902761526
20.5,291.6982078631688,399.91108903575036,752.9153317698785,444.09824272806725,396.24780634148385
21.0,303.54103422221334,424.0910880923353,831.7878806348928,471.79625159418765,417.1490343578545
21.5,314.4745800388122,441.8074946147889,858.9880538751856,493.8881526657092,436.341546307784
22.0,322.8825764392956,451.27315368551757,849.1519506902614,507.99558343201073,450.90002050738406
22.5,328.3445967973055,450.79915953533737,813.6692991819859,512.1357556882379,460.0602244488995
23.0,332.3322166097039,450.4449687681905,790.7765780567121,514.9859272936146,466.2297757534227
23.5,334.5656732673292,443.5418851351768,731.6885063920618,511.23044702746904,469.0299172144971
24.000000000000004,333.9656973779605,432.18048469549444,684.5716466409929,501.7573140457812,466.42072686486256
24.500000000000004,332.8143626729865,422.5614065090365,645.3477221038822,492.76407666847723,462.42340142207115
25.000000000000004,330.4547820859881,408.67464202343183,586.6598027252037,479.4236639926138,456.14408285923565
25.500000000000004,326.7895560638506,395.509782043668,546.5821689165224,465.554536137076,447.2856835247337
26.000000000000004,323.18462890270496,383.70971062143605,507.8196450042195,452.475003689859,438.3833508910514
26.500000000000004,318.9590926098352,371.1150346406564,473.3970601206445,438.34081458485525,428.40453573292507
27.000000000000004,314.57844315773923,360.21745927945767,446.861876902347,425.307149694993,418.11978701580597
27.500000000000004,310.44850989086547,350.3099955655805,422.0507488970396,413.11291559628,408.32754395973325
28.000000000000004,306.2635109234286,341.1719918605794,402.5334325078809,401.5357502158016,398.5526746129273
28.500000000000004,302.30738214608914,333.2720606595998,386.530147644644,391.03822594435644,389.2760805433703
29.000000000000004,298.61990501587263,326.14925618146935,372.6737682273762,381.34059804576344,380.59054907079894
29.500000000000004,295.11901017552145,319.841176616126,361.4110108845894,372.45890413564086,372.3684040027249
30.000000000000004,291.8847184355759,314.29159708263563,351.7920050426609,364.37771220397474,364.7399569587702
30.500000000000004,288.8868849833135,309.32269588026224,343.561432181452,356.9682234836377,357.65140876131954
31.000000000000004,286.0979407058363,304.88581057138646,336.47566649498094,350.18233166317646,351.05859273103084
31.500000000000004,283.52011233354193,300.9028022551429,330.2222340504431,343.96026221395465,344.95856923077906
32.0,281.12622380380975,297.29708340803876,324.69013441961533,338.2336252338565,339.2988733825558
32.5,278.8970373042408,294.01870250779405,319.7343081906291,332.95001634651993,334.04170615213275
33.0,276.81928556356445,291.0195319831312,315.24822415397625,328.0626163629515,329.15721376108985
33.5,274.87469124800464,288.2589813602391,311.1587536713517,323.5274092623067,324.60730835381287
34.0,273.0485354081171,285.7048755241576,307.4035104149112,319.3064821520394,320.3603418239669
34.5,271.3285336997935,283.32957214205317,303.93392393558787,315.36734883269156,316.38861498659526
35.0,269.7026212623125,281.1098301068394,300.71150472088755,311.6805824672366,312.665064387455
35.5,268.16054340447135,279.02639356063787,297.7043721466596,308.2205345935015,309.16610112467026
36.0,266.6935208332278,277.0629704433164,294.8863697160253,304.9650170883249,305.8709256784606
36.5,265.29363694996255,275.20571926523724,292.2357627121363,301.8942051445908,302.7605092675316
37.0,263.95404192676983,273.44290995532606,289.73413147628963,298.9906651381805,299.8180202192149
37.5,262.6688223298564,271.7645332238624,287.365852557796,296.23911777572334,297.02856060475625
38.0,261.43277451083657,270.16199812181054,285.1175753728671,293.62597116611914,294.378749248145
38.5,260.24137215214137,268.6279160227588,282.977766995592,291.1391988547814,291.856694079438
39.0,259.09068745795605,267.1559124515504,280.9364473628987,288.76816924498166,289.4518293255061
39.5,257.9772819565717,265.74046085401795,278.98493290295676,286.50341184725085,287.15469784930906
40.0,256.8981505092992,264.3767521202577,277.11561709345256,284.3364939252508,284.9568545957843
