s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,0.0,-36.0,-12.0,QT450-10,176.26876665653384,,,,False
0,0,1,0.0,-36.0,-10.0,QT450-10,176.38328637033777,,,,False
0,0,2,0.0,-36.0,-8.0,QT450-10,176.52259725560384,,,,False
0,0,3,0.0,-36.0,-6.0,QT450-10,176.6496125607575,,,,False
0,0,4,0.0,-36.0,-4.0,QT450-10,176.7476845800846,,,,False
0,0,5,0.0,-36.0,-2.0,QT450-10,176.80891365545372,,,,False
0,0,6,0.0,-36.0,0.0,QT450-10,176.82967606238148,,,,False
0,0,7,0.0,-36.0,2.0,QT450-10,176.80891365545372,,,,False
0,0,8,0.0,-36.0,4.0,QT450-10,176.7476845800846,,,,False
0,0,9,0.0,-36.0,6.0,QT450-10,176.6496125607575,,,,False
0,0,10,0.0,-36.0,8.0,QT450-10,176.52259725560384,,,,False
0,0,11,0.0,-36.0,10.0,QT450-10,176.38328637033777,,,,False
0,0,12,0.0,-36.0,12.0,QT450-10,176.26876665653384,,,,False
0,1,0,0.0,-33.4375,-12.0,QT450-10,176.7292210075315,,,,False
0,1,1,0.0,-33.4375,-10.0,QT450-10,176.99165457629152,,,,False
0,1,2,0.0,-33.4375,-8.0,QT450-10,177.19259377770274,,,,False
0,1,3,0.0,-33.4375,-6.0,QT450-10,177.34761860414932,,,,False
0,1,4,0.0,-33.4375,-4.0,QT450-10,177.4591844436077,,,,False
0,1,5,0.0,-33.4375,-2.0,QT450-10,177.52669053963479,,,,False
0,1,6,0.0,-33.4375,0.0,QT450-10,177.5493013422833,,,,False
0,1,7,0.0,-33.4375,2.0,QT450-10,177.52669053963479,,,,False
0,1,8,0.0,-33.4375,4.0,QT450-10,177.4591844436077,,,,False
0,1,9,0.0,-33.4375,6.0,QT450-10,177.34761860414932,,,,False
0,1,10,0.0,-33.4375,8.0,QT450-10,177.19259377770274,,,,False
0,1,11,0.0,-33.4375,10.0,QT450-10,176.99165457629152,,,,False
0,1,12,0.0,-33.4375,12.0,QT450-10,176.7292210075315,,,,False
0,2,0,0.0,-30.875,-12.0,QT450-10,177.41982303977795,,,,False
0,2,1,0.0,-30.875,-10.0,QT450-10,177.72529145890036,,,,False
0,2,2,0.0,-30.875,-8.0,QT450-10,177.9622936199146,,,,False
0,2,3,0.0,-30.875,-6.0,QT450-10,178.1413071284573,,,,False
0,2,4,0.0,-30.875,-4.0,QT450-10,178.2673602561096,,,,False
0,2,5,0.0,-30.875,-2.0,QT450-10,178.34251968727565,,,,False
0,2,6,0.0,-30.875,0.0,QT450-10,178.36751615894434,,,,False
0,2,7,0.0,-30.875,2.0,QT450-10,178.34251968727565,,,,False
0,2,8,0.0,-30.875,4.0,QT450-10,178.2673602561096,,,,False
0,2,9,0.0,-30.875,6.0,QT450-10,178.1413071284573,,,,False
0,2,10,0.0,-30.875,8.0,QT450-10,177.9622936199146,,,,False
0,2,11,0.0,-30.875,10.0,QT450-10,177.72529145890036,,,,False
0,2,12,0.0,-30.875,12.0,QT450-10,177.41982303977795,,,,False
0,3,0,0.0,-28.3125,-12.0,QT450-10,178.29626078837438,,,,False
0,3,1,0.0,-28.3125,-10.0,QT450-10,178.61830021077625,,,,False
0,3,2,0.0,-28.3125,-8.0,QT450-10,178.87421750061984,,,,False
0,3,3,0.0,-28.3125,-6.0,QT450-10,179.06900784057066,,,,False
0,3,4,0.0,-28.3125,-4.0,QT450-10,179.2061876133398,,,,False
0,3,5,0.0,-28.3125,-2.0,QT450-10,179.2878207404352,,,,False
0,3,6,0.0,-28.3125,0.0,QT450-10,179.31493054566135,,,,False
0,3,7,0.0,-28.3125,2.0,QT450-10,179.2878207404352,,,,False
0,3,8,0.0,-28.3125,4.0,QT450-10,179.2061876133398,,,,False
0,3,9,0.0,-28.3125,6.0,QT450-10,179.06900784057066,,,,False
0,3,10,0.0,-28.3125,8.0,QT450-10,178.87421750061984,,,,False
0,3,11,0.0,-28.3125,10.0,QT450-10,178.61830021077625,,,,False
0,3,12,0.0,-28.3125,12.0,QT450-10,178.29626078837438,,,,False
0,4,0,0.0,-25.75,-12.0,QT450-10,179.3778766580118,,,,False
0,4,1,0.0,-25.75,-10.0,QT450-10,179.7087441767931,,,,False
0,4,2,0.0,-25.75,-8.0,QT450-10,179.97551947147159,,,,False
0,4,3,0.0,-25.75,-6.0,QT450-10,180.1804266138264,,,,False
0,4,4,0.0,-25.75,-4.0,QT450-10,180.3254266922448,,,,False
0,4,5,0.0,-25.75,-2.0,QT450-10,180.41190340542016,,,,False
0,4,6,0.0,-25.75,0.0,QT450-10,180.4406447760615,,,,False
0,4,7,0.0,-25.75,2.0,QT450-10,180.41190340542016,,,,False
0,4,8,0.0,-25.75,4.0,QT450-10,180.3254266922448,,,,False
0,4,9,0.0,-25.75,6.0,QT450-10,180.1804266138264,,,,False
0,4,10,0.0,-25.75,8.0,QT450-10,179.97551947147159,,,,False
0,4,11,0.0,-25.75,10.0,QT450-10,179.7087441767931,,,,False
0,4,12,0.0,-25.75,12.0,QT450-10,179.3778766580118,,,,False
0,5,0,0.0,-23.1875,-12.0,QT450-10,180.73208920461488,,,,False
0,5,1,0.0,-23.1875,-10.0,QT450-10,181.06953623339825,,,,False
0,5,2,0.0,-23.1875,-8.0,QT450-10,181.34384241375255,,,,False
0,5,3,0.0,-23.1875,-6.0,QT450-10,181.55590094593262,,,,False
0,5,4,0.0,-23.1875,-4.0,QT450-10,181.70663406430577,,,,False
0,5,5,0.0,-23.1875,-2.0,QT450-10,181.7967728205847,,,,False
0,5,6,0.0,-23.1875,0.0,QT450-10,181.82676873521152,,,,False
0,5,7,0.0,-23.1875,2.0,QT450-10,181.7967728205847,,,,False
0,5,8,0.0,-23.1875,4.0,QT450-10,181.70663406430577,,,,False
0,5,9,0.0,-23.1875,6.0,QT450-10,181.55590094593262,,,,False
0,5,10,0.0,-23.1875,8.0,QT450-10,181.34384241375255,,,,False
0,5,11,0.0,-23.1875,10.0,QT450-10,181.06953623339825,,,,False
0,5,12,0.0,-23.1875,12.0,QT450-10,180.73208920461488,,,,False
0,6,0,0.0,-20.625,-12.0,QT450-10,182.5006436810091,,,,False
0,6,1,0.0,-20.625,-10.0,QT450-10,182.84469410214163,,,,False
0,6,2,0.0,-20.625,-8.0,QT450-10,183.12576725220202,,,,False
0,6,3,0.0,-20.625,-6.0,QT450-10,183.3440282230833,,,,False
0,6,4,0.0,-20.625,-4.0,QT450-10,183.49971003625976,,,,False
0,6,5,0.0,-20.625,-2.0,QT450-10,183.59302463026248,,,,False
0,6,6,0.0,-20.625,0.0,QT450-10,183.62411319403603,,,,False
0,6,7,0.0,-20.625,2.0,QT450-10,183.59302463026248,,,,False
0,6,8,0.0,-20.625,4.0,QT450-10,183.49971003625976,,,,False
0,6,9,0.0,-20.625,6.0,QT450-10,183.3440282230833,,,,False
0,6,10,0.0,-20.625,8.0,QT450-10,183.12576725220202,,,,False
0,6,11,0.0,-20.625,10.0,QT450-10,182.84469410214163,,,,False
0,6,12,0.0,-20.625,12.0,QT450-10,182.5006436810091,,,,False
0,7,0,0.0,-18.0625,-12.0,QT450-10,184.9727215760279,,,,False
0,7,1,0.0,-18.0625,-10.0,QT450-10,185.32526786861013,,,,False
0,7,2,0.0,-18.0625,-8.0,QT450-10,185.61456001240464,,,,False
0,7,3,0.0,-18.0625,-6.0,QT450-10,185.84013849846068,,,,False
0,7,4,0.0,-18.0625,-4.0,QT450-10,186.0015903818593,,,,False
0,7,5,0.0,-18.0625,-2.0,QT450-10,186.09859554597784,,,,False
0,7,6,0.0,-18.0625,0.0,QT450-10,186.13095322219934,,,,False
0,7,7,0.0,-18.0625,2.0,QT450-10,186.09859554597784,,,,False
0,7,8,0.0,-18.0625,4.0,QT450-10,186.0015903818593,,,,False
0,7,9,0.0,-18.0625,6.0,QT450-10,185.84013849846068,,,,False
0,7,10,0.0,-18.0625,8.0,QT450-10,185.61456001240464,,,,False
0,7,11,0.0,-18.0625,10.0,QT450-10,185.32526786861013,,,,False
0,7,12,0.0,-18.0625,12.0,QT450-10,184.9727215760279,,,,False
0,8,0,0.0,-15.5,-12.0,QT450-10,188.631274213069,,,,False
0,8,1,0.0,-15.5,-10.0,QT450-10,188.99857348362616,,,,False
0,8,2,0.0,-15.5,-8.0,QT450-10,189.3037970044,,,,False
0,8,3,0.0,-15.5,-6.0,QT450-10,189.54479344387315,,,,False
0,8,4,0.0,-15.5,-4.0,QT450-10,189.7191946589635,,,,False
0,8,5,0.0,-15.5,-2.0,QT450-10,189.82485281355886,,,,False
0,8,6,0.0,-15.5,0.0,QT450-10,189.86025468531113,,,,False
0,8,7,0.0,-15.5,2.0,QT450-10,189.82485281355886,,,,False
0,8,8,0.0,-15.5,4.0,QT450-10,189.7191946589635,,,,False
0,8,9,0.0,-15.5,6.0,QT450-10,189.54479344387315,,,,False
0,8,10,0.0,-15.5,8.0,QT450-10,189.3037970044,,,,False
0,8,11,0.0,-15.5,10.0,QT450-10,188.99857348362616,,,,False
0,8,12,0.0,-15.5,12.0,QT450-10,188.631274213069,,,,False
0,9,0,0.0,-12.9375,-12.0,QT450-10,193.80811286861842,,,,False
0,9,1,0.0,-12.9375,-10.0,QT450-10,194.21317629408372,,,,False
0,9,2,0.0,-12.9375,-8.0,QT450-10,194.5723490724025,,,,False
0,9,3,0.0,-12.9375,-6.0,QT450-10,194.87656915856954,,,,False
0,9,4,0.0,-12.9375,-4.0,QT450-10,195.1127345540513,,,,False
