time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.01,150.0,150.0,150.0,150.0,149.9916699735113
0.5,149.99997450356756,149.999824949646,149.99342618455162,149.92451591624805,149.85867680595712
1.0,149.99813419261878,149.99586874259842,149.96846686446182,149.85426716501587,149.7811644060684
1.5,149.98988278338697,149.98374309456358,149.93518054475032,149.79176572075485,149.71463760758598
2.0,149.9737852049564,149.96323602906006,149.8966759931987,149.73210886413204,149.65218744381627
2.5,149.95098187652488,149.93596234411808,149.85433420052942,149.67402899813737,149.59212585289504
3.0,149.92350250223762,149.9041156896855,149.80982738653358,149.61828743477662,149.53512944630123
3.5,149.89384516983262,149.87027745154893,149.76545063975078,149.56714806416144,149.4835178701022
4.0,149.8650194199472,149.8375525954868,149.72430124611947,149.52420739411522,149.4410190101203
4.5,149.8406567219111,149.8097241614717,149.69040048662342,149.49430908343112,149.41265008118825
5.0,149.82510164318157,149.79136382472586,149.6687707553349,149.48352628865382,149.40468702727316
5.5,149.82345833415687,149.78789404537656,149.66548286817505,149.49913408585815,149.4246243057984
6.0,149.84164103896086,149.80564734805364,149.6877065460777,149.54969480514276,149.48127366249776
6.5,149.88642279580444,149.85193670445307,149.74381347606095,149.64513673282067,149.58483015808588
7.0,149.96550612580904,149.93515255669837,149.8434892817129,149.79694111325037,149.74708656071172
7.5,150.08768771480817,150.0649650717966,149.9980202667881,150.01848736663447,149.98177096786645
8.0,150.26291188158712,150.25245502214602,150.22049611698577,150.3251505147703,150.30463242887453
8.5,150.50271665770958,150.5106248221989,150.52641867790447,150.73530191054846,150.73451892134796
9.0,150.82017526502995,150.85449443541654,150.93407956260992,151.2699998040099,151.29287337540518
9.5,151.23074506550392,151.30216782185894,151.46569681401857,151.9550206474251,152.00604101319507
10.0,151.75229895148493,151.8750066336495,152.14826733496153,152.8204294535626,152.9043711122872
10.5,152.4058481602771,152.5991645577674,153.01565721779016,153.90277970268838,154.02463890753566
11.0,153.21733027286496,153.5074038220646,154.11107685670964,155.24777674924016,155.41254413676938
11.5,154.21496539230003,154.6379823153908,155.48951159829275,156.9062587232811,157.11729377298266
12.0,155.437883217669,156.0455431390639,157.22884015028598,158.95150075572982,159.21045098043314
12.5,156.9242253584306,157.7864927230263,159.4241257566162,161.45391952296427,161.75653113629198
13.0,158.73129197809385,159.95713332594332,162.24408856511053,164.53244755121085,164.86315748054025
13.5,160.91666237503222,162.64629388126502,165.85442078741352,168.29169638546506,168.62518154566618
14.0,163.54851244125643,166.00674907638125,170.65608412396793,172.90001381145956,173.17036421532907
14.5,166.72995029481103,170.22739822970726,176.99114405006324,178.56268216342806,178.6760449144765
