s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,0.0,-36.0,-12.0,QT450-10,169.18691633015018,,,,False
0,0,1,0.0,-36.0,-10.0,QT450-10,169.2946525644693,,,,False
0,0,2,0.0,-36.0,-8.0,QT450-10,169.42570505817682,,,,False
0,0,3,0.0,-36.0,-6.0,QT450-10,169.5451856830376,,,,False
0,0,4,0.0,-36.0,-4.0,QT450-10,169.63743677923105,,,,False
0,0,5,0.0,-36.0,-2.0,QT450-10,169.69503031315182,,,,False
0,0,6,0.0,-36.0,0.0,QT450-10,169.7145596916922,,,,False
0,0,7,0.0,-36.0,2.0,QT450-10,169.69503031315182,,,,False
0,0,8,0.0,-36.0,4.0,QT450-10,169.63743677923105,,,,False
0,0,9,0.0,-36.0,6.0,QT450-10,169.5451856830376,,,,False
0,0,10,0.0,-36.0,8.0,QT450-10,169.42570505817682,,,,False
0,0,11,0.0,-36.0,10.0,QT450-10,169.2946525644693,,,,False
0,0,12,0.0,-36.0,12.0,QT450-10,169.18691633015018,,,,False
0,1,0,0.0,-33.4375,-12.0,QT450-10,169.62185400540494,,,,False
0,1,1,0.0,-33.4375,-10.0,QT450-10,169.8687438330935,,,,False
0,1,2,0.0,-33.4375,-8.0,QT450-10,170.05775965066013,,,,False
0,1,3,0.0,-33.4375,-6.0,QT450-10,170.20357363389792,,,,False
0,1,4,0.0,-33.4375,-4.0,QT450-10,170.30850488149423,,,,False
0,1,5,0.0,-33.4375,-2.0,QT450-10,170.37199433371492,,,,False
0,1,6,0.0,-33.4375,0.0,QT450-10,170.3932594285134,,,,False
0,1,7,0.0,-33.4375,2.0,QT450-10,170.37199433371492,,,,False
0,1,8,0.0,-33.4375,4.0,QT450-10,170.30850488149423,,,,False
0,1,9,0.0,-33.4375,6.0,QT450-10,170.20357363389792,,,,False
0,1,10,0.0,-33.4375,8.0,QT450-10,170.05775965066013,,,,False
0,1,11,0.0,-33.4375,10.0,QT450-10,169.8687438330935,,,,False
0,1,12,0.0,-33.4375,12.0,QT450-10,169.62185400540494,,,,False
0,2,0,0.0,-30.875,-12.0,QT450-10,170.2751256258215,,,,False
0,2,1,0.0,-30.875,-10.0,QT450-10,170.5624685643349,,,,False
0,2,2,0.0,-30.875,-8.0,QT450-10,170.78538330581088,,,,False
0,2,3,0.0,-30.875,-6.0,QT450-10,170.95374148328537,,,,False
0,2,4,0.0,-30.875,-4.0,QT450-10,171.07228404028467,,,,False
0,2,5,0.0,-30.875,-2.0,QT450-10,171.14296235624437,,,,False
0,2,6,0.0,-30.875,0.0,QT450-10,171.16646802539984,,,,False
0,2,7,0.0,-30.875,2.0,QT450-10,171.14296235624437,,,,False
0,2,8,0.0,-30.875,4.0,QT450-10,171.07228404028467,,,,False
0,2,9,0.0,-30.875,6.0,QT450-10,170.95374148328537,,,,False
0,2,10,0.0,-30.875,8.0,QT450-10,170.78538330581088,,,,False
0,2,11,0.0,-30.875,10.0,QT450-10,170.5624685643349,,,,False
0,2,12,0.0,-30.875,12.0,QT450-10,170.2751256258215,,,,False
0,3,0,0.0,-28.3125,-12.0,QT450-10,171.10524714568842,,,,False
0,3,1,0.0,-28.3125,-10.0,QT450-10,171.40813172913397,,,,False
0,3,2,0.0,-28.3125,-8.0,QT450-10,171.64880166511242,,,,False
0,3,3,0.0,-28.3125,-6.0,QT450-10,171.83197053573818,,,,False
0,3,4,0.0,-28.3125,-4.0,QT450-10,171.96095737850996,,,,False
0,3,5,0.0,-28.3125,-2.0,QT450-10,172.03771161159807,,,,False
0,3,6,0.0,-28.3125,0.0,QT450-10,172.06320060754024,,,,False
0,3,7,0.0,-28.3125,2.0,QT450-10,172.03771161159807,,,,False
0,3,8,0.0,-28.3125,4.0,QT450-10,171.96095737850996,,,,False
0,3,9,0.0,-28.3125,6.0,QT450-10,171.83197053573818,,,,False
0,3,10,0.0,-28.3125,8.0,QT450-10,171.64880166511242,,,,False
0,3,11,0.0,-28.3125,10.0,QT450-10,171.40813172913397,,,,False
0,3,12,0.0,-28.3125,12.0,QT450-10,171.10524714568842,,,,False
0,4,0,0.0,-25.75,-12.0,QT450-10,172.1306716446773,,,,False
0,4,1,0.0,-25.75,-10.0,QT450-10,172.44180158699334,,,,False
0,4,2,0.0,-25.75,-8.0,QT450-10,172.6926364618227,,,,False
0,4,3,0.0,-25.75,-6.0,QT450-10,172.88528311225278,,,,False
0,4,4,0.0,-25.75,-4.0,QT450-10,173.02159811167604,,,,False
0,4,5,0.0,-25.75,-2.0,QT450-10,173.10289147288796,,,,False
0,4,6,0.0,-25.75,0.0,QT450-10,173.12990949700824,,,,False
0,4,7,0.0,-25.75,2.0,QT450-10,173.10289147288796,,,,False
0,4,8,0.0,-25.75,4.0,QT450-10,173.02159811167604,,,,False
0,4,9,0.0,-25.75,6.0,QT450-10,172.88528311225278,,,,False
0,4,10,0.0,-25.75,8.0,QT450-10,172.6926364618227,,,,False
0,4,11,0.0,-25.75,10.0,QT450-10,172.44180158699334,,,,False
0,4,12,0.0,-25.75,12.0,QT450-10,172.1306716446773,,,,False
0,5,0,0.0,-23.1875,-12.0,QT450-10,173.41473803953332,,,,False
0,5,1,0.0,-23.1875,-10.0,QT450-10,173.73198076384674,,,,False
0,5,2,0.0,-23.1875,-8.0,QT450-10,173.98983579190465,,,,False
0,5,3,0.0,-23.1875,-6.0,QT450-10,174.1891591108371,,,,False
0,5,4,0.0,-23.1875,-4.0,QT450-10,174.33083060062665,,,,False
0,5,5,0.0,-23.1875,-2.0,QT450-10,174.4155467459062,,,,False
0,5,6,0.0,-23.1875,0.0,QT450-10,174.4437375292848,,,,False
0,5,7,0.0,-23.1875,2.0,QT450-10,174.4155467459062,,,,False
0,5,8,0.0,-23.1875,4.0,QT450-10,174.33083060062665,,,,False
0,5,9,0.0,-23.1875,6.0,QT450-10,174.1891591108371,,,,False
0,5,10,0.0,-23.1875,8.0,QT450-10,173.98983579190465,,,,False
0,5,11,0.0,-23.1875,10.0,QT450-10,173.73198076384674,,,,False
0,5,12,0.0,-23.1875,12.0,QT450-10,173.41473803953332,,,,False
0,6,0,0.0,-20.625,-12.0,QT450-10,175.08770658797366,,,,False
0,6,1,0.0,-20.625,-10.0,QT450-10,175.41105297042822,,,,False
