time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.003,150.0,150.0,150.0,149.99971048078666,149.9987504960267
0.501,149.9999041191985,149.99958535985834,149.9922333441997,149.92618810625567,149.86733836632033
1.002,149.99754445996535,149.99492471720163,149.96849491381693,149.85621903214962,149.78482577075658
1.5,149.98903433121657,149.98256386180128,149.93662921213905,149.7941789593715,149.71611578570062
2.001,149.97312725754813,149.9622240866442,149.8993124328987,149.73520641741317,149.65256107120592
2.5020000000000002,149.95097493039344,149.93552248098229,149.85825844434757,149.67812955858406,149.5922804109137
3.0,149.92484627978791,149.90489633009736,149.81542798323608,149.6236156312645,149.5358073013078
3.5010000000000003,149.89709964573035,149.87268780911143,149.77257272547655,149.57281673788037,149.48436814870857
4.002,149.87115949300684,149.84237878027565,149.73301178519236,149.52920973393245,149.4416851694623
4.5,149.8510732929326,149.81811678306462,149.70090592991397,149.49735488273626,149.4126011761307
5.001,149.84130297165277,149.80446189269895,149.68088501772237,149.48254682970156,149.4028154076279
5.502000000000001,149.847614414837,149.80745024695827,149.67939593505088,149.4921393122004,149.4201135913148
6.0,149.87631729499412,149.83377277870602,149.70372345752577,149.5343644066245,149.47312608323503
6.501,149.93525850713948,149.89177170663018,149.7630165394395,149.61981249993238,149.57309440265252
7.002000000000001,150.03310102538728,149.99084284376607,149.8677908999682,149.7604175084308,149.7325525176334
7.5,150.1789560581864,150.1410256805779,150.02948076992908,149.96910590410275,149.9649921439563
8.001,150.3859167875054,150.35674960216002,150.26464727346388,150.26488148448936,150.29037526526363
8.502,150.6665144356156,150.65228305734414,150.59005769347462,150.66641558457866,150.72817267106262
9.0,151.03415300970286,151.04330657271169,151.02453834875502,151.19454686137766,151.30002487761715
9.501,151.51105341551374,151.55537632027023,151.59872271630337,151.8837787999912,152.04169453233567
10.002,152.11557365307635,152.21111988675347,152.34140242124084,152.76409565141492,152.98365418189962
10.5,152.86879160260645,153.03779049027293,153.2883271057105,153.8716705076672,154.16253742905735
11.001000000000001,153.8107106514863,154.08497129149646,154.50229289551362,155.2731984520164,155.64579239657328
11.502,154.9682810671733,155.3894879137328,156.03686234612724,157.017863244176,157.48038156104485
12.0,156.37626936170653,157.0047957182352,157.97430279521814,159.1727389477525,159.72963971140885
12.501000000000001,158.10910109845068,159.03864071502136,160.47553249452028,161.87623991040292,162.52320829232073
13.002,160.2118359785625,161.55652367484225,163.63691227793177,165.21723147198458,165.94205736376202
13.5,162.7315074569946,164.66164349495997,167.6954704524162,169.31157712279483,170.0741134996871
14.001000000000001,165.80985646868828,168.60798947253826,173.13853611653153,174.46524937845825,175.17264574885206
14.502,169.5406869349445,173.59550843019244,180.33692859024677,180.91433638217268,181.4036458020316
15.0,173.9384358371978,179.6749533602754,189.67216996725057,188.71597412941296,188.80050940209935
15.501000000000001,179.27435173520638,187.55888919612102,203.0667219214762,198.63469221418848,197.85624154109732
16.002,185.68745916729372,197.76252648252853,222.3755031989405,211.22937655824535,208.84004050365144
16.5,193.15541005744208,210.0435316680418,245.68145458060962,226.32437444637708,221.72462160734995
17.001,201.9480481700116,225.6237815694041,279.5111257336914,245.01295722376153,236.99021254321946
17.502,212.2993598103878,245.34076319018476,326.03442151522705,268.30373015742373,255.13281596909854
18.0,223.8344331038707,268.7711613240051,385.4629411341519,295.65950863887184,275.54379218553527
18.501,236.59976740944697,294.5307959251378,444.14594960054154,325.94519661224797,298.2707822946536
19.002,251.32006049227127,325.2768729126997,518.3879401667268,361.74473681333654,324.65509463387525
