time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.003,150.0,150.0,150.0,150.0,149.99702041360212
0.501,149.99997346733474,149.99984700726822,149.99423675846327,149.92403016305653,149.8522824495068
1.002,149.99819069203642,149.9961803453911,149.97052645249966,149.8527765689831,149.77189221712848
1.5,149.99022181087278,149.98463710912256,149.9382746590437,149.7901483635003,149.70419354765838
2.001,149.97444648609886,149.96467377668324,149.9004178514396,149.73030962118338,149.640789705846
2.5020000000000002,149.951906836057,149.93782308654738,149.85850009691515,149.67194908024908,149.57985684635187
3.0,149.92471530142478,149.90636967163528,149.81429801273924,149.61570889726346,149.52193462370658
3.5010000000000003,149.89500950836634,149.87243379800162,149.76935903646617,149.5627887194809,149.4682922882908
4.002,149.86605176530335,149.83932823703404,149.72690660782857,149.5169173803858,149.4228801485391
4.5,149.84186871442301,149.81117762345835,149.69118385176762,149.48313204100296,149.39099844028297
5.001,149.82695117109543,149.79258326621,149.66701509016318,149.46736998650692,149.37892952354346
5.502000000000001,149.82723647869597,149.78977057205512,149.66122071152643,149.47776220817028,149.39515604982722
6.0,149.84930201727647,149.80971041750217,149.6815332171733,149.52336142713295,149.4490663228984
6.501,149.90123931002964,149.86099002390807,149.73756381721867,149.61580160559524,149.55283175520213
7.002000000000001,149.992014511906,149.95328386481998,149.84030636150646,149.76794356188543,149.71976903310593
7.5,150.13094891625133,150.09677852856072,150.00147454519617,149.99336948726994,149.96390193461593
8.001,150.33148706599948,150.30614585587705,150.23803408250996,150.31249893670403,150.3065310351043
8.502,150.60654244881485,150.59583360905918,150.56700928789382,150.7451219247805,150.76809918889558
9.0,150.9693634897398,150.98099026539003,151.00658635322696,151.3121351734889,151.3701130428397
9.501,151.44259381390685,151.48729948912558,151.58752014269322,152.04981585516742,152.15021533741788
10.002,152.0458369656249,152.1380887240336,152.33880680346442,152.99061630276944,153.14158524350518
10.5,152.79957643426235,152.95867770830824,153.2929001377119,154.1696760215084,154.37981544546605
11.001000000000001,153.74317325671848,153.9967896074014,154.51036565664415,155.65342723937607,155.93261011741433
11.502,154.90874625262012,155.29506632563914,156.04985007652584,157.4994526853293,157.85668789850743
