s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,0.0,-36.0,-12.0,QT450-10,180.8816726078676,,,,False
0,0,1,0.0,-36.0,-10.285714285714286,QT450-10,180.97915728298486,,,,False
0,0,2,0.0,-36.0,-8.571428571428571,QT450-10,181.10008849451626,,,,False
0,0,3,0.0,-36.0,-6.857142857142858,QT450-10,181.2152337734617,,,,False
0,0,4,0.0,-36.0,-5.142857142857143,QT450-10,181.31180466632236,,,,False
0,0,5,0.0,-36.0,-3.428571428571429,QT450-10,181.38368015641353,,,,False
0,0,6,0.0,-36.0,-1.7142857142857153,QT450-10,181.42777942830278,,,,False
0,0,7,0.0,-36.0,0.0,QT450-10,181.44262620033146,,,,False
0,0,8,0.0,-36.0,1.7142857142857135,QT450-10,181.42777942830278,,,,False
0,0,9,0.0,-36.0,3.428571428571427,QT450-10,181.38368015641353,,,,False
0,0,10,0.0,-36.0,5.142857142857142,QT450-10,181.31180466632236,,,,False
0,0,11,0.0,-36.0,6.857142857142858,QT450-10,181.2152337734617,,,,False
0,0,12,0.0,-36.0,8.57142857142857,QT450-10,181.10008849451626,,,,False
0,0,13,0.0,-36.0,10.285714285714285,QT450-10,180.97915728298486,,,,False
0,0,14,0.0,-36.0,12.0,QT450-10,180.8816726078676,,,,False
0,1,0,0.0,-33.95,-12.0,QT450-10,181.17054506497223,,,,False
0,1,1,0.0,-33.95,-10.285714285714286,QT450-10,181.37424325418638,,,,False
0,1,2,0.0,-33.95,-8.571428571428571,QT450-10,181.5373947034616,,,,False
0,1,3,0.0,-33.95,-6.857142857142858,QT450-10,181.671225300884,,,,False
0,1,4,0.0,-33.95,-5.142857142857143,QT450-10,181.77688292023893,,,,False
0,1,5,0.0,-33.95,-3.428571428571429,QT450-10,181.8534123642731,,,,False
0,1,6,0.0,-33.95,-1.7142857142857153,QT450-10,181.8997751413097,,,,False
0,1,7,0.0,-33.95,0.0,QT450-10,181.91530392659493,,,,False
0,1,8,0.0,-33.95,1.7142857142857135,QT450-10,181.8997751413097,,,,False
0,1,9,0.0,-33.95,3.428571428571427,QT450-10,181.8534123642731,,,,False
0,1,10,0.0,-33.95,5.142857142857142,QT450-10,181.77688292023893,,,,False
0,1,11,0.0,-33.95,6.857142857142858,QT450-10,181.671225300884,,,,False
0,1,12,0.0,-33.95,8.57142857142857,QT450-10,181.5373947034616,,,,False
0,1,13,0.0,-33.95,10.285714285714285,QT450-10,181.37424325418638,,,,False
0,1,14,0.0,-33.95,12.0,QT450-10,181.17054506497223,,,,False
0,2,0,0.0,-31.9,-12.0,QT450-10,181.60101643905432,,,,False
0,2,1,0.0,-31.9,-10.285714285714286,QT450-10,181.83715063497885,,,,False
0,2,2,0.0,-31.9,-8.571428571428571,QT450-10,182.02646451530978,,,,False
0,2,3,0.0,-31.9,-6.857142857142858,QT450-10,182.1773355762619,,,,False
0,2,4,0.0,-31.9,-5.142857142857143,QT450-10,182.29344337165656,,,,False
0,2,5,0.0,-31.9,-3.428571428571429,QT450-10,182.3761100864597,,,,False
0,2,6,0.0,-31.9,-1.7142857142857153,QT450-10,182.4256896193301,,,,False
0,2,7,0.0,-31.9,0.0,QT450-10,182.44221979587368,,,,False
0,2,8,0.0,-31.9,1.7142857142857135,QT450-10,182.4256896193301,,,,False
0,2,9,0.0,-31.9,3.428571428571427,QT450-10,182.3761100864597,,,,False
0,2,10,0.0,-31.9,5.142857142857142,QT450-10,182.29344337165656,,,,False
0,2,11,0.0,-31.9,6.857142857142858,QT450-10,182.1773355762619,,,,False
0,2,12,0.0,-31.9,8.57142857142857,QT450-10,182.02646451530978,,,,False
0,2,13,0.0,-31.9,10.285714285714285,QT450-10,181.83715063497885,,,,False
0,2,14,0.0,-31.9,12.0,QT450-10,181.60101643905432,,,,False
0,3,0,0.0,-29.85,-12.0,QT450-10,182.13600939681774,,,,False
0,3,1,0.0,-29.85,-10.285714285714286,QT450-10,182.38465510262364,,,,False
0,3,2,0.0,-29.85,-8.571428571428571,QT450-10,182.5881564150321,,,,False
0,3,3,0.0,-29.85,-6.857142857142858,QT450-10,182.75081100273567,,,,False
0,3,4,0.0,-29.85,-5.142857142857143,QT450-10,182.87548259402163,,,,False
0,3,5,0.0,-29.85,-3.428571428571429,QT450-10,182.96378391369115,,,,False
0,3,6,0.0,-29.85,-1.7142857142857153,QT450-10,183.0165282734828,,,,False
0,3,7,0.0,-29.85,0.0,QT450-10,183.0340763058504,,,,False
0,3,8,0.0,-29.85,1.7142857142857135,QT450-10,183.0165282734828,,,,False
0,3,9,0.0,-29.85,3.428571428571427,QT450-10,182.96378391369115,,,,False
0,3,10,0.0,-29.85,5.142857142857142,QT450-10,182.87548259402163,,,,False
0,3,11,0.0,-29.85,6.857142857142858,QT450-10,182.75081100273567,,,,False
