time_s,QT_HAZ_c,QT_SURROGATE_INTERFACE_REF_c,WELD_CENTER_c,Q235B_SURROGATE_INTERFACE_REF_c,Q235B_HAZ_c
0.01,150.0,150.0,150.0,150.0,149.9916699735113
0.5,149.9999745035874,149.999824949661,149.99342618455486,149.92451591634412,149.85867680609613
1.0,149.9981342202937,149.99586876247326,149.96846687690044,149.85426728556777,149.78116456578311
1.5,149.98988405543025,149.9837440726091,149.93518143925374,149.79177048823396,149.71464356498416
2.0,149.97380082224464,149.9632489422616,149.89668965927274,149.73215933871657,149.6522480756195
2.5,149.95107743375758,149.93604612848011,149.8544282616627,149.6742999506701,149.59244208965055
3.0,149.923884499287,149.90446562804215,149.81022970804588,149.6192577465307,149.5362374506071
3.5,149.89499771272693,149.87136759072587,149.76671490295462,149.56982304638427,149.48652111581032
4.0,149.8678753769006,149.8403183942093,149.7275160767985,149.53036518011567,149.44783991379012
4.5,149.84678479465452,149.81576498774527,149.69741853477393,149.5067505239191,149.426282206593
5.0,149.83689859873164,149.80315239907662,149.68244481387643,149.50632688234214,149.42944845518477
5.5,149.84433746879597,149.8089842397483,149.68990170245823,149.53788978876005,149.46640386626603
6.0,149.8762219057213,149.84088379751023,149.7284337078632,149.61178551042195,149.5477985276923
6.5,149.94072184613782,149.90766991239315,149.808140088311,149.73999863862545,149.6859395494286
7.0,150.04714026233785,150.01946951535575,149.9407031651557,149.93638224508038,149.89505709439015
7.5,150.2061041297482,150.1879554438339,150.13973186448635,150.21705947120364,150.1916922883615
8.0,150.4296330188883,150.42650300846003,150.42099067982574,150.60054873322446,150.5948176363312
8.5,150.73167349062626,150.75080198303456,150.8031416819284,151.1089629430649,151.1271180908038
9.0,151.1280254123058,151.1789688388999,151.3081604848786,151.76760716834417,151.81436886796456
9.5,151.63739384518124,151.73283565331883,151.96271377917213,152.60750686925604,152.68829806341415
10.0,152.28136741001538,152.4381372068801,152.7991320919732,153.66468129799074,153.78526798428868
10.5,153.08543357775145,153.3264022962394,153.8578083400601,154.98318981726982,155.14970952390286
11.0,154.08091741952785,154.4370323554511,155.190257473793,156.61761728778401,156.8361666834457
11.5,155.30214068182812,155.8161721559731,156.86125838318338,158.629394646679,158.90440740229877
12.0,156.79657626882215,157.52945995276917,158.96273344801932,161.10591891026075,161.43982953366645
12.5,158.61052444417743,159.645054955515,161.60443487002794,164.13250118467056,164.52104051226286
13.0,160.8145111131846,162.27909070205723,164.9802824106033,167.85151003262746,168.27745792079835
13.5,163.47749381677556,165.53848315382962,169.2782760884807,172.38916868344035,172.82315404376448
14.0,166.68576832009984,169.61098665904655,174.9369294329416,177.9503873950008,178.31546586667758
14.5,170.56371830931295,174.72106904544597,182.35063688029507,184.7793988719066,184.96568059751462
15.0,175.1721514539703,181.0664063308791,192.30880009606722,193.07104423644898,192.87874717627767
15.5,180.72466094844242,189.20684587929068,206.20220017387084,203.3808982667307,202.44136063578802
16.0,187.22129106701863,199.02781193197166,223.71169934578424,215.60071367709975,213.61896472904687
16.500000000000004,194.91789570306867,211.5980355124118,248.87706344405467,230.73706812556202,226.92427055582473
17.000000000000004,203.7880154955044,226.54543763676074,278.8852148689008,248.44881705619244,242.26289253479035
17.500000000000004,213.94298295516097,244.6962842139485,319.01203428857366,269.4886829509221,259.8833860336561
18.000000000000004,225.32806187950024,265.92058916204235,368.3573951163928,293.71216535437156,279.68301530874663
18.500000000000004,237.7716905470603,289.8090728946389,421.7087157684723,320.755979120712,301.3823574795606
19.000000000000004,251.39629989014216,315.9566860439327,480.93240984031286,350.32487726231255,325.1939473888858
19.500000000000004,264.84362228262876,345.10578434394563,570.9599392160608,382.38925009481477,348.7580403654846
20.000000000000004,279.9661243346995,377.83648717163544,647.7621475340086,418.33559560260903,375.43738937905
20.500000000000004,293.1326670919604,400.8904310907669,692.3125712532537,445.9135648801678,398.58314573186885
21.000000000000004,305.1392698450827,425.5663844362239,760.597737052814,474.1396145827365,419.7916118148769
21.500000000000004,316.05733418096145,442.9129686941808,786.969230014616,495.9614687321141,438.96651674877216
22.000000000000004,324.3335689056441,451.61050095365437,781.4154705645128,509.39540963145424,453.3085539768824
22.500000000000004,329.5118760875862,450.65949841098654,753.8986042455815,512.9522281595906,461.97443701353467
23.000000000000004,333.3427633194669,450.0572540205353,735.7455420608247,515.4711102281124,467.847614763927
23.500000000000004,335.2844340257844,442.3710713774246,687.3795106793889,510.86804953995954,470.1335561726694
24.000000000000004,334.4145905207562,430.9110083618805,646.8243542931609,501.10439658241876,467.0071429728681
24.500000000000004,333.1111202361541,421.200620382305,613.1510423773316,491.88523310932965,462.70599876241624
25.000000000000004,330.5017117076942,407.0173726890773,562.9622585802838,478.12299052360584,455.9746276706952
25.500000000000004,326.6954349552778,393.91671524859566,527.5131158096306,464.17011687706747,446.83903454753954
26.000000000000004,322.9897070761657,382.05938862471305,493.57179466677235,450.9422357355661,437.744894122426
26.500000000000004,318.64358062931655,369.57220921988835,462.71089068490784,436.8057745513165,427.5500825809169
27.000000000000004,314.22206621317713,358.8214343182766,438.6411484054195,423.834711723001,417.1886929116464
27.500000000000004,310.0596640917346,349.0105830000621,416.21236558620626,411.68345828607767,407.34497851624985
28.000000000000004,305.8612651535623,340.02700064831987,398.1592732957165,400.210306149795,397.5555939363437
28.500000000000004,301.91512801104193,332.26042822279504,383.2756884037657,389.8142833804453,388.30635721259034
29.000000000000004,298.23995863428354,325.26176698512364,370.2617173869961,380.2204875487977,379.6554424118252
29.500000000000004,294.7610547066954,319.07043798805205,359.5479339311608,371.4433675728502,371.48576471881853
30.000000000000004,291.55094127923314,313.6156467802424,350.34886526797015,363.4531707000051,363.9132634102831
30.500000000000004,288.57607790961,308.73197561837463,342.40868516027984,356.12894658630483,356.87893201834174
31.000000000000004,285.8111603350759,304.3679033040937,335.52857745905743,349.4201176359204,350.3420986140025
31.500000000000004,283.25622310330937,300.44599099639083,329.4351971855844,343.266550404053,344.295527377843
32.0,280.88402898005734,296.8931307501251,324.01944264808213,337.60217898151245,338.6869257599403
32.5,278.67500069505354,293.6592616361973,319.15340873093044,332.3739989209132,333.4777833951962
33.0,276.6152315244159,290.6976136261318,314.7380889061829,327.5355995479317,328.6369087242631
33.5,274.6866728244104,287.96886154008644,310.7050596842897,323.04369211184826,324.12660142672325
34.0,272.87475171502774,285.44169533389106,306.99597605081453,318.8610438460041,319.9154500218067
34.5,271.1673597847674,283.0894188415042,303.5647007233031,314.95592205038747,315.97605245074016
35.0,269.55266587823667,280.8894941422333,300.3745977473216,311.2995233681071,312.28178890908265
35.5,268.02055274445166,278.8231951045925,297.39510949307714,307.8666609137398,308.80933198565435
