s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,-69.02777777777777,-35.60576923076923,-11.6,QT450-10,152.44950801268013,,,,False
0,0,1,-69.02777777777777,-35.60576923076923,-10.8,QT450-10,152.50772553948718,,,,False
0,0,2,-69.02777777777777,-35.60576923076923,-10.0,QT450-10,152.56179002809915,,,,False
0,0,3,-69.02777777777777,-35.60576923076923,-9.2,QT450-10,152.61170112866714,,,,False
0,0,4,-69.02777777777777,-35.60576923076923,-8.4,QT450-10,152.65745788050006,,,,False
0,0,5,-69.02777777777777,-35.60576923076923,-7.6,QT450-10,152.6990591671443,,,,False
0,0,6,-69.02777777777777,-35.60576923076923,-6.8,QT450-10,152.73650386877983,,,,False
0,0,7,-69.02777777777777,-35.60576923076923,-6.0,QT450-10,152.76979092178152,,,,False
0,0,8,-69.02777777777777,-35.60576923076923,-5.199999999999999,QT450-10,152.7989193465623,,,,False
0,0,9,-69.02777777777777,-35.60576923076923,-4.3999999999999995,QT450-10,152.8238882632434,,,,False
0,0,10,-69.02777777777777,-35.60576923076923,-3.5999999999999996,QT450-10,152.84469690200126,,,,False
0,0,11,-69.02777777777777,-35.60576923076923,-2.799999999999999,QT450-10,152.86134461067996,,,,False
0,0,12,-69.02777777777777,-35.60576923076923,-2.0,QT450-10,152.87383086069164,,,,False
0,0,13,-69.02777777777777,-35.60576923076923,-1.1999999999999993,QT450-10,152.88215525160473,,,,False
0,0,14,-69.02777777777777,-35.60576923076923,-0.3999999999999986,QT450-10,152.88631751456185,,,,False
0,0,15,-69.02777777777777,-35.60576923076923,0.40000000000000036,QT450-10,152.88631751456185,,,,False
0,0,16,-69.02777777777777,-35.60576923076923,1.200000000000001,QT450-10,152.88215525160473,,,,False
0,0,17,-69.02777777777777,-35.60576923076923,2.0,QT450-10,152.87383086069164,,,,False
0,0,18,-69.02777777777777,-35.60576923076923,2.8000000000000007,QT450-10,152.86134461067996,,,,False
0,0,19,-69.02777777777777,-35.60576923076923,3.6000000000000014,QT450-10,152.84469690200126,,,,False
0,0,20,-69.02777777777777,-35.60576923076923,4.400000000000002,QT450-10,152.8238882632434,,,,False
0,0,21,-69.02777777777777,-35.60576923076923,5.199999999999999,QT450-10,152.7989193465623,,,,False
0,0,22,-69.02777777777777,-35.60576923076923,6.0,QT450-10,152.76979092178152,,,,False
0,0,23,-69.02777777777777,-35.60576923076923,6.800000000000001,QT450-10,152.73650386877983,,,,False
0,0,24,-69.02777777777777,-35.60576923076923,7.600000000000001,QT450-10,152.6990591671443,,,,False
0,0,25,-69.02777777777777,-35.60576923076923,8.400000000000002,QT450-10,152.65745788050006,,,,False
0,0,26,-69.02777777777777,-35.60576923076923,9.200000000000003,QT450-10,152.61170112866714,,,,False
0,0,27,-69.02777777777777,-35.60576923076923,10.0,QT450-10,152.56179002809915,,,,False
0,0,28,-69.02777777777777,-35.60576923076923,10.8,QT450-10,152.50772553948718,,,,False
0,0,29,-69.02777777777777,-35.60576923076923,11.600000000000001,QT450-10,152.44950801268013,,,,False
0,1,0,-69.02777777777777,-34.81730769230769,-11.6,QT450-10,152.51751139815303,,,,False
0,1,1,-69.02777777777777,-34.81730769230769,-10.8,QT450-10,152.5757635175422,,,,False
0,1,2,-69.02777777777777,-34.81730769230769,-10.0,QT450-10,152.62986210118902,,,,False
0,1,3,-69.02777777777777,-34.81730769230769,-9.2,QT450-10,152.67980529945382,,,,False
0,1,4,-69.02777777777777,-34.81730769230769,-8.4,QT450-10,152.72559170828623,,,,False
0,1,5,-69.02777777777777,-34.81730769230769,-7.6,QT450-10,152.76722006189556,,,,False
0,1,6,-69.02777777777777,-34.81730769230769,-6.8,QT450-10,152.80468918139238,,,,False
0,1,7,-69.02777777777777,-34.81730769230769,-6.0,QT450-10,152.83799797501135,,,,False
0,1,8,-69.02777777777777,-34.81730769230769,-5.199999999999999,QT450-10,152.86714544697784,,,,False
0,1,9,-69.02777777777777,-34.81730769230769,-4.3999999999999995,QT450-10,152.89213070652642,,,,False
0,1,10,-69.02777777777777,-34.81730769230769,-3.5999999999999996,QT450-10,152.9129529757311,,,,False
0,1,11,-69.02777777777777,-34.81730769230769,-2.799999999999999,QT450-10,152.92961159612173,,,,False
0,1,12,-69.02777777777777,-34.81730769230769,-2.0,QT450-10,152.9421060341923,,,,False
0,1,13,-69.02777777777777,-34.81730769230769,-1.1999999999999993,QT450-10,152.95043588584883,,,,False
0,1,14,-69.02777777777777,-34.81730769230769,-0.3999999999999986,QT450-10,152.95460087979012,,,,False
0,1,15,-69.02777777777777,-34.81730769230769,0.40000000000000036,QT450-10,152.95460087979012,,,,False
0,1,16,-69.02777777777777,-34.81730769230769,1.200000000000001,QT450-10,152.95043588584883,,,,False
0,1,17,-69.02777777777777,-34.81730769230769,2.0,QT450-10,152.9421060341923,,,,False
0,1,18,-69.02777777777777,-34.81730769230769,2.8000000000000007,QT450-10,152.92961159612173,,,,False
0,1,19,-69.02777777777777,-34.81730769230769,3.6000000000000014,QT450-10,152.9129529757311,,,,False
0,1,20,-69.02777777777777,-34.81730769230769,4.400000000000002,QT450-10,152.89213070652642,,,,False
0,1,21,-69.02777777777777,-34.81730769230769,5.199999999999999,QT450-10,152.86714544697784,,,,False
0,1,22,-69.02777777777777,-34.81730769230769,6.0,QT450-10,152.83799797501135,,,,False
0,1,23,-69.02777777777777,-34.81730769230769,6.800000000000001,QT450-10,152.80468918139238,,,,False
0,1,24,-69.02777777777777,-34.81730769230769,7.600000000000001,QT450-10,152.76722006189556,,,,False
0,1,25,-69.02777777777777,-34.81730769230769,8.400000000000002,QT450-10,152.72559170828623,,,,False
0,1,26,-69.02777777777777,-34.81730769230769,9.200000000000003,QT450-10,152.67980529945382,,,,False
0,1,27,-69.02777777777777,-34.81730769230769,10.0,QT450-10,152.62986210118902,,,,False
0,1,28,-69.02777777777777,-34.81730769230769,10.8,QT450-10,152.5757635175422,,,,False
0,1,29,-69.02777777777777,-34.81730769230769,11.600000000000001,QT450-10,152.51751139815303,,,,False
0,2,0,-69.02777777777777,-34.02884615384615,-11.6,QT450-10,152.59201797731717,,,,False
0,2,1,-69.02777777777777,-34.02884615384615,-10.8,QT450-10,152.6503104961655,,,,False
0,2,2,-69.02777777777777,-34.02884615384615,-10.0,QT450-10,152.7044469121966,,,,False
0,2,3,-69.02777777777777,-34.02884615384615,-9.2,QT450-10,152.7544253600245,,,,False
0,2,4,-69.02777777777777,-34.02884615384615,-8.4,QT450-10,152.80024429146414,,,,False
0,2,5,-69.02777777777777,-34.02884615384615,-7.6,QT450-10,152.84190234195566,,,,False
0,2,6,-69.02777777777777,-34.02884615384615,-6.8,QT450-10,152.87939827397872,,,,False
0,2,7,-69.02777777777777,-34.02884615384615,-6.0,QT450-10,152.9127309596377,,,,False
0,2,8,-69.02777777777777,-34.02884615384615,-5.199999999999999,QT450-10,152.94189937879173,,,,False
0,2,9,-69.02777777777777,-34.02884615384615,-4.3999999999999995,QT450-10,152.96690262271494,,,,False
0,2,10,-69.02777777777777,-34.02884615384615,-3.5999999999999996,QT450-10,152.987739899427,,,,False
0,2,11,-69.02777777777777,-34.02884615384615,-2.799999999999999,QT450-10,153.00441053920258,,,,False
0,2,12,-69.02777777777777,-34.02884615384615,-2.0,QT450-10,153.0169139996341,,,,False
0,2,13,-69.02777777777777,-34.02884615384615,-1.1999999999999993,QT450-10,153.02524986993973,,,,False
0,2,14,-69.02777777777777,-34.02884615384615,-0.3999999999999986,QT450-10,153.02941787433284,,,,False
0,2,15,-69.02777777777777,-34.02884615384615,0.40000000000000036,QT450-10,153.02941787433284,,,,False
0,2,16,-69.02777777777777,-34.02884615384615,1.200000000000001,QT450-10,153.02524986993973,,,,False
0,2,17,-69.02777777777777,-34.02884615384615,2.0,QT450-10,153.0169139996341,,,,False
0,2,18,-69.02777777777777,-34.02884615384615,2.8000000000000007,QT450-10,153.00441053920258,,,,False
0,2,19,-69.02777777777777,-34.02884615384615,3.6000000000000014,QT450-10,152.987739899427,,,,False
0,2,20,-69.02777777777777,-34.02884615384615,4.400000000000002,QT450-10,152.96690262271494,,,,False
0,2,21,-69.02777777777777,-34.02884615384615,5.199999999999999,QT450-10,152.94189937879173,,,,False
0,2,22,-69.02777777777777,-34.02884615384615,6.0,QT450-10,152.9127309596377,,,,False
0,2,23,-69.02777777777777,-34.02884615384615,6.800000000000001,QT450-10,152.87939827397872,,,,False
0,2,24,-69.02777777777777,-34.02884615384615,7.600000000000001,QT450-10,152.84190234195566,,,,False
0,2,25,-69.02777777777777,-34.02884615384615,8.400000000000002,QT450-10,152.80024429146414,,,,False
0,2,26,-69.02777777777777,-34.02884615384615,9.200000000000003,QT450-10,152.7544253600245,,,,False
0,2,27,-69.02777777777777,-34.02884615384615,10.0,QT450-10,152.7044469121966,,,,False
0,2,28,-69.02777777777777,-34.02884615384615,10.8,QT450-10,152.6503104961655,,,,False
0,2,29,-69.02777777777777,-34.02884615384615,11.600000000000001,QT450-10,152.59201797731717,,,,False
0,3,0,-69.02777777777777,-33.24038461538461,-11.6,QT450-10,152.67296271790806,,,,False
0,3,1,-69.02777777777777,-33.24038461538461,-10.8,QT450-10,152.73129995002003,,,,False
0,3,2,-69.02777777777777,-33.24038461538461,-10.0,QT450-10,152.78547791611564,,,,False
0,3,3,-69.02777777777777,-33.24038461538461,-9.2,QT450-10,152.83549487301786,,,,False
0,3,4,-69.02777777777777,-33.24038461538461,-8.4,QT450-10,152.8813492588726,,,,False
0,3,5,-69.02777777777777,-33.24038461538461,-7.6,QT450-10,152.92303966601307,,,,False
0,3,6,-69.02777777777777,-33.24038461538461,-6.8,QT450-10,152.96056481587613,,,,False
0,3,7,-69.02777777777777,-33.24038461538461,-6.0,QT450-10,152.99392354689053,,,,False
0,3,8,-69.02777777777777,-33.24038461538461,-5.199999999999999,QT450-10,153.02311481159012,,,,False
0,3,9,-69.02777777777777,-33.24038461538461,-4.3999999999999995,QT450-10,153.04813767865699,,,,False
0,3,10,-69.02777777777777,-33.24038461538461,-3.5999999999999996,QT450-10,153.06899133719187,,,,False
0,3,11,-69.02777777777777,-33.24038461538461,-2.799999999999999,QT450-10,153.0856751017164,,,,False
0,3,12,-69.02777777777777,-33.24038461538461,-2.0,QT450-10,153.0981884170828,,,,False
0,3,13,-69.02777777777777,-33.24038461538461,-1.1999999999999993,QT450-10,153.10653086281354,,,,False
0,3,14,-69.02777777777777,-33.24038461538461,-0.3999999999999986,QT450-10,153.11070215657156,,,,False
0,3,15,-69.02777777777777,-33.24038461538461,0.40000000000000036,QT450-10,153.11070215657156,,,,False
0,3,16,-69.02777777777777,-33.24038461538461,1.200000000000001,QT450-10,153.10653086281354,,,,False
0,3,17,-69.02777777777777,-33.24038461538461,2.0,QT450-10,153.0981884170828,,,,False
0,3,18,-69.02777777777777,-33.24038461538461,2.8000000000000007,QT450-10,153.0856751017164,,,,False
0,3,19,-69.02777777777777,-33.24038461538461,3.6000000000000014,QT450-10,153.06899133719187,,,,False
0,3,20,-69.02777777777777,-33.24038461538461,4.400000000000002,QT450-10,153.04813767865699,,,,False
0,3,21,-69.02777777777777,-33.24038461538461,5.199999999999999,QT450-10,153.02311481159012,,,,False
0,3,22,-69.02777777777777,-33.24038461538461,6.0,QT450-10,152.99392354689053,,,,False
0,3,23,-69.02777777777777,-33.24038461538461,6.800000000000001,QT450-10,152.96056481587613,,,,False
0,3,24,-69.02777777777777,-33.24038461538461,7.600000000000001,QT450-10,152.92303966601307,,,,False
0,3,25,-69.02777777777777,-33.24038461538461,8.400000000000002,QT450-10,152.8813492588726,,,,False
0,3,26,-69.02777777777777,-33.24038461538461,9.200000000000003,QT450-10,152.83549487301786,,,,False
0,3,27,-69.02777777777777,-33.24038461538461,10.0,QT450-10,152.78547791611564,,,,False
0,3,28,-69.02777777777777,-33.24038461538461,10.8,QT450-10,152.73129995002003,,,,False
0,3,29,-69.02777777777777,-33.24038461538461,11.600000000000001,QT450-10,152.67296271790806,,,,False
0,4,0,-69.02777777777777,-32.45192307692308,-11.6,QT450-10,152.7602446503709,,,,False
0,4,1,-69.02777777777777,-32.45192307692308,-10.8,QT450-10,152.8186304196577,,,,False
0,4,2,-69.02777777777777,-32.45192307692308,-10.0,QT450-10,152.87285348123274,,,,False
0,4,3,-69.02777777777777,-32.45192307692308,-9.2,QT450-10,152.9229121704254,,,,False
0,4,4,-69.02777777777777,-32.45192307692308,-8.4,QT450-10,152.96880493881656,,,,False
0,4,5,-69.02777777777777,-32.45192307692308,-7.6,QT450-10,153.0105303607232,,,,False
0,4,6,-69.02777777777777,-32.45192307692308,-6.8,QT450-10,153.04808712900223,,,,False
0,4,7,-69.02777777777777,-32.45192307692308,-6.0,QT450-10,153.08147405187378,,,,False
0,4,8,-69.02777777777777,-32.45192307692308,-5.199999999999999,QT450-10,153.11069005318106,,,,False
0,4,9,-69.02777777777777,-32.45192307692308,-4.3999999999999995,QT450-10,153.13573417543273,,,,False
0,4,10,-69.02777777777777,-32.45192307692308,-3.5999999999999996,QT450-10,153.1566055844573,,,,False
0,4,11,-69.02777777777777,-32.45192307692308,-2.799999999999999,QT450-10,153.1733035746898,,,,False
0,4,12,-69.02777777777777,-32.45192307692308,-2.0,QT450-10,153.1858275743864,,,,False
0,4,13,-69.02777777777777,-32.45192307692308,-1.1999999999999993,QT450-10,153.19417715027743,,,,False
0,4,14,-69.02777777777777,-32.45192307692308,-0.3999999999999986,QT450-10,153.19835201132014,,,,False
0,4,15,-69.02777777777777,-32.45192307692308,0.40000000000000036,QT450-10,153.19835201132014,,,,False
0,4,16,-69.02777777777777,-32.45192307692308,1.200000000000001,QT450-10,153.19417715027743,,,,False
0,4,17,-69.02777777777777,-32.45192307692308,2.0,QT450-10,153.1858275743864,,,,False
0,4,18,-69.02777777777777,-32.45192307692308,2.8000000000000007,QT450-10,153.1733035746898,,,,False
0,4,19,-69.02777777777777,-32.45192307692308,3.6000000000000014,QT450-10,153.1566055844573,,,,False
0,4,20,-69.02777777777777,-32.45192307692308,4.400000000000002,QT450-10,153.13573417543273,,,,False
0,4,21,-69.02777777777777,-32.45192307692308,5.199999999999999,QT450-10,153.11069005318106,,,,False
0,4,22,-69.02777777777777,-32.45192307692308,6.0,QT450-10,153.08147405187378,,,,False
0,4,23,-69.02777777777777,-32.45192307692308,6.800000000000001,QT450-10,153.04808712900223,,,,False
0,4,24,-69.02777777777777,-32.45192307692308,7.600000000000001,QT450-10,153.0105303607232,,,,False
0,4,25,-69.02777777777777,-32.45192307692308,8.400000000000002,QT450-10,152.96880493881656,,,,False
0,4,26,-69.02777777777777,-32.45192307692308,9.200000000000003,QT450-10,152.9229121704254,,,,False
0,4,27,-69.02777777777777,-32.45192307692308,10.0,QT450-10,152.87285348123274,,,,False
0,4,28,-69.02777777777777,-32.45192307692308,10.8,QT450-10,152.8186304196577,,,,False
0,4,29,-69.02777777777777,-32.45192307692308,11.600000000000001,QT450-10,152.7602446503709,,,,False
0,5,0,-69.02777777777777,-31.66346153846154,-11.6,QT450-10,152.85372757023123,,,,False
0,5,1,-69.02777777777777,-31.66346153846154,-10.8,QT450-10,152.91216548461688,,,,False
0,5,2,-69.02777777777777,-31.66346153846154,-10.0,QT450-10,152.96643703880156,,,,False
0,5,3,-69.02777777777777,-31.66346153846154,-9.2,QT450-10,153.0165406037821,,,,False
0,5,4,-69.02777777777777,-31.66346153846154,-8.4,QT450-10,153.0624746390614,,,,False
0,5,5,-69.02777777777777,-31.66346153846154,-7.6,QT450-10,153.10423770577876,,,,False
0,5,6,-69.02777777777777,-31.66346153846154,-6.8,QT450-10,153.14182847203003,,,,False
0,5,7,-69.02777777777777,-31.66346153846154,-6.0,QT450-10,153.1752457162704,,,,False
0,5,8,-69.02777777777777,-31.66346153846154,-5.199999999999999,QT450-10,153.20448833134697,,,,False
0,5,9,-69.02777777777777,-31.66346153846154,-4.3999999999999995,QT450-10,153.22955532966841,,,,False
0,5,10,-69.02777777777777,-31.66346153846154,-3.5999999999999996,QT450-10,153.25044584918606,,,,False
0,5,11,-69.02777777777777,-31.66346153846154,-2.799999999999999,QT450-10,153.26715915964033,,,,False
0,5,12,-69.02777777777777,-31.66346153846154,-2.0,QT450-10,153.27969466854753,,,,False
0,5,13,-69.02777777777777,-31.66346153846154,-1.1999999999999993,QT450-10,153.28805192648954,,,,False
0,5,14,-69.02777777777777,-31.66346153846154,-0.3999999999999986,QT450-10,153.2922306313666,,,,False
0,5,15,-69.02777777777777,-31.66346153846154,0.40000000000000036,QT450-10,153.2922306313666,,,,False
0,5,16,-69.02777777777777,-31.66346153846154,1.200000000000001,QT450-10,153.28805192648954,,,,False
0,5,17,-69.02777777777777,-31.66346153846154,2.0,QT450-10,153.27969466854753,,,,False
0,5,18,-69.02777777777777,-31.66346153846154,2.8000000000000007,QT450-10,153.26715915964033,,,,False
0,5,19,-69.02777777777777,-31.66346153846154,3.6000000000000014,QT450-10,153.25044584918606,,,,False
0,5,20,-69.02777777777777,-31.66346153846154,4.400000000000002,QT450-10,153.22955532966841,,,,False
0,5,21,-69.02777777777777,-31.66346153846154,5.199999999999999,QT450-10,153.20448833134697,,,,False
0,5,22,-69.02777777777777,-31.66346153846154,6.0,QT450-10,153.1752457162704,,,,False
0,5,23,-69.02777777777777,-31.66346153846154,6.800000000000001,QT450-10,153.14182847203003,,,,False
0,5,24,-69.02777777777777,-31.66346153846154,7.600000000000001,QT450-10,153.10423770577876,,,,False
0,5,25,-69.02777777777777,-31.66346153846154,8.400000000000002,QT450-10,153.0624746390614,,,,False
0,5,26,-69.02777777777777,-31.66346153846154,9.200000000000003,QT450-10,153.0165406037821,,,,False
0,5,27,-69.02777777777777,-31.66346153846154,10.0,QT450-10,152.96643703880156,,,,False
0,5,28,-69.02777777777777,-31.66346153846154,10.8,QT450-10,152.91216548461688,,,,False
0,5,29,-69.02777777777777,-31.66346153846154,11.600000000000001,QT450-10,152.85372757023123,,,,False
0,6,0,-69.02777777777777,-30.875,-11.6,QT450-10,152.95324055568003,,,,False
0,6,1,-69.02777777777777,-30.875,-10.8,QT450-10,153.0117340808707,,,,False
0,6,2,-69.02777777777777,-30.875,-10.0,QT450-10,153.06605739982342,,,,False
0,6,3,-69.02777777777777,-30.875,-9.2,QT450-10,153.1162088927901,,,,False
0,6,4,-69.02777777777777,-30.875,-8.4,QT450-10,153.1621870152756,,,,False
0,6,5,-69.02777777777777,-30.875,-7.6,QT450-10,153.2039903108827,,,,False
0,6,6,-69.02777777777777,-30.875,-6.8,QT450-10,153.24161742041835,,,,False
0,6,7,-69.02777777777777,-30.875,-6.0,QT450-10,153.27506708939308,,,,False
