s_index,n_index,z_index,s_mm,n_mm,z_mm,material,tmax_c,t800_down_s,t500_down_s,t8_5_s,valid
0,0,0,-35.027027027027025,-35.60576923076923,-11.6,QT450-10,195.62855316763248,,,,False
0,0,1,-35.027027027027025,-35.60576923076923,-10.8,QT450-10,195.71301816357845,,,,False
0,0,2,-35.027027027027025,-35.60576923076923,-10.0,QT450-10,195.79146493190225,,,,False
0,0,3,-35.027027027027025,-35.60576923076923,-9.2,QT450-10,195.86389149758614,,,,False
0,0,4,-35.027027027027025,-35.60576923076923,-8.4,QT450-10,195.93029499117316,,,,False
0,0,5,-35.027027027027025,-35.60576923076923,-7.6,QT450-10,195.9906724034684,,,,False
0,0,6,-35.027027027027025,-35.60576923076923,-6.8,QT450-10,196.04502083631667,,,,False
0,0,7,-35.027027027027025,-35.60576923076923,-6.0,QT450-10,196.09333759884998,,,,False
0,0,8,-35.027027027027025,-35.60576923076923,-5.199999999999999,QT450-10,196.13562025099066,,,,False
0,0,9,-35.027027027027025,-35.60576923076923,-4.3999999999999995,QT450-10,196.17186662679583,,,,False
0,0,10,-35.027027027027025,-35.60576923076923,-3.5999999999999996,QT450-10,196.20207484910247,,,,False
0,0,11,-35.027027027027025,-35.60576923076923,-2.799999999999999,QT450-10,196.22624333984342,,,,False
0,0,12,-35.027027027027025,-35.60576923076923,-2.0,QT450-10,196.24437082779667,,,,False
0,0,13,-35.027027027027025,-35.60576923076923,-1.1999999999999993,QT450-10,196.2564563544893,,,,False
0,0,14,-35.027027027027025,-35.60576923076923,-0.3999999999999986,QT450-10,196.2624992785405,,,,False
0,0,15,-35.027027027027025,-35.60576923076923,0.40000000000000036,QT450-10,196.2624992785405,,,,False
0,0,16,-35.027027027027025,-35.60576923076923,1.200000000000001,QT450-10,196.2564563544893,,,,False
0,0,17,-35.027027027027025,-35.60576923076923,2.0,QT450-10,196.24437082779667,,,,False
0,0,18,-35.027027027027025,-35.60576923076923,2.8000000000000007,QT450-10,196.22624333984342,,,,False
0,0,19,-35.027027027027025,-35.60576923076923,3.6000000000000014,QT450-10,196.20207484910247,,,,False
