case_id,structure,fixture,layout_points,sequence,line_heat_input_j_mm,total_heat_input_j,effective_peak_temperature_c,haz_width_proxy_mm,material_stiffness_factor,hole_center_shift_mm,axis_tilt_deg,shell_ellipticity_proxy_mm,position_metric_p_sim_mm,limit_mm,pass_in_model,sequence_indices,datum_reference,preheat_c
BASELINE-RIGID-6P-S1,baseline,rigid,6,S1,330.0,35640.0,550.628437,3.996498,1.0,0.020038,0.04975,0.010257,0.050495,0.05,False,1-2-3-4-5-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-6P-S2,baseline,rigid,6,S2,330.0,35640.0,550.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-2-5-3-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-6P-S3,baseline,rigid,6,S3,330.0,35640.0,550.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-3-6-2-5,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-8P-S1,baseline,rigid,8,S1,330.0,47520.0,550.628437,3.996498,1.0,0.024934,0.061907,0.008917,0.062834,0.05,False,1-2-3-4-5-6-7-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-8P-S2,baseline,rigid,8,S2,330.0,47520.0,550.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-2-6-3-7-4-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-8P-S3,baseline,rigid,8,S3,330.0,47520.0,550.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-4-8-3-7-2-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,150.0
BASELINE-RIGID-6P-S1,baseline,rigid,6,S1,330.0,35640.0,600.628437,3.996498,1.0,0.020038,0.04975,0.010257,0.050495,0.05,False,1-2-3-4-5-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-6P-S2,baseline,rigid,6,S2,330.0,35640.0,600.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-2-5-3-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-6P-S3,baseline,rigid,6,S3,330.0,35640.0,600.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-3-6-2-5,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-8P-S1,baseline,rigid,8,S1,330.0,47520.0,600.628437,3.996498,1.0,0.024934,0.061907,0.008917,0.062834,0.05,False,1-2-3-4-5-6-7-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-8P-S2,baseline,rigid,8,S2,330.0,47520.0,600.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-2-6-3-7-4-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-8P-S3,baseline,rigid,8,S3,330.0,47520.0,600.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-4-8-3-7-2-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,200.0
BASELINE-RIGID-6P-S1,baseline,rigid,6,S1,330.0,35640.0,650.628437,3.996498,1.0,0.020038,0.04975,0.010257,0.050495,0.05,False,1-2-3-4-5-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
BASELINE-RIGID-6P-S2,baseline,rigid,6,S2,330.0,35640.0,650.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-2-5-3-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
BASELINE-RIGID-6P-S3,baseline,rigid,6,S3,330.0,35640.0,650.628437,3.996498,1.0,0.006679,0.016583,0.005805,0.016832,0.05,True,1-4-3-6-2-5,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
BASELINE-RIGID-8P-S1,baseline,rigid,8,S1,330.0,47520.0,650.628437,3.996498,1.0,0.024934,0.061907,0.008917,0.062834,0.05,False,1-2-3-4-5-6-7-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
BASELINE-RIGID-8P-S2,baseline,rigid,8,S2,330.0,47520.0,650.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-2-6-3-7-4-8,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
BASELINE-RIGID-8P-S3,baseline,rigid,8,S3,330.0,47520.0,650.628437,3.996498,1.0,0.006234,0.015477,0.004242,0.015708,0.05,True,1-5-4-8-3-7-2-6,A=壳体安装基准平面；B=Q235B 壳体理论中心轴；C=独立周向定位特征；受控特征=Ø40 孔轴线；位置度=Ø0.05 | A | B,250.0
