category,metric,value
process,fixed_feed_mm_s,1.3439669482139598
process,minimum_area_mm2,6.125
process,gross_energy_per_pass_j_mm,600.0
process,net_energy_per_pass_j_mm,330.00000000000006
process,weld_length_mm,107.99999999999984
process,arc_on_time_s,287.9999999999996
process,total_net_heat_j,142559.99999999983
process,wire_length_mm,387.0624810856198
precision,support_tilt_rad,6.666666666666667e-05
precision,tilt_radial_allowance_mm,0.0008
precision,design_diameter_budget_mm,0.0436
precision,diameter_with_uncertainty_target_mm,0.0456
precision,design_budget_closes,True
precision,manufacturing_capability_verified,False
precision,thermal_residual_verified,False
fixture,positive_return_stroke_required_mm,0.2835640909808895
fixture,positive_return_stroke_available_mm,1.0
fixture,nominal_average_band_pressure_mpa,0.22104853207207686
fixture,pressure_is_not_peak_contact_stress,True
