load_multiplier,allowable_mpa,six_p_ok,eight_p_ok,region
0.5,20,False,True,8P_only
0.5,25,False,True,8P_only
0.5,30,True,True,6P_and_8P
0.5,35,True,True,6P_and_8P
0.5,40,True,True,6P_and_8P
0.5,45,True,True,6P_and_8P
0.5,50,True,True,6P_and_8P
0.5,55,True,True,6P_and_8P
0.5,60,True,True,6P_and_8P
0.5,65,True,True,6P_and_8P
0.5,70,True,True,6P_and_8P
0.5,75,True,True,6P_and_8P
0.5,80,True,True,6P_and_8P
0.5,85,True,True,6P_and_8P
0.5,90,True,True,6P_and_8P
0.5,95,True,True,6P_and_8P
0.5,100,True,True,6P_and_8P
0.5,105,True,True,6P_and_8P
0.5,110,True,True,6P_and_8P
0.5,115,True,True,6P_and_8P
0.5,120,True,True,6P_and_8P
0.55,20,False,False,neither
0.55,25,False,True,8P_only
0.55,30,True,True,6P_and_8P
0.55,35,True,True,6P_and_8P
0.55,40,True,True,6P_and_8P
0.55,45,True,True,6P_and_8P
0.55,50,True,True,6P_and_8P
0.55,55,True,True,6P_and_8P
0.55,60,True,True,6P_and_8P
0.55,65,True,True,6P_and_8P
0.55,70,True,True,6P_and_8P
0.55,75,True,True,6P_and_8P
0.55,80,True,True,6P_and_8P
0.55,85,True,True,6P_and_8P
0.55,90,True,True,6P_and_8P
0.55,95,True,True,6P_and_8P
0.55,100,True,True,6P_and_8P
0.55,105,True,True,6P_and_8P
0.55,110,True,True,6P_and_8P
0.55,115,True,True,6P_and_8P
0.55,120,True,True,6P_and_8P
0.6,20,False,False,neither
0.6,25,False,True,8P_only
0.6,30,False,True,8P_only
0.6,35,True,True,6P_and_8P
0.6,40,True,True,6P_and_8P
0.6,45,True,True,6P_and_8P
0.6,50,True,True,6P_and_8P
0.6,55,True,True,6P_and_8P
0.6,60,True,True,6P_and_8P
0.6,65,True,True,6P_and_8P
0.6,70,True,True,6P_and_8P
0.6,75,True,True,6P_and_8P
0.6,80,True,True,6P_and_8P
0.6,85,True,True,6P_and_8P
0.6,90,True,True,6P_and_8P
0.6,95,True,True,6P_and_8P
0.6,100,True,True,6P_and_8P
0.6,105,True,True,6P_and_8P
0.6,110,True,True,6P_and_8P
0.6,115,True,True,6P_and_8P
0.6,120,True,True,6P_and_8P
0.65,20,False,False,neither
0.65,25,False,False,neither
0.65,30,False,True,8P_only
0.65,35,True,True,6P_and_8P
0.65,40,True,True,6P_and_8P
0.65,45,True,True,6P_and_8P
0.65,50,True,True,6P_and_8P
0.65,55,True,True,6P_and_8P
0.65,60,True,True,6P_and_8P
0.65,65,True,True,6P_and_8P
0.65,70,True,True,6P_and_8P
0.65,75,True,True,6P_and_8P
0.65,80,True,True,6P_and_8P
0.65,85,True,True,6P_and_8P
0.65,90,True,True,6P_and_8P
0.65,95,True,True,6P_and_8P
0.65,100,True,True,6P_and_8P
0.65,105,True,True,6P_and_8P
0.65,110,True,True,6P_and_8P
0.65,115,True,True,6P_and_8P
0.65,120,True,True,6P_and_8P
0.7,20,False,False,neither
0.7,25,False,False,neither
0.7,30,False,True,8P_only
0.7,35,False,True,8P_only
0.7,40,True,True,6P_and_8P
0.7,45,True,True,6P_and_8P
0.7,50,True,True,6P_and_8P
0.7,55,True,True,6P_and_8P
0.7,60,True,True,6P_and_8P
0.7,65,True,True,6P_and_8P
0.7,70,True,True,6P_and_8P
0.7,75,True,True,6P_and_8P
0.7,80,True,True,6P_and_8P
0.7,85,True,True,6P_and_8P
0.7,90,True,True,6P_and_8P
0.7,95,True,True,6P_and_8P
0.7,100,True,True,6P_and_8P
0.7,105,True,True,6P_and_8P
0.7,110,True,True,6P_and_8P
0.7,115,True,True,6P_and_8P
0.7,120,True,True,6P_and_8P
0.75,20,False,False,neither
0.75,25,False,False,neither
0.75,30,False,True,8P_only
0.75,35,False,True,8P_only
0.75,40,True,True,6P_and_8P
0.75,45,True,True,6P_and_8P
0.75,50,True,True,6P_and_8P
0.75,55,True,True,6P_and_8P
0.75,60,True,True,6P_and_8P
0.75,65,True,True,6P_and_8P
0.75,70,True,True,6P_and_8P
0.75,75,True,True,6P_and_8P
0.75,80,True,True,6P_and_8P
0.75,85,True,True,6P_and_8P
0.75,90,True,True,6P_and_8P
0.75,95,True,True,6P_and_8P
0.75,100,True,True,6P_and_8P
0.75,105,True,True,6P_and_8P
0.75,110,True,True,6P_and_8P
0.75,115,True,True,6P_and_8P
0.75,120,True,True,6P_and_8P
0.8,20,False,False,neither
0.8,25,False,False,neither
0.8,30,False,False,neither
0.8,35,False,True,8P_only
0.8,40,False,True,8P_only
0.8,45,True,True,6P_and_8P
0.8,50,True,True,6P_and_8P
0.8,55,True,True,6P_and_8P
0.8,60,True,True,6P_and_8P
0.8,65,True,True,6P_and_8P
0.8,70,True,True,6P_and_8P
0.8,75,True,True,6P_and_8P
0.8,80,True,True,6P_and_8P
0.8,85,True,True,6P_and_8P
0.8,90,True,True,6P_and_8P
0.8,95,True,True,6P_and_8P
0.8,100,True,True,6P_and_8P
0.8,105,True,True,6P_and_8P
0.8,110,True,True,6P_and_8P
0.8,115,True,True,6P_and_8P
0.8,120,True,True,6P_and_8P
0.85,20,False,False,neither
0.85,25,False,False,neither
0.85,30,False,False,neither
0.85,35,False,True,8P_only
0.85,40,False,True,8P_only
0.85,45,True,True,6P_and_8P
0.85,50,True,True,6P_and_8P
0.85,55,True,True,6P_and_8P
0.85,60,True,True,6P_and_8P
0.85,65,True,True,6P_and_8P
0.85,70,True,True,6P_and_8P
0.85,75,True,True,6P_and_8P
0.85,80,True,True,6P_and_8P
0.85,85,True,True,6P_and_8P
0.85,90,True,True,6P_and_8P
0.85,95,True,True,6P_and_8P
0.85,100,True,True,6P_and_8P
0.85,105,True,True,6P_and_8P
0.85,110,True,True,6P_and_8P
0.85,115,True,True,6P_and_8P
0.85,120,True,True,6P_and_8P
0.9,20,False,False,neither
0.9,25,False,False,neither
0.9,30,False,False,neither
0.9,35,False,False,neither
0.9,40,False,True,8P_only
0.9,45,False,True,8P_only
0.9,50,True,True,6P_and_8P
0.9,55,True,True,6P_and_8P
0.9,60,True,True,6P_and_8P
0.9,65,True,True,6P_and_8P
0.9,70,True,True,6P_and_8P
0.9,75,True,True,6P_and_8P
0.9,80,True,True,6P_and_8P
0.9,85,True,True,6P_and_8P
0.9,90,True,True,6P_and_8P
0.9,95,True,True,6P_and_8P
0.9,100,True,True,6P_and_8P
0.9,105,True,True,6P_and_8P
0.9,110,True,True,6P_and_8P
0.9,115,True,True,6P_and_8P
0.9,120,True,True,6P_and_8P
0.95,20,False,False,neither
0.95,25,False,False,neither
0.95,30,False,False,neither
0.95,35,False,False,neither
0.95,40,False,True,8P_only
0.95,45,False,True,8P_only
0.95,50,True,True,6P_and_8P
0.95,55,True,True,6P_and_8P
0.95,60,True,True,6P_and_8P
0.95,65,True,True,6P_and_8P
0.95,70,True,True,6P_and_8P
0.95,75,True,True,6P_and_8P
0.95,80,True,True,6P_and_8P
0.95,85,True,True,6P_and_8P
0.95,90,True,True,6P_and_8P
0.95,95,True,True,6P_and_8P
0.95,100,True,True,6P_and_8P
0.95,105,True,True,6P_and_8P
0.95,110,True,True,6P_and_8P
0.95,115,True,True,6P_and_8P
0.95,120,True,True,6P_and_8P
1.0,20,False,False,neither
1.0,25,False,False,neither
1.0,30,False,False,neither
1.0,35,False,False,neither
1.0,40,False,True,8P_only
1.0,45,False,True,8P_only
1.0,50,False,True,8P_only
1.0,55,True,True,6P_and_8P
1.0,60,True,True,6P_and_8P
1.0,65,True,True,6P_and_8P
1.0,70,True,True,6P_and_8P
1.0,75,True,True,6P_and_8P
1.0,80,True,True,6P_and_8P
1.0,85,True,True,6P_and_8P
1.0,90,True,True,6P_and_8P
1.0,95,True,True,6P_and_8P
1.0,100,True,True,6P_and_8P
1.0,105,True,True,6P_and_8P
1.0,110,True,True,6P_and_8P
1.0,115,True,True,6P_and_8P
1.0,120,True,True,6P_and_8P
1.05,20,False,False,neither
1.05,25,False,False,neither
1.05,30,False,False,neither
1.05,35,False,False,neither
1.05,40,False,False,neither
1.05,45,False,True,8P_only
1.05,50,False,True,8P_only
1.05,55,True,True,6P_and_8P
1.05,60,True,True,6P_and_8P
1.05,65,True,True,6P_and_8P
1.05,70,True,True,6P_and_8P
1.05,75,True,True,6P_and_8P
1.05,80,True,True,6P_and_8P
1.05,85,True,True,6P_and_8P
1.05,90,True,True,6P_and_8P
1.05,95,True,True,6P_and_8P
1.05,100,True,True,6P_and_8P
1.05,105,True,True,6P_and_8P
1.05,110,True,True,6P_and_8P
1.05,115,True,True,6P_and_8P
1.05,120,True,True,6P_and_8P
1.1,20,False,False,neither
1.1,25,False,False,neither
1.1,30,False,False,neither
1.1,35,False,False,neither
1.1,40,False,False,neither
1.1,45,False,True,8P_only
1.1,50,False,True,8P_only
1.1,55,False,True,8P_only
1.1,60,True,True,6P_and_8P
1.1,65,True,True,6P_and_8P
1.1,70,True,True,6P_and_8P
1.1,75,True,True,6P_and_8P
1.1,80,True,True,6P_and_8P
1.1,85,True,True,6P_and_8P
1.1,90,True,True,6P_and_8P
1.1,95,True,True,6P_and_8P
1.1,100,True,True,6P_and_8P
1.1,105,True,True,6P_and_8P
1.1,110,True,True,6P_and_8P
1.1,115,True,True,6P_and_8P
1.1,120,True,True,6P_and_8P
1.15,20,False,False,neither
1.15,25,False,False,neither
1.15,30,False,False,neither
1.15,35,False,False,neither
1.15,40,False,False,neither
1.15,45,False,True,8P_only
1.15,50,False,True,8P_only
1.15,55,False,True,8P_only
1.15,60,True,True,6P_and_8P
1.15,65,True,True,6P_and_8P
1.15,70,True,True,6P_and_8P
1.15,75,True,True,6P_and_8P
1.15,80,True,True,6P_and_8P
1.15,85,True,True,6P_and_8P
1.15,90,True,True,6P_and_8P
1.15,95,True,True,6P_and_8P
1.15,100,True,True,6P_and_8P
1.15,105,True,True,6P_and_8P
1.15,110,True,True,6P_and_8P
1.15,115,True,True,6P_and_8P
1.15,120,True,True,6P_and_8P
1.2,20,False,False,neither
1.2,25,False,False,neither
1.2,30,False,False,neither
1.2,35,False,False,neither
1.2,40,False,False,neither
1.2,45,False,False,neither
1.2,50,False,True,8P_only
1.2,55,False,True,8P_only
1.2,60,False,True,8P_only
1.2,65,True,True,6P_and_8P
1.2,70,True,True,6P_and_8P
1.2,75,True,True,6P_and_8P
1.2,80,True,True,6P_and_8P
1.2,85,True,True,6P_and_8P
1.2,90,True,True,6P_and_8P
1.2,95,True,True,6P_and_8P
1.2,100,True,True,6P_and_8P
1.2,105,True,True,6P_and_8P
1.2,110,True,True,6P_and_8P
1.2,115,True,True,6P_and_8P
1.2,120,True,True,6P_and_8P
1.25,20,False,False,neither
1.25,25,False,False,neither
1.25,30,False,False,neither
1.25,35,False,False,neither
1.25,40,False,False,neither
1.25,45,False,False,neither
1.25,50,False,True,8P_only
1.25,55,False,True,8P_only
1.25,60,False,True,8P_only
1.25,65,False,True,8P_only
1.25,70,True,True,6P_and_8P
1.25,75,True,True,6P_and_8P
1.25,80,True,True,6P_and_8P
1.25,85,True,True,6P_and_8P
1.25,90,True,True,6P_and_8P
1.25,95,True,True,6P_and_8P
1.25,100,True,True,6P_and_8P
1.25,105,True,True,6P_and_8P
1.25,110,True,True,6P_and_8P
1.25,115,True,True,6P_and_8P
1.25,120,True,True,6P_and_8P
1.3,20,False,False,neither
1.3,25,False,False,neither
1.3,30,False,False,neither
1.3,35,False,False,neither
1.3,40,False,False,neither
1.3,45,False,False,neither
1.3,50,False,False,neither
1.3,55,False,True,8P_only
1.3,60,False,True,8P_only
1.3,65,False,True,8P_only
1.3,70,True,True,6P_and_8P
1.3,75,True,True,6P_and_8P
1.3,80,True,True,6P_and_8P
1.3,85,True,True,6P_and_8P
1.3,90,True,True,6P_and_8P
1.3,95,True,True,6P_and_8P
1.3,100,True,True,6P_and_8P
1.3,105,True,True,6P_and_8P
1.3,110,True,True,6P_and_8P
1.3,115,True,True,6P_and_8P
1.3,120,True,True,6P_and_8P
1.35,20,False,False,neither
1.35,25,False,False,neither
1.35,30,False,False,neither
1.35,35,False,False,neither
1.35,40,False,False,neither
1.35,45,False,False,neither
1.35,50,False,False,neither
1.35,55,False,True,8P_only
1.35,60,False,True,8P_only
1.35,65,False,True,8P_only
1.35,70,False,True,8P_only
1.35,75,True,True,6P_and_8P
1.35,80,True,True,6P_and_8P
1.35,85,True,True,6P_and_8P
1.35,90,True,True,6P_and_8P
1.35,95,True,True,6P_and_8P
1.35,100,True,True,6P_and_8P
1.35,105,True,True,6P_and_8P
1.35,110,True,True,6P_and_8P
1.35,115,True,True,6P_and_8P
1.35,120,True,True,6P_and_8P
1.4,20,False,False,neither
1.4,25,False,False,neither
1.4,30,False,False,neither
1.4,35,False,False,neither
1.4,40,False,False,neither
1.4,45,False,False,neither
1.4,50,False,False,neither
1.4,55,False,True,8P_only
1.4,60,False,True,8P_only
1.4,65,False,True,8P_only
1.4,70,False,True,8P_only
1.4,75,True,True,6P_and_8P
1.4,80,True,True,6P_and_8P
1.4,85,True,True,6P_and_8P
1.4,90,True,True,6P_and_8P
1.4,95,True,True,6P_and_8P
1.4,100,True,True,6P_and_8P
1.4,105,True,True,6P_and_8P
1.4,110,True,True,6P_and_8P
1.4,115,True,True,6P_and_8P
1.4,120,True,True,6P_and_8P
1.45,20,False,False,neither
1.45,25,False,False,neither
1.45,30,False,False,neither
1.45,35,False,False,neither
1.45,40,False,False,neither
1.45,45,False,False,neither
1.45,50,False,False,neither
1.45,55,False,False,neither
1.45,60,False,True,8P_only
1.45,65,False,True,8P_only
1.45,70,False,True,8P_only
1.45,75,False,True,8P_only
1.45,80,True,True,6P_and_8P
1.45,85,True,True,6P_and_8P
1.45,90,True,True,6P_and_8P
1.45,95,True,True,6P_and_8P
1.45,100,True,True,6P_and_8P
1.45,105,True,True,6P_and_8P
1.45,110,True,True,6P_and_8P
1.45,115,True,True,6P_and_8P
1.45,120,True,True,6P_and_8P
1.5,20,False,False,neither
1.5,25,False,False,neither
1.5,30,False,False,neither
1.5,35,False,False,neither
1.5,40,False,False,neither
1.5,45,False,False,neither
1.5,50,False,False,neither
1.5,55,False,False,neither
1.5,60,False,True,8P_only
1.5,65,False,True,8P_only
1.5,70,False,True,8P_only
1.5,75,False,True,8P_only
1.5,80,True,True,6P_and_8P
1.5,85,True,True,6P_and_8P
1.5,90,True,True,6P_and_8P
1.5,95,True,True,6P_and_8P
1.5,100,True,True,6P_and_8P
1.5,105,True,True,6P_and_8P
1.5,110,True,True,6P_and_8P
1.5,115,True,True,6P_and_8P
1.5,120,True,True,6P_and_8P
1.55,20,False,False,neither
1.55,25,False,False,neither
1.55,30,False,False,neither
1.55,35,False,False,neither
1.55,40,False,False,neither
1.55,45,False,False,neither
1.55,50,False,False,neither
1.55,55,False,False,neither
1.55,60,False,False,neither
1.55,65,False,True,8P_only
1.55,70,False,True,8P_only
1.55,75,False,True,8P_only
1.55,80,False,True,8P_only
1.55,85,True,True,6P_and_8P
1.55,90,True,True,6P_and_8P
1.55,95,True,True,6P_and_8P
1.55,100,True,True,6P_and_8P
1.55,105,True,True,6P_and_8P
1.55,110,True,True,6P_and_8P
1.55,115,True,True,6P_and_8P
1.55,120,True,True,6P_and_8P
1.6,20,False,False,neither
1.6,25,False,False,neither
1.6,30,False,False,neither
1.6,35,False,False,neither
1.6,40,False,False,neither
1.6,45,False,False,neither
1.6,50,False,False,neither
1.6,55,False,False,neither
1.6,60,False,False,neither
1.6,65,False,True,8P_only
1.6,70,False,True,8P_only
1.6,75,False,True,8P_only
1.6,80,False,True,8P_only
1.6,85,True,True,6P_and_8P
1.6,90,True,True,6P_and_8P
1.6,95,True,True,6P_and_8P
1.6,100,True,True,6P_and_8P
1.6,105,True,True,6P_and_8P
1.6,110,True,True,6P_and_8P
1.6,115,True,True,6P_and_8P
1.6,120,True,True,6P_and_8P
1.65,20,False,False,neither
1.65,25,False,False,neither
1.65,30,False,False,neither
1.65,35,False,False,neither
1.65,40,False,False,neither
1.65,45,False,False,neither
1.65,50,False,False,neither
1.65,55,False,False,neither
1.65,60,False,False,neither
1.65,65,False,True,8P_only
1.65,70,False,True,8P_only
1.65,75,False,True,8P_only
1.65,80,False,True,8P_only
1.65,85,False,True,8P_only
1.65,90,True,True,6P_and_8P
1.65,95,True,True,6P_and_8P
1.65,100,True,True,6P_and_8P
1.65,105,True,True,6P_and_8P
1.65,110,True,True,6P_and_8P
1.65,115,True,True,6P_and_8P
1.65,120,True,True,6P_and_8P
1.7,20,False,False,neither
1.7,25,False,False,neither
1.7,30,False,False,neither
1.7,35,False,False,neither
1.7,40,False,False,neither
1.7,45,False,False,neither
1.7,50,False,False,neither
1.7,55,False,False,neither
1.7,60,False,False,neither
1.7,65,False,False,neither
1.7,70,False,True,8P_only
1.7,75,False,True,8P_only
1.7,80,False,True,8P_only
1.7,85,False,True,8P_only
1.7,90,True,True,6P_and_8P
1.7,95,True,True,6P_and_8P
1.7,100,True,True,6P_and_8P
1.7,105,True,True,6P_and_8P
1.7,110,True,True,6P_and_8P
1.7,115,True,True,6P_and_8P
1.7,120,True,True,6P_and_8P
1.75,20,False,False,neither
1.75,25,False,False,neither
1.75,30,False,False,neither
1.75,35,False,False,neither
1.75,40,False,False,neither
1.75,45,False,False,neither
1.75,50,False,False,neither
1.75,55,False,False,neither
1.75,60,False,False,neither
1.75,65,False,False,neither
